Date & time of file creation	11/5/2021 4:59 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\empty_post_11.5.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\empty_post_11.5.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	17.61	299.56435643564356	0																																																											
Chamber 2	18.05	298.95																																																												
Chamber 3	13.32	303.5045592705167																																																												
Chamber 4	21.4	295.4924623115578																																																												
Chamber 5	12.42	304.4545454545455	0																																																											
Chamber 6	15.72	301.0081383519837																																																												
Chamber 7	12.03	304.970																																																												
Chamber 8	12.36	304.50252780586453																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/5/2021/5:25:41 PM	1540	1	F480/W60/M1000	38.8	-27.881	0.997	93.11	85.31	89.10	25.01	44.6	-32.875	0.997	93.25	83.79	88.34	25.01	58.4	-31.316	0.998	92.64	83.84	88.11	25.01	34.5	-30.507	0.994	93.05	84.07	88.48	25.01	48.8	-24.399	0.997	93.63	86.63	89.99	25.01	41.2	-26.369	0.997	94.30	86.66	90.38	25.01	50.0	-24.178	0.996	93.12	86.08	89.47	25.01	49.0	-24.357	0.996	93.05	86.04	89.42	25.01	25.01	0.00	0.00
11/5/2021/5:51:21 PM	3080	2	F480/W60/M1000	37.8	-27.023	0.997	93.50	85.76	89.55	24.98	43.8	-32.125	0.997	93.29	84.25	88.83	24.98	57.4	-30.624	0.999	93.03	84.31	88.58	24.98	34.0	-29.923	0.993	93.63	84.59	88.97	24.98	47.6	-23.615	0.997	93.92	87.19	90.46	24.98	40.2	-25.575	0.996	94.69	87.30	90.92	24.98	48.9	-23.480	0.996	93.41	86.72	89.98	24.98	48.2	-23.795	0.996	93.36	86.58	89.93	24.98	24.99	0.00	0.00
11/5/2021/6:17:01 PM	4620	3	F480/W60/M1000	37.5	-26.885	0.998	93.64	86.05	89.75	24.99	44.2	-32.512	0.997	93.78	84.45	89.07	24.99	57.8	-30.920	0.998	93.16	84.43	88.76	24.99	34.0	-30.004	0.993	93.77	84.67	89.21	24.99	46.6	-23.200	0.997	94.07	87.48	90.70	24.99	39.8	-25.380	0.997	94.75	87.52	91.11	24.99	49.0	-23.574	0.996	93.73	86.85	90.18	24.99	47.5	-23.534	0.996	93.59	86.87	90.20	24.99	25.00	0.00	0.00
11/5/2021/6:42:41 PM	6160	4	F480/W60/M1000	38.0	-27.226	0.998	93.62	85.98	89.81	25.01	44.1	-32.377	0.997	93.84	84.60	89.15	25.01	57.8	-30.859	0.999	93.23	84.53	88.82	25.01	34.0	-30.012	0.993	93.77	84.97	89.29	25.01	46.3	-23.012	0.996	94.16	87.56	90.81	25.01	39.6	-25.195	0.996	94.82	87.61	91.14	25.01	48.6	-23.338	0.996	93.81	86.86	90.22	25.01	47.3	-23.394	0.996	93.84	86.97	90.30	25.01	25.01	0.00	0.00
11/5/2021/7:08:21 PM	7700	5	F480/W60/M1000	37.6	-26.868	0.998	93.70	86.05	89.83	25.01	44.0	-32.300	0.997	93.93	84.66	89.19	25.01	57.8	-30.805	0.999	93.23	84.65	88.87	25.01	34.3	-30.197	0.992	93.93	85.09	89.36	25.01	45.9	-22.761	0.997	94.14	87.67	90.88	25.01	39.8	-25.253	0.997	94.82	87.60	91.18	25.01	48.8	-23.380	0.997	93.67	86.84	90.26	25.01	47.1	-23.250	0.996	93.76	87.10	90.38	25.01	25.01	0.00	0.00
11/5/2021/7:34:01 PM	9240	6	F480/W60/M1000	37.7	-26.999	0.998	93.76	86.22	89.91	24.99	44.1	-32.413	0.997	93.92	84.78	89.29	24.99	58.0	-31.007	0.999	93.31	84.60	88.95	24.99	33.8	-29.768	0.993	93.99	85.13	89.45	24.99	44.9	-22.334	0.997	94.18	87.75	90.94	24.99	39.5	-25.120	0.997	94.94	87.73	91.26	24.99	48.4	-23.266	0.997	93.73	87.13	90.35	24.99	46.6	-23.055	0.997	93.76	87.14	90.46	24.99	24.99	0.00	0.00
11/5/2021/7:59:41 PM	10780	7	F480/W60/M1000	38.1	-27.451	0.998	93.83	86.16	89.91	24.99	44.2	-32.595	0.997	94.06	84.64	89.31	24.99	58.0	-31.125	0.998	93.36	84.62	88.94	24.99	33.9	-30.013	0.993	94.14	85.05	89.50	24.99	45.0	-22.515	0.997	94.40	87.84	90.99	24.99	39.6	-25.356	0.997	94.99	87.68	91.28	24.99	48.0	-23.212	0.997	93.80	87.07	90.36	24.99	46.6	-23.233	0.997	93.91	87.21	90.54	24.99	24.99	0.00	0.00
11/5/2021/8:25:21 PM	12320	8	F480/W60/M1000	38.4	-27.330	0.998	93.76	86.14	89.94	24.98	44.2	-32.353	0.997	94.10	84.62	89.36	24.98	58.3	-31.012	0.999	93.40	84.60	88.96	24.98	34.2	-30.043	0.993	93.74	85.05	89.49	24.98	45.3	-22.384	0.997	94.27	87.77	91.01	24.98	40.1	-25.416	0.997	94.96	87.71	91.31	24.98	48.7	-23.288	0.997	93.77	87.20	90.40	24.98	46.8	-23.019	0.997	93.89	87.16	90.52	24.98	24.99	0.00	0.00
11/5/2021/8:51:01 PM	13860	9	F480/W60/M1000	38.5	-27.440	0.998	93.87	86.11	89.94	24.99	44.5	-32.553	0.997	93.92	84.66	89.34	24.99	58.8	-31.257	0.999	93.40	84.59	88.95	24.99	34.5	-30.255	0.994	94.01	85.19	89.49	24.99	45.4	-22.463	0.997	94.29	87.82	91.01	24.99	40.6	-25.673	0.997	95.06	87.65	91.32	24.99	49.1	-23.473	0.997	93.69	87.03	90.36	24.99	46.9	-23.046	0.997	93.88	87.20	90.52	24.99	24.99	0.00	0.00
11/5/2021/9:16:41 PM	15400	10	F480/W60/M1000	38.7	-27.703	0.998	93.81	85.97	89.86	25.01	44.6	-32.725	0.997	93.95	84.63	89.30	25.01	59.1	-31.543	0.999	93.34	84.57	88.89	25.01	34.3	-30.221	0.994	94.19	85.01	89.46	25.01	45.0	-22.339	0.997	94.16	87.79	90.96	25.01	40.1	-25.469	0.998	94.92	87.63	91.26	25.01	49.2	-23.643	0.997	93.80	87.16	90.37	25.01	46.9	-23.190	0.997	93.84	87.32	90.51	25.01	25.01	0.00	0.00
11/5/2021/9:42:21 PM	16940	11	F480/W60/M1000	38.8	-27.742	0.998	93.78	86.03	89.86	25.00	44.2	-32.441	0.998	93.90	84.75	89.32	25.00	59.1	-31.530	0.999	93.34	84.50	88.88	25.00	34.6	-30.439	0.995	93.81	85.00	89.46	25.00	45.2	-22.447	0.998	94.20	87.83	90.98	25.00	40.7	-25.869	0.998	94.88	87.66	91.25	25.00	49.5	-23.727	0.998	93.76	87.06	90.35	25.00	47.1	-23.260	0.997	93.88	87.15	90.51	25.00	25.01	0.00	0.00
11/5/2021/10:08:01 PM	18480	12	F480/W60/M1000	39.1	-28.064	0.999	93.75	85.91	89.80	25.02	44.4	-32.684	0.998	93.89	84.78	89.29	25.02	59.5	-31.886	0.999	93.36	84.40	88.82	25.02	34.4	-30.419	0.995	94.06	85.04	89.48	25.02	44.9	-22.423	0.998	94.19	87.74	90.98	25.02	40.6	-25.946	0.998	94.97	87.59	91.25	25.02	49.5	-23.871	0.998	93.73	86.98	90.34	25.02	47.0	-23.340	0.998	93.79	87.13	90.51	25.02	25.02	0.00	0.00
11/5/2021/10:33:41 PM	20020	13	F480/W60/M1000	39.7	-28.513	0.998	93.91	85.91	89.79	25.03	44.1	-32.503	0.997	94.21	84.84	89.34	25.03	59.6	-31.978	0.999	93.37	84.47	88.84	25.03	34.2	-30.301	0.995	93.94	85.06	89.50	25.03	44.2	-22.126	0.997	94.24	87.95	90.98	25.03	40.6	-25.975	0.998	95.20	87.65	91.26	25.03	49.1	-23.707	0.998	93.89	87.07	90.37	25.03	46.0	-22.868	0.998	93.72	87.29	90.52	25.03	25.03	0.00	0.00
11/5/2021/10:59:21 PM	21560	14	F480/W60/M1000	40.2	-28.909	0.998	93.91	85.75	89.75	25.03	44.0	-32.448	0.998	94.15	84.82	89.38	25.03	59.4	-31.864	0.999	93.52	84.49	88.84	25.03	33.6	-29.717	0.995	93.97	85.32	89.53	25.03	43.6	-21.786	0.997	94.29	88.02	91.03	25.03	39.8	-25.439	0.997	94.99	87.72	91.21	25.03	48.5	-23.420	0.997	93.75	87.23	90.36	25.03	45.3	-22.555	0.997	93.90	87.52	90.58	25.03	25.04	0.00	0.00
11/5/2021/11:25:01 PM	23100	15	F480/W60/M1000	39.4	-28.176	0.998	93.79	85.87	89.79	25.02	43.0	-31.591	0.998	93.89	84.97	89.42	25.02	58.8	-31.438	0.999	93.39	84.51	88.85	25.02	33.4	-29.415	0.995	93.84	85.37	89.57	25.02	43.5	-21.626	0.997	94.20	88.16	91.03	25.02	40.0	-25.443	0.998	94.94	87.71	91.25	25.02	48.2	-23.186	0.997	93.85	87.24	90.38	25.02	44.9	-22.238	0.997	93.92	87.53	90.60	25.02	25.02	0.00	0.00
11/5/2021/11:50:41 PM	24640	16	F480/W60/M1000	39.3	-28.002	0.999	93.72	85.99	89.80	25.01	42.3	-30.965	0.998	94.00	85.18	89.50	25.01	58.6	-31.211	0.998	93.36	84.58	88.88	25.01	33.0	-28.961	0.995	93.86	85.54	89.62	25.01	42.3	-20.951	0.996	94.18	88.35	91.10	25.01	38.8	-24.601	0.997	95.04	87.89	91.27	25.01	47.4	-22.710	0.996	93.77	87.27	90.40	25.01	44.6	-21.966	0.997	93.88	87.52	90.65	25.01	25.02	0.00	0.00
11/6/2021/12:16:21 AM	26180	17	F480/W60/M1000	38.6	-27.811	0.998	93.82	86.01	89.82	25.02	41.7	-30.793	0.998	93.96	85.29	89.56	25.02	57.8	-31.052	0.999	93.45	84.63	88.92	25.02	32.0	-28.413	0.995	93.75	85.47	89.68	25.02	40.9	-20.515	0.997	94.33	88.30	91.20	25.02	38.6	-24.689	0.998	95.00	87.98	91.42	25.02	45.7	-22.127	0.998	93.84	87.40	90.53	25.02	42.6	-21.249	0.998	93.88	87.78	90.76	25.02	25.02	0.00	0.00
11/6/2021/12:42:01 AM	27720	18	F480/W60/M1000	38.9	-27.677	0.999	93.82	86.10	89.91	25.03	41.6	-30.410	0.998	93.96	85.40	89.67	25.03	58.1	-30.831	0.998	93.39	84.72	88.98	25.03	32.4	-28.372	0.995	93.91	85.64	89.77	25.03	41.0	-20.197	0.997	94.30	88.51	91.28	25.03	38.1	-24.019	0.998	94.82	88.14	91.45	25.03	46.2	-21.998	0.997	93.75	87.54	90.56	25.03	42.9	-21.046	0.997	93.88	87.94	90.84	25.03	25.03	0.00	0.00
11/6/2021/1:07:41 AM	29260	19	F480/W60/M1000	37.9	-27.160	0.999	93.71	86.21	89.95	25.02	40.9	-30.123	0.998	94.00	85.50	89.74	25.02	57.3	-30.650	0.999	93.46	84.86	89.04	25.02	31.6	-27.898	0.995	93.91	85.86	89.89	25.02	39.8	-19.852	0.997	94.23	88.64	91.37	25.02	37.9	-24.182	0.998	95.09	88.19	91.57	25.02	45.3	-21.847	0.997	93.89	87.57	90.63	25.02	42.1	-20.903	0.997	93.92	87.94	90.94	25.02	25.02	0.00	0.00
11/6/2021/1:33:21 AM	30800	20	F480/W60/M1000	38.4	-27.442	0.999	93.89	86.21	90.06	25.01	40.7	-29.879	0.998	94.13	85.66	89.88	25.01	57.5	-30.668	0.999	93.59	84.92	89.14	25.01	31.4	-27.669	0.996	94.19	86.02	89.99	25.01	39.4	-19.566	0.998	94.23	88.66	91.48	25.01	37.6	-23.851	0.998	95.06	88.27	91.65	25.01	45.2	-21.682	0.998	93.93	87.75	90.80	25.01	41.8	-20.639	0.997	93.99	88.02	91.06	25.01	25.01	0.00	0.00
11/6/2021/1:59:01 AM	32340	21	F480/W60/M1000	38.7	-27.832	0.998	93.92	86.20	90.05	25.03	40.9	-30.174	0.998	94.17	85.72	89.90	25.03	57.8	-30.983	0.999	93.57	84.87	89.15	25.03	31.3	-27.693	0.996	93.98	86.06	90.06	25.03	39.0	-19.490	0.997	94.37	88.75	91.54	25.03	37.2	-23.804	0.998	95.06	88.22	91.66	25.03	44.9	-21.705	0.997	94.03	87.78	90.87	25.03	40.8	-20.322	0.997	93.98	88.14	91.12	25.03	25.03	0.00	0.00
11/6/2021/2:24:41 AM	33880	22	F480/W60/M1000	38.8	-27.664	0.999	93.90	86.25	90.08	25.04	40.7	-29.822	0.998	94.13	85.77	89.96	25.04	58.1	-30.979	0.999	93.63	84.87	89.17	25.04	31.2	-27.411	0.995	94.11	86.16	90.09	25.04	39.2	-19.445	0.997	94.38	88.91	91.58	25.04	38.0	-24.082	0.998	95.11	88.38	91.75	25.04	45.3	-21.698	0.997	94.05	87.82	90.89	25.04	41.0	-20.214	0.997	93.96	88.22	91.12	25.04	25.04	0.00	0.00
11/6/2021/2:50:21 AM	35420	23	F480/W60/M1000	39.3	-28.024	0.999	93.97	86.26	90.11	25.02	40.9	-29.967	0.998	94.19	85.76	90.01	25.02	58.5	-31.169	0.999	93.62	84.92	89.19	25.02	31.6	-27.779	0.995	94.22	86.13	90.16	25.02	39.1	-19.364	0.998	94.44	88.94	91.61	25.02	38.1	-24.141	0.998	95.08	88.21	91.68	25.02	45.2	-21.639	0.998	93.97	87.86	90.91	25.02	41.5	-20.481	0.997	94.01	88.17	91.16	25.02	25.02	0.00	0.00
11/6/2021/3:16:01 AM	36960	24	F480/W60/M1000	38.7	-27.805	0.999	93.89	86.15	90.06	25.03	40.2	-29.658	0.998	94.11	85.65	89.98	25.03	58.2	-31.171	0.999	93.57	84.84	89.14	25.03	31.0	-27.449	0.996	94.18	86.27	90.17	25.03	38.8	-19.381	0.997	94.38	88.87	91.57	25.03	38.0	-24.269	0.998	95.15	88.33	91.76	25.03	44.9	-21.684	0.997	94.00	87.90	90.93	25.03	40.8	-20.309	0.997	94.14	88.29	91.19	25.03	25.03	0.00	0.00
11/6/2021/3:41:41 AM	38500	25	F480/W60/M1000	39.1	-27.902	0.999	94.04	86.20	90.08	25.03	40.8	-29.878	0.998	94.27	85.81	90.02	25.03	58.8	-31.351	0.999	93.65	84.84	89.15	25.03	31.6	-27.812	0.995	94.18	86.01	90.19	25.03	39.3	-19.447	0.997	94.40	88.94	91.63	25.03	38.3	-24.276	0.998	95.21	88.34	91.76	25.03	45.5	-21.802	0.998	94.06	87.86	90.95	25.03	41.3	-20.353	0.997	94.10	88.30	91.22	25.03	25.03	0.00	0.00
11/6/2021/4:07:21 AM	40040	26	F480/W60/M1000	39.3	-28.124	0.999	93.91	86.09	90.07	25.02	40.6	-29.795	0.998	94.27	85.84	90.02	25.02	58.8	-31.406	0.999	93.61	84.81	89.14	25.02	31.1	-27.388	0.994	94.10	86.26	90.21	25.02	38.3	-19.035	0.997	94.43	88.98	91.66	25.02	38.4	-24.451	0.998	95.23	88.25	91.78	25.02	45.2	-21.745	0.997	94.06	87.90	90.93	25.02	40.7	-20.130	0.997	94.07	88.31	91.22	25.02	25.02	0.00	0.00
11/6/2021/4:33:01 AM	41580	27	F480/W60/M1000	39.9	-28.358	0.999	93.96	86.12	90.04	25.03	41.0	-29.982	0.998	94.27	85.77	90.02	25.03	59.8	-31.769	0.999	93.70	84.80	89.11	25.03	31.6	-27.718	0.996	94.17	86.15	90.19	25.03	39.4	-19.429	0.997	94.56	88.97	91.66	25.03	39.0	-24.644	0.998	95.26	88.28	91.74	25.03	45.7	-21.781	0.997	94.08	87.85	90.92	25.03	41.6	-20.389	0.997	94.06	88.29	91.22	25.03	25.02	0.00	0.00
11/6/2021/4:58:41 AM	43120	28	F480/W60/M1000	39.7	-28.560	0.999	94.04	86.14	90.01	25.02	40.9	-30.149	0.998	94.27	85.77	89.98	25.02	59.6	-31.941	0.999	93.60	84.76	89.09	25.02	31.2	-27.651	0.995	94.08	86.18	90.16	25.02	38.5	-19.283	0.997	94.46	88.90	91.63	25.02	38.8	-24.820	0.998	95.33	88.19	91.69	25.02	45.1	-21.808	0.997	94.04	87.82	90.93	25.02	40.4	-20.134	0.997	94.20	88.39	91.20	25.02	25.02	0.00	0.00
11/6/2021/5:24:21 AM	44660	29	F480/W60/M1000	40.6	-29.013	0.999	94.06	85.97	89.97	25.02	41.3	-30.277	0.998	94.26	85.59	89.97	25.02	60.4	-32.200	0.999	93.64	84.66	89.04	25.02	31.5	-27.715	0.995	94.24	86.25	90.16	25.02	38.6	-19.184	0.997	94.41	89.01	91.63	25.02	39.3	-24.927	0.998	95.29	88.09	91.68	25.02	45.6	-21.892	0.997	94.15	87.85	90.91	25.02	41.1	-20.301	0.997	94.04	88.18	91.20	25.02	25.02	0.00	0.00
11/6/2021/5:50:01 AM	46200	30	F480/W60/M1000	40.9	-29.179	0.999	93.97	85.83	89.92	25.03	41.5	-30.380	0.998	94.26	85.69	89.96	25.03	61.2	-32.564	0.999	93.64	84.51	89.00	25.03	31.9	-28.030	0.995	94.18	86.01	90.15	25.03	39.1	-19.372	0.997	94.45	88.95	91.63	25.03	39.6	-25.117	0.998	95.23	88.13	91.69	25.03	46.1	-22.079	0.997	94.14	87.79	90.90	25.03	41.1	-20.221	0.996	94.07	88.21	91.14	25.03	25.03	0.00	0.00
11/6/2021/6:15:41 AM	47740	31	F480/W60/M1000	40.7	-29.099	0.999	93.87	85.79	89.85	25.01	41.0	-30.126	0.997	94.12	85.63	89.90	25.01	60.7	-32.397	0.999	93.62	84.41	88.94	25.01	31.6	-27.864	0.994	94.00	86.12	90.11	25.01	38.9	-19.366	0.996	94.39	88.86	91.60	25.01	39.7	-25.277	0.998	95.20	88.16	91.64	25.01	46.4	-22.328	0.997	94.03	87.78	90.88	25.01	41.4	-20.498	0.996	94.03	88.18	91.17	25.01	25.02	0.00	0.00
11/6/2021/6:41:21 AM	49280	32	F480/W60/M1000	40.9	-29.230	0.999	93.89	85.72	89.85	25.00	41.2	-30.235	0.997	94.28	85.53	89.91	25.00	61.4	-32.768	0.999	93.49	84.33	88.90	25.00	31.5	-27.740	0.994	94.03	86.10	90.07	25.00	38.8	-19.270	0.996	94.33	88.90	91.57	25.00	39.4	-25.043	0.997	95.24	88.03	91.59	25.00	46.0	-22.065	0.997	94.00	87.66	90.87	25.00	41.1	-20.314	0.996	94.06	88.28	91.16	25.00	25.00	0.00	0.00
11/6/2021/7:07:01 AM	50820	33	F480/W60/M1000	41.1	-29.579	0.998	93.86	85.66	89.76	25.00	41.2	-30.459	0.997	94.13	85.46	89.84	25.00	61.8	-33.157	0.999	93.48	84.35	88.85	25.00	31.8	-28.175	0.994	94.17	85.96	90.07	25.00	38.8	-19.483	0.997	94.37	88.79	91.58	25.00	39.6	-25.364	0.997	95.14	88.09	91.59	25.00	46.0	-22.270	0.997	94.01	87.66	90.85	25.00	40.6	-20.278	0.995	94.01	88.01	91.14	25.00	25.01	0.00	0.00
11/6/2021/7:32:41 AM	52360	34	F480/W60/M1000	41.7	-29.818	0.999	93.96	85.69	89.77	25.00	41.8	-30.680	0.998	94.24	85.63	89.87	25.00	62.4	-33.333	0.999	93.62	84.33	88.83	25.00	31.7	-27.948	0.994	94.16	85.92	90.04	25.00	38.8	-19.309	0.997	94.35	88.79	91.54	25.00	40.1	-25.514	0.997	95.10	87.89	91.53	25.00	46.3	-22.258	0.997	93.97	87.76	90.82	25.00	41.1	-20.352	0.996	94.01	88.23	91.11	25.00	25.00	0.00	0.00
11/6/2021/7:58:21 AM	53900	35	F480/W60/M1000	41.8	-29.818	0.998	93.84	85.38	89.71	25.02	41.7	-30.527	0.997	94.09	85.47	89.82	25.02	62.9	-33.474	0.999	93.51	84.14	88.73	25.02	32.3	-28.343	0.994	94.13	85.67	89.97	25.02	39.2	-19.374	0.996	94.37	88.84	91.53	25.02	41.0	-25.932	0.997	95.18	87.80	91.47	25.02	47.2	-22.553	0.996	94.03	87.55	90.75	25.02	42.1	-20.694	0.995	94.11	87.96	91.05	25.02	25.01	0.00	0.00
11/6/2021/8:24:01 AM	55440	36	F480/W60/M1000	42.4	-30.256	0.998	93.86	85.45	89.67	25.02	42.0	-30.789	0.997	94.20	85.44	89.77	25.02	63.8	-33.959	0.999	93.56	84.01	88.67	25.02	32.5	-28.519	0.993	94.08	85.63	89.96	25.02	39.6	-19.610	0.996	94.30	88.69	91.42	25.02	41.3	-26.138	0.997	95.25	87.73	91.44	25.02	47.3	-22.604	0.996	94.06	87.62	90.73	25.02	42.0	-20.674	0.995	94.01	88.06	91.04	25.02	25.02	0.00	0.00
