Date & time of file creation	11/1/2021 9:07 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\empty_pre_11.1.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\empty_pre_11.1.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	19.38	298	0																																																											
Chamber 2	13.78	303.4901960784314																																																												
Chamber 3	15.836	301.0040404040404																																																												
Chamber 4	16.226	300.9346534653465																																																												
Chamber 5	15.064	301.936	0																																																											
Chamber 6	15.977	300.52886597938146																																																												
Chamber 7	11.548	305.452																																																												
Chamber 8	13.2444	304.01529411764704																																																												
																																																														
																																																														
