Date & time of file creation	11/22/2021 1:53 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\MMR_27_LF_11.22.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\MMR_27_LF_11.22.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.0000	29.4200	0.00	100.00	22.15	16.82																																							
Chamber 2	1	59.5300	29.4000	0.00	100.00	22.15	16.82																																							
Chamber 3	1	59.5000	29.3300	0.00	100.00	22.20	16.82																																							
Chamber 4	1	59.5000	29.2200	0.00	100.00	22.21	16.82																																							
Chamber 5	1	58.0000	28.7700	0.00	100.00	21.97	16.82																																							
Chamber 6	1	58.1000	28.4900	0.00	100.00	21.80	16.81																																							
Chamber 7	1	58.3000	28.7300	0.00	100.00	21.70	16.82																																							
Chamber 8	1	58.3600	28.6200	0.00	100.00	21.60	16.82																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	18.97	1.03	0	Not used	Not used	Not used																																						
Chamber 2	270	47	18.378	1.02	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	20.466	1	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	14.936	1	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	20.52	1	0	Not used	Not used	Not used																																						
Chamber 6	270	47	19.998	1	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	20.4767	1.05	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	19.38	0.99	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
11/22/2021/1:53:55 PM	Flush	1013.0	0.0	28.4100	27.00	90.41	28.2500	27.00	92.01	28.1800	27.00	92.07	28.0900	27.00	92.02	27.3700	27.00	93.73	27.2400	27.00	92.80	27.7000	27.00	90.78	27.3800	27.00	92.76	NaN	NaN	NaN	NaN	27.0000	27.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/22/2021/1:53:56 PM	Flush	1013.0	0.0	28.4000	26.99	90.51	28.2400	26.99	92.11	28.1700	26.99	92.17	28.0900	26.99	92.04	27.3775	26.99	93.68	27.2175	26.99	93.02	27.6925	26.99	90.86	27.3650	26.99	92.91	NaN	NaN	NaN	NaN	26.9900	26.99	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/22/2021/1:53:57 PM	Flush	1013.0	0.0	28.4000	26.99	90.51	28.2400	26.99	92.11	28.1788	26.99	92.10	28.1250	26.99	91.74	27.3762	26.99	93.69	27.2250	26.99	92.95	27.6975	26.99	90.82	27.3600	26.99	92.96	NaN	NaN	NaN	NaN	26.9900	26.99	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/22/2021/1:53:58 PM	F1   	1013.0	0.0	28.3825	27.00	90.64	28.2138	27.00	92.32	28.1537	27.00	92.30	28.1125	27.00	91.83	27.3700	27.00	93.73	27.2425	27.00	92.78	27.6988	27.00	90.79	27.3675	27.00	92.88	NaN	NaN	NaN	NaN	26.9988	27.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/22/2021/1:53:59 PM	F1   	1013.0	0.0	28.3712	27.00	90.73	28.2362	27.00	92.13	28.1412	27.00	92.40	28.0225	27.00	92.60	27.3550	27.00	93.86	27.2338	27.00	92.86	27.6650	27.00	91.08	27.3762	27.00	92.80	NaN	NaN	NaN	NaN	27.0000	27.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/22/2021/1:54:00 PM	F1   	1013.0	0.0	28.3700	27.00	90.74	28.2225	27.00	92.25	28.1137	27.00	92.64	28.0275	27.00	92.56	27.3375	27.00	94.02	27.2250	27.00	92.93	27.6400	27.00	91.29	27.3663	27.00	92.88	NaN	NaN	NaN	NaN	27.0000	27.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/22/2021/1:54:01 PM	F1   	1013.0	0.0	28.3350	27.00	91.04	28.1763	27.00	92.64	28.1188	27.00	92.60	28.0388	27.00	92.46	27.3500	27.00	93.91	27.1962	27.00	93.19	27.6363	27.00	91.32	27.3525	27.00	93.01	NaN	NaN	NaN	NaN	27.0000	27.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
