Date & time of file creation	11/17/2021 8:53 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\SMR_27_BC_11.17.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\SMR_27_BC_11.17.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.99	302.44660194174753	0																																																											
Chamber 2	14.3829	302.47181818181815																																																												
Chamber 3	17.46	300.04854368932035																																																												
Chamber 4	20.23	296.970297029703																																																												
Chamber 5	14.45	302.97087378640776	0																																																											
Chamber 6	13.9	304.0093457943925																																																												
Chamber 7	15.69	302.0571428571429																																																												
Chamber 8	15.2	301.9504950495049																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/17/2021/9:03:22 PM	600	1	F480/W60/M60	614.5	-383.587	0.998	87.77	81.40	84.51	27.02	478.6	-286.621	0.995	89.55	84.93	87.11	27.02	537.1	-393.598	0.997	89.44	83.09	86.38	27.02	463.9	-398.005	0.994	88.69	82.13	85.60	27.02	515.5	-309.683	0.995	89.47	84.54	86.94	27.02	670.3	-385.990	0.997	89.33	83.22	86.28	27.02	516.3	-337.750	0.995	89.15	83.54	86.45	27.02	622.5	-394.627	0.998	86.83	80.58	83.68	27.02	27.05	26.98	0.00
11/17/2021/9:13:22 PM	1200	2	F480/W60/M60	635.7	-393.988	0.999	87.73	81.31	84.58	27.05	441.1	-261.231	0.993	89.08	84.53	86.90	27.05	617.8	-450.041	0.999	86.11	78.76	82.41	27.05	393.1	-334.307	0.993	89.53	84.09	86.88	27.05	457.1	-271.657	0.995	88.70	84.15	86.47	27.05	711.1	-406.732	0.997	87.15	80.50	83.84	27.05	642.6	-417.633	0.997	86.18	79.13	82.66	27.05	594.2	-373.918	0.997	86.89	80.87	83.86	27.05	26.99	26.98	0.00
11/17/2021/9:23:22 PM	1800	3	F480/W60/M60	613.7	-382.144	0.998	88.37	82.12	85.23	27.16	572.0	-341.530	0.996	88.32	82.59	85.36	27.16	628.2	-459.681	0.999	86.00	78.69	82.40	27.16	414.4	-354.572	0.989	88.96	82.98	86.22	27.16	490.3	-293.370	0.996	87.37	82.69	85.01	27.16	743.2	-427.202	0.997	86.33	79.39	82.82	27.16	451.9	-294.488	0.993	88.52	83.84	86.23	27.16	450.9	-284.725	0.993	86.80	82.14	84.30	27.16	27.09	26.98	0.00
11/17/2021/9:33:22 PM	2400	4	F480/W60/M60	604.0	-377.866	0.998	87.52	81.46	84.42	27.15	369.9	-222.007	0.992	89.25	85.73	87.47	27.15	657.8	-483.144	0.999	85.38	77.67	81.58	27.15	309.6	-266.222	0.981	88.17	83.35	85.72	27.15	567.3	-341.528	0.997	86.38	81.04	83.67	27.15	743.8	-429.236	0.998	86.08	79.19	82.65	27.15	464.6	-304.581	0.994	87.61	82.49	85.04	27.15	403.8	-256.531	0.994	86.30	81.94	84.04	27.15	27.14	26.98	0.00
11/17/2021/9:43:22 PM	3000	5	F480/W60/M60	627.8	-392.125	0.999	87.55	81.26	84.43	27.09	359.8	-215.562	0.987	88.89	85.43	87.25	27.09	562.0	-412.149	0.997	86.52	79.95	83.41	27.09	289.4	-248.358	0.980	89.29	85.08	87.18	27.09	572.4	-344.037	0.995	86.48	80.98	83.63	27.09	459.6	-264.785	0.992	87.90	83.65	85.80	27.09	403.4	-264.007	0.994	88.63	84.35	86.56	27.09	369.9	-234.603	0.991	86.88	83.02	84.80	27.09	27.11	26.98	0.00
