Date & time of file creation	11/14/2021 8:08 AM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\loading_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\loading.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	58.0000	29.5800	0.00	100.00	22.15	16.82																																							
Chamber 2	1	58.5300	29.6300	0.00	100.00	22.15	16.82																																							
Chamber 3	1	57.5000	29.5300	0.00	100.00	22.20	16.82																																							
Chamber 4	1	57.5000	29.4000	0.00	100.00	22.21	16.82																																							
Chamber 5	1	58.0000	28.7700	0.00	100.00	21.97	16.82																																							
Chamber 6	1	58.1000	28.4900	0.00	100.00	21.80	16.81																																							
Chamber 7	1	58.3000	28.7300	0.00	100.00	21.70	16.82																																							
Chamber 8	1	58.3600	28.6200	0.00	100.00	21.60	16.82																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	0	1	0	Not used	Not used	Not used																																						
Chamber 2	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	0	1	0	Not used	Not used	Not used																																						
Chamber 6	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	0	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
11/14/2021/8:08:19 AM	Flush	1013.0	0.0	28.8000	21.81	96.92	28.8100	21.81	97.49	28.7500	21.81	96.72	28.5900	21.81	97.08	28.0500	21.81	96.94	27.8500	21.81	96.42	28.0700	21.81	96.54	28.2000	21.81	94.50	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:20 AM	Flush	1013.0	0.0	28.8100	21.81	96.84	28.8500	21.81	97.13	28.7600	21.81	96.63	28.5500	21.81	97.44	28.0600	21.81	96.85	27.8400	21.81	96.51	28.0900	21.81	96.36	28.1600	21.81	94.85	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:21 AM	Flush	1013.0	0.0	28.7900	21.81	97.01	28.8100	21.81	97.49	28.7300	21.81	96.90	28.5300	21.81	97.62	28.0600	21.81	96.85	27.8400	21.81	96.51	28.0600	21.81	96.63	28.1700	21.81	94.76	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:22 AM	Flush	1013.0	0.0	28.8000	21.82	96.90	28.8300	21.82	97.29	28.7400	21.82	96.79	28.6100	21.82	96.89	28.0600	21.82	96.83	27.8500	21.82	96.40	28.0500	21.82	96.70	28.1700	21.82	94.74	NaN	NaN	NaN	NaN	21.8200	21.82	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:23 AM	Flush	1013.0	0.0	28.8000	21.81	96.92	28.8700	21.81	96.96	28.7600	21.81	96.63	28.5600	21.81	97.35	28.0700	21.81	96.75	27.8400	21.81	96.51	28.0900	21.81	96.36	28.1700	21.81	94.76	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:24 AM	Flush	1013.0	0.0	28.8000	21.81	96.92	28.8300	21.81	97.31	28.7600	21.81	96.63	28.5700	21.81	97.26	28.0600	21.81	96.85	27.8600	21.81	96.33	28.0800	21.81	96.45	28.1800	21.81	94.67	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:25 AM	Flush	1013.0	0.0	28.8300	21.81	96.66	28.8600	21.81	97.05	28.7500	21.81	96.72	28.5300	21.81	97.62	28.0700	21.81	96.75	27.8700	21.81	96.24	28.1000	21.81	96.27	28.1600	21.81	94.85	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:26 AM	Flush	1013.0	0.0	28.8300	21.81	96.66	28.8500	21.81	97.13	28.7400	21.81	96.81	28.6000	21.81	96.99	28.0500	21.81	96.94	27.8500	21.81	96.42	28.0800	21.81	96.45	28.1700	21.81	94.76	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
