Date & time of file creation	11/22/2021 5:54 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\tempchange_27_29_LF_11.22.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\tempchange_27_29_LF_11.22.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	18.97	298.58252427184465	0																																																											
Chamber 2	18.378	298.9823529411765																																																												
Chamber 3	20.466	296.534																																																												
Chamber 4	14.936	302.064																																																												
Chamber 5	20.52	296.48	0																																																											
Chamber 6	19.998	297.002																																																												
Chamber 7	20.4767	297.49838095238096																																																												
Chamber 8	19.38	297.42424242424244																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/22/2021/6:04:56 PM	600	1	F480/W60/M60	316.0	-250.554	0.994	90.75	86.53	88.68	27.17	325.6	-249.724	0.984	90.50	86.55	88.52	27.17	300.2	-258.661	0.996	90.81	86.60	88.67	27.17	307.3	-188.802	0.955	92.38	88.89	90.62	27.17	315.9	-273.101	0.997	90.52	86.04	88.21	27.17	291.9	-245.221	0.995	90.25	86.38	88.29	27.17	300.5	-258.244	0.996	89.55	85.45	87.51	27.17	244.7	-198.396	0.993	90.50	87.16	88.85	27.17	27.08	27.50	0.00
11/22/2021/6:14:56 PM	1200	2	F480/W60/M60	311.7	-251.712	0.996	90.64	86.78	88.72	27.43	332.3	-259.591	0.990	90.24	85.93	88.10	27.43	334.0	-292.953	0.997	90.61	85.90	88.25	27.43	303.1	-190.652	0.953	91.94	88.90	90.40	27.43	299.5	-263.472	0.996	90.54	86.34	88.39	27.43	286.4	-245.091	0.996	90.20	86.26	88.23	27.43	299.7	-262.172	0.996	89.35	85.00	87.28	27.43	245.4	-203.314	0.992	90.41	87.20	88.75	27.43	27.29	27.50	0.00
11/22/2021/6:24:56 PM	1799	3	F480/W60/M60	326.7	-265.391	0.995	90.08	85.64	87.93	27.71	297.5	-233.927	0.981	90.04	86.05	87.96	27.71	340.1	-300.000	0.996	90.33	85.33	87.85	27.71	323.5	-204.683	0.949	91.72	88.32	90.05	27.71	305.3	-270.120	0.995	89.91	85.61	87.63	27.71	293.1	-252.401	0.997	89.62	85.60	87.68	27.71	301.9	-265.681	0.996	89.21	84.90	86.91	27.71	245.5	-204.695	0.991	90.27	86.96	88.56	27.71	27.59	27.50	0.00
11/22/2021/6:34:56 PM	2400	4	F480/W60/M60	328.0	-263.991	0.994	90.15	85.67	87.80	27.78	319.1	-248.386	0.985	89.93	85.77	87.92	27.78	318.8	-278.845	0.995	89.98	85.53	87.69	27.78	325.7	-203.517	0.934	91.80	88.19	90.03	27.78	332.7	-291.993	0.997	89.77	85.11	87.55	27.78	299.5	-255.445	0.996	89.63	85.58	87.61	27.78	482.4	-421.959	0.995	88.70	82.00	85.55	27.78	252.4	-207.920	0.991	90.12	86.82	88.47	27.78	27.74	27.50	0.00
