"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit"
"1","CH1","1",17.58,317,(2021-Dec-02 19:53:52),"M12",31.0178333333333,-0.00160420228689866,-0.00131894128745625,4.84794294387578e-05,0.939340851451454,1.72918889547551,17.7821090128164,1.42170264104454,80.8704573973002,"mg O2"
"2","CH2","2",17.28,317,(2021-Dec-02 19:44:22),"M11",31.0286666666667,-0.0103617562908833,-0.0102184727122508,7.37202231502268e-05,0.996991567506106,11.1802521438127,1.38281170305557,11.025650308737,638.058466940797,"mg O2"
"3","CH3","3",21.28,317,(2021-Dec-02 20:22:22),"M15",31.0186666666667,-0.0111175907168486,-0.0109468986244329,4.82387187006377e-05,0.998879830780967,11.8356981364313,1.53533347973516,11.6539807003823,547.649469002927,"mg O2"
"4","CH4","4",20.2,317,(2021-Dec-02 19:53:52),"M12",31.0178333333333,-0.0103018536749286,-0.0101408756014476,0.000120908804070686,0.991853102591709,11.0073246145877,1.56261269632194,10.8353227626348,536.402116962117,"mg O2"
"5","CH5","5",18.52,317,(2021-Dec-02 20:41:22),"M17",31.01,-0.0099655014535427,-0.00981031418639862,4.85807956648198e-05,0.998579756811633,10.7082103458723,1.55724494013199,10.5414572820825,569.193157779835,"mg O2"
"6","CH6","6",18.05,317,(2021-Dec-02 21:00:22),"M19",31.012,-0.00817128285337015,-0.0080149052075166,5.16440203759679e-05,0.997600267639688,8.79409803245403,1.91374657639044,8.62580128243352,477.883727558644,"mg O2"
"7","CH7","7",21.6,317,(2021-Dec-02 20:31:52),"M16",31.0186666666667,-0.0114706002787917,-0.0112716782160651,6.51976190294915e-05,0.998070686558156,12.1982951604783,1.73419052091311,11.9867534820922,554.942290837604,"mg O2"
"8","CH8","8",20.23,317,(2021-Dec-02 20:31:52),"M16",31.0186666666667,-0.0110297912407338,-0.0108907549125985,4.80087175758102e-05,0.99887558890428,11.7839201274452,1.26055267140276,11.6353776074827,575.154602446007,"mg O2"
"9","CH1","1",15.98,317,(2021-Dec-06 21:14:45),"M8",30.974,-0.00856663315477025,-0.0075209911127638,6.14069716822905e-05,0.9961484347443,9.28342048409619,12.2059859820681,8.15028748115097,510.030505704066,"mg O2"
"10","CH2","2",10.89,317,(2021-Dec-07 00:07:15),"M23",30.9785,-0.00772035453659024,-0.00635237101247673,8.53634027376182e-05,0.989634871039946,8.5077998179043,17.7191800924429,7.0002874462653,642.817947315455,"mg O2"
"11","CH3","3",14.39,317,(2021-Dec-06 23:44:15),"M21",30.9661666666667,-0.00889856696006217,-0.00766545305742752,5.32240877111358e-05,0.997211593362199,9.69406325202389,13.8574436554673,8.35071389894932,580.313683040258,"mg O2"
"12","CH4","4",20.13,317,(2021-Dec-06 20:40:15),"M5",30.9791666666667,-0.0104571176340303,-0.00951516477828816,8.89356752991072e-05,0.994958585750464,11.1758562432525,9.00776761539726,10.1691610838295,505.174420458493,"mg O2"
"13","CH5","5",16.41,317,(2021-Dec-06 21:14:45),"M8",30.974,-0.00909984252721203,-0.00840424210510034,5.54548473851647e-05,0.997481078814681,9.84715799491679,7.64409296129656,9.0944320837396,554.200614487483,"mg O2"
"14","CH6","6",19.19,317,(2021-Dec-06 22:46:45),"M16",30.9895,-0.009798824357377,-0.00893075929509827,5.64182313488819e-05,0.997690669611527,10.5054763747336,8.85886949922939,9.57480993242358,498.947886004355,"mg O2"
"15","CH7","7",12.87,317,(2021-Dec-06 22:00:45),"M12",30.9758333333333,-0.00848164761551294,-0.00752054433020319,6.90462410368873e-05,0.995134903249257,9.28628456150142,11.3315634989584,8.23400332972091,639.782698502013,"mg O2"
"16","CH8","8",14.1,317,(2021-Dec-06 22:12:15),"M13",30.9668333333333,-0.0089879473660076,-0.00794136133367141,6.97897927758001e-05,0.99554055457397,9.80081732578933,11.6443275613115,8.65957805268865,614.15447182189,"mg O2"
"17","CH1","1",22.38,317,(2021-Dec-09 10:03:54),"M13",31.0676666666667,-0.00225077817422108,-0.000242836184240025,4.30410924236516e-05,0.203729800458591,2.38724735648045,89.2110121281026,0.257559827762866,11.5084820269377,"mg O2"
"18","CH2","2",19.33,317,(2021-Dec-09 09:44:54),"M11",31.0771666666667,-0.00261615601152408,-0.000199226620226506,6.60606021209807e-05,0.115820763538105,2.80350417582134,92.3847576616639,0.213493636954166,11.0446785801431,"mg O2"
"19","CH3","3",13.9,317,(2021-Dec-09 13:13:54),"M33",30.9963333333333,-0.00923209351500169,-0.00696060636643419,4.06123927305592e-05,0.998029418767224,10.0736911598292,24.6042476159546,7.59513524279833,546.412607395563,"mg O2"
"20","CH4","4",23.17,317,(2021-Dec-09 14:10:54),"M39",31.0751666666667,-0.00259606797216101,-0.000384169435931114,8.0160733748861e-05,0.282073153970582,2.74608954813625,85.2018729844225,0.406369819294702,17.5386197364998,"mg O2"
"21","CH5","5",19.42,317,(2021-Dec-09 10:03:54),"M13",31.0676666666667,-0.0111829470313834,-0.00923718157893885,4.59489776399214e-05,0.998566895361236,11.9801569593567,17.3993979134843,9.89568177933824,509.561368657994,"mg O2"
"22","CH6","6",20.1,317,(2021-Dec-09 11:57:54),"M25",31.0623333333333,-0.0118855288194428,-0.00983106729840561,4.37640755476363e-05,0.998851943418842,12.7037286233733,17.285402713226,10.5078379712278,522.778008518798,"mg O2"
"23","CH7","7",17.01,317,(2021-Dec-09 11:57:54),"M25",31.0623333333333,-0.0117897776797116,-0.00961533084367089,3.79255035110395e-05,0.999098490011814,12.732535462092,18.4434931269532,10.3842111592542,610.476846517001,"mg O2"
"24","CH8","8",15.56,317,(2021-Dec-09 11:00:54),"M19",31.0515,-0.00970019530614566,-0.00734915616197862,7.23848147542893e-05,0.994404856707742,10.5264967431044,24.2370289459792,7.97518668048061,512.544131136286,"mg O2"
"25","CH1","1",15.67,317,(2021-Dec-15 08:47:34),"M5",31.0285,-0.00452105971564256,-0.00436211001723579,3.72637078704429e-05,0.995785242589557,4.90439132681246,3.51576197626442,4.73196460137717,301.976043482908,"mg O2"
"26","CH2","2",16,317,(2021-Dec-15 11:57:34),"M25",31.013,-0.00791568555942307,-0.00764494828618325,5.71873268463133e-05,0.996765022442108,8.57743687219084,3.4202631118606,8.28406596290817,517.754122681761,"mg O2"
"27","CH3","3",14.2,317,(2021-Dec-15 11:29:04),"M22",30.9953333333333,-0.00679527778722318,-0.0064669807873696,3.57382549487721e-05,0.998231834334216,7.40739641029625,4.83125208613051,7.04952641669585,496.445522302525,"mg O2"
"28","CH4","4",20.8,317,(2021-Dec-15 11:48:04),"M24",31.0031666666667,-0.0093672850186105,-0.00901547387871515,8.77623338548776e-05,0.994533784575553,9.98852336104476,3.75574287743343,9.61338010635154,462.181735882286,"mg O2"
"29","CH5","5",12.61,317,(2021-Dec-15 10:32:04),"M16",31.0395,-0.00645910966976935,-0.00618556401455569,4.32009949793451e-05,0.997178825636506,7.07791821257194,4.23503654836434,6.77816578940618,537.523060222536,"mg O2"
"30","CH6","6",21.3,317,(2021-Dec-15 08:19:04),"M2",30.9996666666667,-0.00863122056001736,-0.00849223319100018,4.84743957960208e-05,0.998100138979913,9.18810691054968,1.6102863789742,9.04015207648351,424.420285280916,"mg O2"
"31","CH7","7",14.15,317,(2021-Dec-15 08:38:04),"M4",31.0145,-0.00552202133661945,-0.00531629181733561,4.50521887300877e-05,0.995852017010349,6.02043898246272,3.72561978200872,5.79614031676833,409.621223799882,"mg O2"
"32","CH8","8",15.78,317,(2021-Dec-15 08:28:34),"M3",31.0343333333333,-0.00782825567855224,-0.00764775008960883,6.343679498103e-05,0.996025217053236,8.48889783177662,2.30582132668406,8.2931590151711,525.54873353429,"mg O2"
