"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit"
"1","CH1","1",17.58,317,(2021-Dec-02 18:36:52),"M4",31.013,-0.00797614151934814,-0.00784200338469606,4.49752409216988e-05,0.99809588486698,8.59757865740359,1.68174215974852,8.4529895524045,480.829894903555,"mg O2"
"2","CH2","2",17.28,317,(2021-Dec-02 23:32:22),"M35",31.0111666666667,-0.0120887534914458,-0.0118810614879147,6.10099349229093e-05,0.998472944114214,13.0436683072421,1.71805971292284,12.8195702969681,741.873281074542,"mg O2"
"3","CH3","3",21.28,317,(2021-Dec-03 00:00:52),"M38",31.018,-0.0141978190961389,-0.0139814035030243,5.33219319541842e-05,0.999157107888748,15.1148846271967,1.52428758000888,14.8844903180916,699.459131489269,"mg O2"
"4","CH4","4",20.2,317,(2021-Dec-03 00:10:22),"M39",31.0078333333333,-0.012846138126508,-0.0126189704189006,8.42365408086438e-05,0.997422134827471,13.7258416654113,1.76837354051703,13.4831175131869,667.481065009252,"mg O2"
"5","CH5","5",18.52,317,(2021-Dec-02 22:16:22),"M27",31.013,-0.0124879204478271,-0.0123057509893331,3.53208511010938e-05,0.999522397492568,13.4186201829628,1.45876536654036,13.2228739990661,713.978077703356,"mg O2"
"6","CH6","6",18.05,317,(2021-Dec-02 22:16:22),"M27",31.013,-0.0127856584626083,-0.0126121498554571,4.75125884094194e-05,0.999177549445625,13.7601813506283,1.35705648370516,13.5734479174401,751.99157437341,"mg O2"
"7","CH7","7",21.6,317,(2021-Dec-03 00:38:52),"M42",31.0395,-0.0156147583309401,-0.0153611682688299,6.76594127909314e-05,0.998876048558517,16.6053585994549,1.62404090243116,16.3356807838044,756.281517768723,"mg O2"
"8","CH8","8",20.23,317,(2021-Dec-02 23:51:22),"M37",31.0078333333333,-0.0128465946977688,-0.0126573458037921,5.25325329661008e-05,0.999001919182406,13.7249420704447,1.47314442799073,13.522753851089,668.450511670241,"mg O2"
"9","CH1","1",15.98,317,(2021-Dec-07 01:50:45),"M32",30.9678333333333,-0.0111247117708509,-0.00962462848468803,7.43257223114303e-05,0.996553020257493,12.0555386541416,13.4842440600882,10.4299403992588,652.687133871017,"mg O2"
"10","CH2","2",10.89,317,(2021-Dec-06 22:23:45),"M14",30.977,-0.0094105468801132,-0.00821035194665683,5.71884935900423e-05,0.997193911413347,10.3703850196972,12.7537214228503,9.04777500380804,830.833333683016,"mg O2"
"11","CH3","3",14.39,317,(2021-Dec-07 02:02:15),"M33",30.9755,-0.0104881777991989,-0.00900776022754022,4.95375614556099e-05,0.998248934215205,11.4257789417361,14.1151075048686,9.8130179608414,681.933145298221,"mg O2"
"12","CH4","4",20.13,317,(2021-Dec-06 22:35:15),"M15",30.9741666666667,-0.012863433604724,-0.0117668725821487,0.000101983344365288,0.995662131510483,13.7475631232438,8.52463701583214,12.5756332684649,624.720977072276,"mg O2"
"13","CH5","5",16.41,317,(2021-Dec-06 22:23:45),"M14",30.977,-0.0112599699333205,-0.0104867982778133,5.08458348471136e-05,0.998638363526227,12.1846837041245,6.86655168784447,11.3480160995805,691.530536232813,"mg O2"
