Date & time of file creation	12/3/2021 9:14 AM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_12_1_2021\empty_post_12.3.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_12_1_2021\empty_post_12.3.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	17.52	299.48	0																																																														
Chamber 2	17.9	298.9191919191919																																																															
Chamber 3	22.21	295.009900990099																																																															
Chamber 4	21.05	295.95																																																															
Chamber 5	19.080	297.53061224489795	0																																																														
Chamber 6	18.6	298.2121212121212																																																															
Chamber 7	22.96	294.040																																																															
Chamber 8	20.7	296.09090909090906																																																															
																																																																	
																																																																	
