Date & time of file creation	12/8/2021 3:16 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_12_1_2021\empty_pre_12.8.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_12_1_2021\empty_pre_12.8.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.0000	29.4200	0.00	100.00	22.15	16.82																																							
Chamber 2	1	59.5300	29.4000	0.00	100.00	22.15	16.82																																							
Chamber 3	1	59.5000	29.3300	0.00	100.00	22.20	16.82																																							
Chamber 4	1	59.5000	29.2000	0.00	100.00	22.21	16.82																																							
Chamber 5	1	58.0000	28.7700	0.00	100.00	21.97	16.82																																							
Chamber 6	1	58.1000	28.4900	0.00	100.00	21.80	16.81																																							
Chamber 7	1	58.3000	28.7300	0.00	100.00	21.70	16.82																																							
Chamber 8	1	58.3600	28.6200	0.00	100.00	21.60	16.82																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	15.98	0.99	0	Not used	Not used	Not used																																						
Chamber 2	270	47	10.89	0.99	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	14.39	0.99	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	20.13	1	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	16.41	0.99	0	Not used	Not used	Not used																																						
Chamber 6	270	47	19.190	1.01	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	12.87	0.99	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	14.1	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
12/8/2021/3:17:00 PM	Flush	1013.0	0.0	28.8700	21.05	96.84	28.9000	21.05	96.60	28.8000	21.05	96.89	28.5900	21.05	97.67	28.1929	21.05	97.06	27.9800	21.05	96.63	28.1629	21.05	97.10	28.0829	21.05	96.91	NaN	NaN	NaN	NaN	21.0500	21.05	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:01 PM	F1   	1013.0	0.0	28.8800	21.05	96.75	28.8900	21.05	96.68	28.8000	21.05	96.89	28.6700	21.05	96.96	28.1950	21.05	97.04	27.9825	21.05	96.61	28.1650	21.05	97.08	28.0875	21.05	96.87	NaN	NaN	NaN	NaN	21.0500	21.05	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:02 PM	F1   	1013.0	0.0	28.8900	21.05	96.66	28.8900	21.05	96.68	28.8000	21.05	96.89	28.6900	21.05	96.78	28.1800	21.05	97.18	27.9925	21.05	96.52	28.1600	21.05	97.12	28.0825	21.05	96.91	NaN	NaN	NaN	NaN	21.0500	21.05	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:03 PM	F1   	1013.0	0.0	28.8900	21.06	96.64	28.8700	21.06	96.84	28.8000	21.06	96.87	28.6500	21.06	97.12	28.1750	21.06	97.21	27.9975	21.06	96.45	28.1850	21.06	96.88	28.0900	21.06	96.83	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:04 PM	F1   	1013.0	0.0	28.8700	21.06	96.82	28.8800	21.06	96.76	28.8100	21.06	96.78	28.6300	21.06	97.29	28.1675	21.06	97.27	27.9850	21.06	96.56	28.1725	21.06	96.99	28.0900	21.06	96.83	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:05 PM	F1   	1013.0	0.0	28.8900	21.06	96.64	28.8800	21.06	96.76	28.8300	21.06	96.61	28.6700	21.06	96.94	28.1850	21.06	97.12	27.9750	21.06	96.65	28.1825	21.06	96.90	28.0900	21.06	96.83	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:06 PM	F1   	1013.0	0.0	28.8600	21.06	96.91	28.8800	21.06	96.76	28.8200	21.06	96.69	28.6700	21.06	96.94	28.1725	21.06	97.23	27.9850	21.06	96.56	28.1900	21.06	96.84	28.0925	21.06	96.80	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:07 PM	F1   	1013.0	0.0	28.8800	21.06	96.73	28.8800	21.06	96.76	28.8000	21.06	96.87	28.6400	21.06	97.20	28.1800	21.06	97.16	27.9775	21.06	96.63	28.1850	21.06	96.88	28.0950	21.06	96.78	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9625	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:08 PM	F1   	1013.0	0.0	28.8800	21.06	96.73	28.8800	21.06	96.76	28.8000	21.06	96.87	28.7000	21.06	96.67	28.1775	21.06	97.18	28.0050	21.06	96.38	28.1700	21.06	97.02	28.0850	21.06	96.87	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9675	20.97	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:09 PM	F1   	1013.0	0.0	28.8700	21.06	96.82	28.8700	21.06	96.84	28.7800	21.06	97.05	28.6100	21.06	97.47	28.1725	21.06	97.23	28.0150	21.06	96.29	28.1675	21.06	97.04	28.0950	21.06	96.78	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:10 PM	F1   	1013.0	0.0	28.8700	21.06	96.82	28.8800	21.06	96.76	28.8300	21.06	96.61	28.6500	21.06	97.12	28.1775	21.06	97.18	28.0050	21.06	96.38	28.1675	21.06	97.04	28.0800	21.06	96.92	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
12/8/2021/3:17:11 PM	F1   	1013.0	0.0	28.8600	21.06	96.91	28.8800	21.06	96.76	28.8100	21.06	96.78	28.6800	21.06	96.85	28.1700	21.06	97.25	28.0100	21.06	96.34	28.1825	21.06	96.90	28.0825	21.06	96.89	NaN	NaN	NaN	NaN	21.0600	21.06	OFF	20.9600	20.96	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
