Date & time of file creation	7/30/2021 1:34 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\empty_post_7.30.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\empty_post_7.30.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 2	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 3	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 4	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 5	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 6	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 7	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 8	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	0	1	13.6	Not used	Not used	Not used																																						
Chamber 2	70	8	0	1	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	0	1	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	0	1	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	0	1	10	Not used	Not used	Not used																																						
Chamber 6	70	8	0	1	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	0	1	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	0	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [mg/L]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [mg/L]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [mg/L]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [mg/L]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [mg/L]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [mg/L]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [mg/L]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [mg/L]	CH1 Velocity input [RPM]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/30/2021/1:34:19 PM	Flush	1013	0	27.4133	20.99	8.32346510695517	27.41	20.99	8.32613945581678	27.3533	20.99	8.37071193684364	27.1433	20.99	8.45807399965627	26.9717	21.02	8.50746123034024	26.925	21.02	8.54488016129367	26.9433	21.02	8.6108087539259	26.8683	21.02	8.59120836152172	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:20 PM	Flush	1013	0	27.3912	20.99	8.34040264974537	27.3975	20.99	8.33594540164269	27.3637	20.99	8.3626888902588	27.1562	20.99	8.44826805383037	26.9312	21.02	8.54042552665635	26.9012	21.02	8.56448055369784	27.005	21.02	8.56091684598799	26.9075	21.02	8.55913499213307	NA	NA	NA	NA	20.99	20.99	OFF	21.0188	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:21 PM	Flush	1013	0	27.365	20.99	8.36090599101773	27.33	20.99	8.38854092925438	27.37	20.99	8.35734019253558	27.135	20.99	8.46520559662057	26.9425	21.01	8.53407520891864	26.9112	21.01	8.55902603964327	26.9725	21.01	8.59021457804905	26.895	21.01	8.57239255610289	NA	NA	NA	NA	20.99	20.99	OFF	21.01	21.01	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:22 PM	Flush	1013	0	27.3888	20.99	8.34218554898645	27.3163	20.99	8.40012977432136	27.3888	20.99	8.34218554898645	27.135	20.99	8.46520559662057	26.9563	21.01	8.52249089465364	26.9263	21.01	8.54655062428096	26.9912	21.01	8.57506585939481	26.9262	21.01	8.54655062428096	NA	NA	NA	NA	20.99	20.99	OFF	21.01	21.01	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:23 PM	F1	1013	0	27.4275	20.99	8.31187626188818	27.305	20.99	8.40904427052673	27.4088	20.99	8.32703090543732	27.1675	20.99	8.43846210800446	26.9288	21.01	8.54476842208634	26.9662	21.01	8.51447098477787	27.0012	21.01	8.56704594951904	26.8987	21.01	8.56971925281096	NA	NA	NA	NA	20.99	20.99	OFF	21.01	21.01	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:24 PM	F1	1013	0	27.4138	20.99	8.32257365733463	27.38	20.99	8.34931714595074	27.3975	20.99	8.33594540164269	27.1537	20.99	8.45005095307144	26.9275	21.01	8.54565952318365	26.9388	21.01	8.53674851221057	27.0088	21.01	8.56080824183788	26.8925	21.01	8.5741747582975	NA	NA	NA	NA	20.99	20.99	OFF	21.0113	21.01	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:25 PM	F1	1013	0	27.4038	20.99	8.33059670391946	27.3537	20.99	8.3698204872231	27.3837	20.99	8.34664279708913	27.125	20.99	8.47322864320541	26.9713	21.02	8.50746123034024	26.9262	21.02	8.5439892343662	27.0025	21.02	8.56269869984292	26.9062	21.02	8.56002591906053	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:26 PM	F1	1013	0	27.4488	20.99	8.29583016871852	27.325	20.99	8.39299817735706	27.355	20.99	8.36892903760256	27.1762	20.99	8.4322219606607	26.9163	21.02	8.55200757671337	26.9012	21.02	8.56448055369784	27.0113	21.02	8.55557128442322	26.885	21.02	8.57784445760978	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:27 PM	F1	1013	0	27.4337	20.99	8.3074190137855	27.35	20.99	8.37338628570525	27.3837	20.99	8.34664279708913	27.2125	20.99	8.40280412318297	26.9575	21.02	8.51815235346979	26.9125	21.02	8.55468035749575	26.9563	21.02	8.60011763079635	26.9213	21.02	8.54755294207605	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:28 PM	F1	1013	0	27.445	20.99	8.29850451758013	27.35	20.99	8.37338628570525	27.38	20.99	8.34931714595074	27.17	20.99	8.43667920876338	26.9375	21.02	8.53507996509158	26.93	21.02	8.54042552665635	26.9937	21.02	8.56982611526262	26.9237	21.02	8.54577108822113	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:29 PM	F1	1013	0	27.4537	20.99	8.29137292061583	27.3425	20.99	8.37873498342847	27.37	20.99	8.35734019253558	27.1475	20.99	8.45450820117413	26.9163	21.02	8.55200757671337	26.925	21.02	8.54488016129367	26.9525	21.02	8.6036813385062	26.8775	21.02	8.58408094610202	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:30 PM	F1	1013	0	27.4375	20.99	8.30474466492389	27.3375	20.99	8.38319223153116	27.37	20.99	8.35734019253558	27.1638	20.99	8.44202790648661	26.8925	21.02	8.57160796911754	26.895	21.02	8.56982611526262	26.97	21.02	8.5894265076668	26.8625	21.02	8.5965539230865	NA	NA	NA	NA	20.99	20.99	OFF	21.0188	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:31 PM	F1	1013	0	27.415	20.99	8.32168220771409	27.365	20.99	8.36090599101773	27.3513	20.99	8.37249483608471	27.1588	20.99	8.44559370496875	26.9138	21.01	8.55724383744865	26.93	21.01	8.54387732098903	26.9737	21.01	8.58932347695174	26.88	21.01	8.5848679714652	NA	NA	NA	NA	20.99	20.99	OFF	21.0113	21.01	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:32 PM	F1	1013	0	27.4325	20.99	8.30831046340604	27.3675	20.99	8.35912309177665	27.3463	20.99	8.37606063456686	27.1663	20.99	8.44024500724553	26.9438	21.02	8.5297344035268	26.9275	21.02	8.54309830743874	26.9988	21.02	8.56537148062531	26.8788	21.02	8.58229909224709	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:33 PM	F1	1013	0	27.405	20.99	8.32970525429893	27.3412	20.99	8.37962643304901	27.3712	20.99	8.35644874291504	27.2025	20.99	8.41082716976781	26.9637	21.02	8.51369771883247	26.9125	21.02	8.55468035749575	26.9937	21.02	8.56982611526262	26.875	21.02	8.58586279995694	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
7/30/2021/1:34:34 PM	F1	1013	0	27.395	20.99	8.33772830088376	27.345	20.99	8.3769520841874	27.355	20.99	8.36892903760256	27.1825	20.99	8.42687326293747	26.925	21.02	8.54488016129367	26.9262	21.02	8.5439892343662	27.0137	21.02	8.55378943056829	26.9037	21.02	8.56180777291545	NA	NA	NA	NA	20.99	20.99	OFF	21.02	21.02	OFF	NA	20	NA	OFF	NA	20	NA	OFF	NA
