Date & time of file creation	7/27/2021 6:59 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\SMR_23_LF_7_27_2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\SMR_23_LF_7_27_2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	3.53	74.49801587301589	13.6																																																														
Chamber 2	2.85	75.50000000000001																																																															
Chamber 3	0	78.00000000000001																																																															
Chamber 4	2.56	75.50000000000001																																																															
Chamber 5	0	78.00000000000001	10																																																														
Chamber 6	2.91	75.00000000000001																																																															
Chamber 7	3.19	74.99056603773586																																																															
Chamber 8	2.11	75.9904761904762																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
7/27/2021/7:09:48 PM	600	1	F360/W60/M180	311.2	-176.484	0.986	93.34	84.93	89.36	22.93	235.0	-108.077	0.969	93.19	87.26	90.42	22.93	Inf	-7.960	0.064	94.56	93.59	94.11	22.93	281.9	-116.079	0.977	92.59	86.82	90.11	22.93	-Inf	7.190	0.348	96.47	95.00	95.77	23.04	373.4	-174.725	0.991	94.13	85.03	89.92	23.04	296.0	-152.662	0.987	94.55	86.70	90.61	23.04	335.9	-114.660	0.977	95.59	89.50	92.71	23.04	22.97	21.00	0.10	23.09	21.00	0.10
