Date & time of file creation	7/27/2021 5:01 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\tempchange_LF_21_23_07_27_2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\tempchange_LF_21_23_07_27_2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	3.53	74.49801587301589	13.6																																																														
Chamber 2	2.85	75.50000000000001																																																															
Chamber 3	0	78.00000000000001																																																															
Chamber 4	2.56	75.50000000000001																																																															
Chamber 5	0	78.00000000000001	10																																																														
Chamber 6	2.91	75.00000000000001																																																															
Chamber 7	3.19	74.99056603773586																																																															
Chamber 8	2.11	75.9904761904762																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
7/27/2021/5:12:33 PM	600	1	F360/W60/M180	281.2	-150.954	0.993	93.49	86.06	89.96	22.00	330.5	-141.288	0.985	93.52	86.40	89.92	22.00	Inf	-2.729	0.075	94.66	93.76	94.13	22.00	293.0	-112.248	0.971	93.68	88.17	91.43	22.00	-Inf	4.396	0.039	96.48	95.13	95.79	21.97	324.4	-142.569	0.991	94.43	87.38	90.95	21.97	283.8	-136.728	0.983	94.16	86.79	90.35	21.97	341.3	-106.993	0.987	95.79	90.41	93.17	21.97	21.67	21.00	0.10	21.64	21.00	0.10
7/27/2021/5:22:33 PM	1200	2	F360/W60/M180	268.9	-151.533	0.988	93.22	85.49	89.57	21.66	300.1	-135.411	0.978	92.18	85.41	88.91	21.66	Inf	-10.745	0.113	94.30	93.12	93.80	21.66	276.5	-113.326	0.977	92.35	86.54	89.86	21.66	-Inf	-7.168	0.039	96.48	94.79	95.50	21.68	342.6	-160.930	0.990	94.66	86.25	90.52	21.68	290.0	-150.118	0.991	94.66	86.90	90.69	21.68	330.1	-114.341	0.978	95.87	90.02	93.20	21.68	21.89	21.00	0.10	21.90	21.00	0.10
7/27/2021/5:32:33 PM	1800	3	F360/W60/M180	276.7	-149.496	0.993	93.78	86.23	90.13	21.95	283.9	-122.147	0.987	93.03	86.62	89.81	21.95	Inf	-2.038	0.042	94.69	93.93	94.33	21.95	275.5	-106.431	0.971	92.83	87.97	90.67	21.95	-Inf	3.564	0.038	96.42	94.97	95.67	21.85	315.7	-139.510	0.990	94.74	87.56	91.25	21.85	262.9	-127.381	0.989	94.54	87.79	91.13	21.85	304.1	-96.157	0.982	96.16	90.85	93.64	21.85	21.70	21.00	0.10	21.67	21.00	0.10
7/27/2021/5:42:33 PM	2400	4	F360/W60/M180	274.0	-149.038	0.983	93.30	85.64	90.00	22.04	317.0	-137.398	0.977	93.10	85.92	89.60	22.04	Inf	-12.763	0.536	94.76	93.66	94.22	22.04	241.4	-94.092	0.976	92.14	87.48	90.07	22.04	Inf	-7.791	0.135	96.06	94.70	95.45	21.92	339.1	-151.609	0.992	94.89	87.26	91.12	21.92	295.6	-144.925	0.991	94.79	87.59	91.15	21.92	319.5	-102.696	0.980	96.10	90.49	93.39	21.92	22.05	21.00	0.10	21.95	21.00	0.10
7/27/2021/5:52:33 PM	3000	5	F360/W60/M180	278.0	-152.901	0.984	93.37	85.82	90.02	22.01	268.6	-118.225	0.971	93.32	87.02	90.48	22.01	Inf	-5.790	0.097	94.51	93.60	94.09	22.01	237.8	-94.468	0.987	92.03	87.30	89.86	22.01	-Inf	2.729	0.060	96.41	95.16	95.77	21.98	347.2	-154.921	0.986	94.83	87.29	91.34	21.98	266.2	-130.376	0.986	94.35	87.74	91.22	21.98	334.6	-107.177	0.986	96.08	90.67	93.52	21.98	22.07	21.00	0.10	21.98	21.00	0.10
7/27/2021/6:02:33 PM	3600	6	F360/W60/M180	305.2	-149.421	0.990	93.54	85.89	89.99	22.14	307.3	-116.501	0.982	93.45	87.46	90.50	22.14	Inf	-12.794	0.896	94.63	93.54	94.09	22.14	282.4	-93.295	0.980	92.59	87.87	90.55	22.14	Inf	-6.733	0.497	96.33	94.90	95.61	22.13	365.7	-152.746	0.987	94.68	86.99	91.20	22.13	300.7	-136.645	0.987	94.80	87.92	91.43	22.13	369.1	-107.259	0.980	96.03	90.46	93.46	22.13	22.03	21.00	0.10	22.06	21.00	0.10
