Date & time of file creation	7/27/2021 5:01 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\tempchange_LF_21_23_07_27_2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_7_26_2021\tempchange_LF_21_23_07_27_2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 2	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 3	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 4	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 5	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 6	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 7	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
Chamber 8	1	59.5000	26.7000	0.00	100.00	20.95	19.81																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	3.53	1.008	13.6	Not used	Not used	Not used																																						
Chamber 2	70	8	2.85	1.140	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	0	1	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	2.56	1.024	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	0	1	10	Not used	Not used	Not used																																						
Chamber 6	70	8	2.91	0.97	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	3.19	1.06	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	2.11	1.05	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [RPM]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
7/27/2021/5:02:33 PM		1013.0	0.0	27.4900	21.08	90.83	27.6400	21.08	89.56	27.1250	21.08	94.01	27.2550	21.08	92.86	26.9333	21.03	95.82	27.0700	21.03	94.58	27.1467	21.03	93.90	26.9400	21.03	95.76	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	21.0300	21.03	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:34 PM	Flush	1013.0	0.0	27.4862	21.09	90.85	27.6250	21.09	89.67	27.1387	21.09	93.88	27.2575	21.09	92.83	26.9350	21.03	95.80	27.0550	21.03	94.72	27.1375	21.03	93.98	26.9650	21.03	95.53	NaN	NaN	NaN	NaN	21.0862	21.09	OFF	21.0300	21.03	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:35 PM	F1   	1013.0	0.0	27.4337	21.09	91.29	27.5912	21.09	89.95	27.1250	21.09	94.00	27.2437	21.09	92.94	26.9825	21.03	95.37	27.0575	21.03	94.69	27.1300	21.03	94.04	26.9425	21.03	95.73	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	21.0300	21.03	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:36 PM	F1   	1013.0	0.0	27.4312	21.09	91.31	27.5550	21.09	90.26	27.1163	21.09	94.07	27.2213	21.09	93.14	26.9625	21.02	95.56	27.0675	21.02	94.62	27.1000	21.02	94.32	26.9375	21.02	95.79	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	21.0225	21.02	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:37 PM	F1   	1013.0	0.0	27.4625	21.09	91.05	27.5837	21.09	90.02	27.1137	21.09	94.10	27.2225	21.09	93.13	26.9125	21.02	96.02	27.0550	21.02	94.73	27.1275	21.02	94.08	26.9625	21.02	95.57	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	21.0200	21.02	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:38 PM	F1   	1013.0	0.0	27.4638	21.09	91.04	27.5725	21.09	90.11	27.1412	21.09	93.85	27.2362	21.09	93.01	26.9000	21.02	96.14	27.0725	21.02	94.57	27.1550	21.02	93.84	26.9175	21.02	95.98	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	21.0200	21.02	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:39 PM	F1   	1013.0	0.0	27.4725	21.09	90.96	27.5375	21.09	90.41	27.1412	21.09	93.85	27.2025	21.09	93.31	26.9150	21.02	96.00	27.0800	21.02	94.51	27.1075	21.02	94.26	26.9150	21.02	96.00	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	21.0200	21.02	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
7/27/2021/5:02:40 PM	F1   	1013.0	0.0	27.4550	21.09	91.11	27.5800	21.09	90.05	27.1425	21.09	93.84	27.2362	21.09	93.01	26.9350	21.02	95.82	27.0425	21.02	94.84	27.1125	21.02	94.22	26.9350	21.02	95.82	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	21.0200	21.02	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
