"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",4.15,78,(2021-Aug-04 13:34:52),"M3",21.0130555555556,-0.00782440521328127,-0.00778552901376522,6.30671041008547e-05,0.988454671752534,2.08019637000296,0.496858207829787,2.06986074359962,498.761624963764,"mg O2","MMR",21,1
"2","CH2","2",2.84,78,(2021-Aug-04 13:34:52),"M3",21.0130555555556,-0.00569656306190799,-0.00560381235555128,3.52289712461103e-05,0.993014326717033,1.54135324703882,1.62818712526726,1.51625713191564,533.893356308325,"mg O2","MMR",21,1
"3","CH3","3",3.13,78,(2021-Aug-04 13:44:52),"M4",20.9932777777778,-0.00708415799190932,-0.00706059534370006,4.50981596637893e-05,0.992790376975479,1.9094072718753,0.33261042788952,1.90305638417817,608.005234561714,"mg O2","MMR",21,1
"4","CH4","4",2.9,78,(2021-Aug-04 13:54:52),"M5",20.9835555555556,-0.0060458953295847,-0.00595623086041303,2.91117754689461e-05,0.995765798235175,1.63456826130652,1.48306353788348,1.61032657542127,555.285026007333,"mg O2","MMR",21,1
"5","CH5","5",2.54,78,(2021-Aug-04 14:16:52),"M7",21.0530555555556,-0.00484266229204605,-0.0045265921081219,2.41568011519147e-05,0.994956174201884,1.31553826760806,6.52678557501907,1.22967590572396,484.124372332269,"mg O2","MMR",21,1
"6","CH6","6",2.71,78,(2021-Aug-04 14:27:52),"M8",20.9805,-0.00514385651100342,-0.00537514751096038,3.48849565710247e-05,0.992558309039218,1.39421144416841,-4.49645124163537,1.45690148196075,537.602022863744,"mg O2","MMR",21,1
"7","CH7","7",2.51,78,(2021-Aug-04 14:49:52),"M10",21.0492777777778,-0.00301131549121887,-0.00340963387617075,3.76431997462546e-05,0.97876482112427,0.818367143155604,-13.2273880340138,0.926615740723669,369.169617818195,"mg O2","MMR",21,1
"8","CH8","8",2.56,78,(2021-Aug-04 17:01:52),"M22",21.001,-0.00214843399487641,-0.00253006606678858,2.82132397286094e-05,0.978345193256356,0.583480298064516,-17.7632672366143,0.687125462682709,268.408383860433,"mg O2","MMR",21,1
"9","CH1","1",3.55,78,(2021-Aug-07 15:28:06),"M1",21.0225,-0.00777595456857951,-0.00774219981668931,5.19442628184224e-05,0.992051219205661,2.08411134347068,0.434091423663858,2.07506439486907,584.525181653259,"mg O2","MMR",21,4
"10","CH2","2",2.61,78,(2021-Aug-07 15:39:06),"M2",20.9916111111111,-0.00572614103293672,-0.00564125237018948,5.05043687822772e-05,0.985933870037954,1.55409758090316,1.48247593377388,1.53105845827891,586.612436122186,"mg O2","MMR",21,4
"11","CH3","3",2.99,78,(2021-Aug-07 15:50:06),"M3",21.0103888888889,-0.00621325038243747,-0.00619260070068019,3.9831152181898e-05,0.992689735064098,1.67780128027188,0.33234910049086,1.67222512280888,559.272616324039,"mg O2","MMR",21,4
"12","CH4","4",2.65,78,(2021-Aug-07 16:01:06),"M4",20.9409444444444,-0.0060843009335421,-0.00600072465295137,3.03355173863288e-05,0.995471605094012,1.65042747123263,1.37363817969592,1.62775656935959,614.247762022486,"mg O2","MMR",21,4
"13","CH5","5",2.35,78,(2021-Aug-07 16:12:06),"M5",20.9150555555556,-0.00556615564314806,-0.00522672659213985,3.10449716833434e-05,0.993759430337657,1.51588682785494,6.0980876707255,1.42344672010337,605.722008554624,"mg O2","MMR",21,4
"14","CH6","6",2.44,78,(2021-Aug-07 16:23:06),"M6",20.8865,-0.00609988401488521,-0.00634768497358286,3.59291774195164e-05,0.994329593602492,1.65926605019302,-4.06238804037835,1.72667187577412,707.652408104146,"mg O2","MMR",21,4
"15","CH7","7",2.22,78,(2021-Aug-07 16:45:06),"M8",20.8620555555556,-0.00420310423337813,-0.00459634081021058,3.88536131366078e-05,0.987440586682544,1.14664045969942,-9.35586069242918,1.25391854375193,564.828172861228,"mg O2","MMR",21,4
"16","CH8","8",2.46,78,(2021-Aug-07 16:45:06),"M8",20.8620555555556,-0.00442891581611269,-0.00473418623011128,4.53000987638142e-05,0.983963608117579,1.20441708269695,-6.89266688899325,1.28743354016138,523.346967545277,"mg O2","MMR",21,4
