Date & time of file creation	8/6/2021 12:59 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_25_21_8.6.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_25_21_8.6.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	4.05	74.00000000000001	13.6																																																														
Chamber 2	2.89	75.50000000000001																																																															
Chamber 3	3.38	74.75000000000001																																																															
Chamber 4	3.03	75.00000000000001																																																															
Chamber 5	2.71	75.24873096446701	10																																																														
Chamber 6	2.77	75.25742574257427																																																															
Chamber 7	2.58	75.49514563106797																																																															
Chamber 8	2.72	75.24974721941356																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
8/6/2021/1:10:23 PM	660	1	F420/W60/M180	371.9	-252.112	0.995	92.80	80.23	86.81	24.56	275.2	-134.386	0.973	94.06	87.06	90.50	24.56	310.3	-176.389	0.990	94.00	85.28	90.21	24.56	343.0	-174.171	0.994	92.71	83.72	88.45	24.56	325.3	-148.806	0.990	93.16	85.48	89.44	24.53	350.1	-162.830	0.984	93.09	84.70	89.41	24.53	368.4	-159.258	0.988	93.01	84.54	88.74	24.53	332.7	-152.426	0.990	91.82	83.92	88.15	24.53	24.80	21.00	0.10	24.79	21.00	0.10
8/6/2021/1:21:23 PM	1320	2	F420/W60/M180	331.5	-218.024	0.994	92.76	81.58	87.51	24.02	297.5	-137.744	0.971	94.10	87.07	90.75	24.02	306.5	-167.152	0.975	94.06	85.36	90.43	24.02	335.8	-163.619	0.994	93.20	84.82	89.04	24.02	345.5	-150.748	0.987	93.37	85.52	89.77	24.00	323.7	-144.474	0.981	93.41	86.09	90.07	24.00	386.8	-160.004	0.990	94.06	85.91	90.06	24.00	344.8	-150.953	0.993	92.42	84.89	88.68	24.00	24.18	21.00	0.10	24.17	21.00	0.10
8/6/2021/1:32:23 PM	1980	3	F420/W60/M180	320.0	-209.061	0.993	93.37	82.81	88.13	24.00	273.9	-125.498	0.967	94.54	87.58	91.26	24.00	273.6	-147.959	0.990	94.77	86.98	91.19	24.00	465.6	-224.499	0.980	93.37	82.96	88.74	24.00	322.8	-139.503	0.987	93.65	86.33	89.94	23.98	317.8	-140.354	0.981	94.11	86.65	90.69	23.98	332.4	-136.350	0.981	93.73	86.60	89.94	23.98	335.9	-145.604	0.991	92.54	85.32	88.92	23.98	24.01	21.00	0.10	24.00	21.00	0.10
8/6/2021/1:43:23 PM	2640	4	F420/W60/M180	348.0	-227.577	0.994	93.19	81.91	87.74	23.99	262.1	-120.456	0.946	94.44	87.84	91.52	23.99	316.9	-171.553	0.980	94.77	86.43	91.26	23.99	348.3	-168.469	0.992	93.64	85.17	89.37	23.99	302.6	-131.295	0.987	93.62	86.86	90.26	23.97	333.6	-147.704	0.985	93.90	86.63	90.59	23.97	349.0	-143.538	0.980	94.12	87.04	90.41	23.97	303.0	-131.911	0.989	92.97	85.93	89.25	23.97	24.00	21.00	0.10	24.00	21.00	0.10
8/6/2021/1:54:23 PM	3300	5	F420/W60/M180	325.7	-212.917	0.994	93.21	82.61	88.29	23.98	267.4	-122.720	0.948	94.48	87.77	91.70	23.98	269.6	-145.947	0.990	94.87	87.83	91.55	23.98	338.2	-163.462	0.993	93.74	85.26	89.66	23.98	322.6	-139.839	0.986	93.48	86.60	90.04	23.96	338.8	-149.939	0.987	94.09	86.51	90.49	23.96	374.0	-153.642	0.979	94.21	86.76	90.84	23.96	303.0	-131.890	0.991	93.07	86.31	89.63	23.96	23.99	21.00	0.10	23.99	21.00	0.10
8/6/2021/2:05:23 PM	3960	6	F420/W60/M180	385.5	-255.168	0.988	93.15	81.49	87.34	23.92	301.9	-142.089	0.964	94.51	86.64	91.30	23.92	285.1	-157.946	0.984	94.92	87.11	91.37	23.92	536.4	-261.973	0.991	93.24	80.45	87.29	23.92	318.1	-141.463	0.987	93.98	86.83	90.46	23.89	347.2	-157.175	0.979	94.15	86.47	90.74	23.89	338.0	-142.617	0.976	95.02	87.80	91.44	23.89	295.2	-132.061	0.985	93.00	86.49	89.62	23.89	23.96	21.00	0.10	23.96	21.00	0.10
8/6/2021/2:16:23 PM	4620	7	F420/W60/M180	325.8	-215.899	0.993	93.45	82.36	88.14	23.34	259.7	-123.522	0.961	95.07	88.07	91.69	23.34	284.6	-157.819	0.970	94.67	86.83	91.26	23.34	314.8	-155.940	0.994	93.36	85.55	89.45	23.34	301.6	-134.501	0.983	93.75	86.86	90.33	23.31	319.9	-145.255	0.980	93.86	86.58	90.63	23.31	275.0	-117.435	0.955	94.81	88.43	91.19	23.31	264.3	-119.122	0.987	92.83	86.93	89.93	23.31	23.57	21.00	0.10	23.55	21.00	0.10
8/6/2021/2:27:23 PM	5280	8	F420/W60/M180	288.6	-185.553	0.994	93.23	83.66	88.40	23.05	231.9	-104.813	0.923	95.20	89.31	92.41	23.05	270.5	-143.952	0.981	94.81	87.39	91.56	23.05	317.4	-150.865	0.992	93.67	85.87	89.98	23.05	286.2	-121.881	0.977	93.67	87.28	90.68	23.04	319.5	-138.832	0.986	94.51	87.14	90.92	23.04	282.3	-114.218	0.974	94.42	88.41	91.68	23.04	275.4	-117.751	0.983	93.24	86.92	90.16	23.04	23.11	21.00	0.10	23.10	21.00	0.10
8/6/2021/2:38:23 PM	5940	9	F420/W60/M180	293.2	-189.513	0.990	94.07	84.44	89.45	23.06	245.1	-111.743	0.951	95.25	88.89	92.23	23.06	227.7	-122.425	0.978	95.31	88.96	92.42	23.06	384.0	-183.283	0.994	93.63	84.29	89.11	23.06	294.6	-126.593	0.985	94.17	87.55	90.95	23.05	303.1	-132.989	0.977	94.76	87.97	91.71	23.05	293.1	-119.684	0.972	95.11	88.39	91.86	23.05	277.0	-119.604	0.979	93.40	87.19	90.25	23.05	23.07	21.00	0.10	23.07	21.00	0.10
8/6/2021/2:49:23 PM	6600	10	F420/W60/M180	307.4	-197.111	0.978	93.39	83.63	88.93	23.06	264.2	-118.724	0.940	95.00	88.20	92.27	23.06	248.5	-131.861	0.984	95.54	88.51	92.29	23.06	294.9	-139.734	0.991	94.28	87.05	90.81	23.06	273.1	-116.200	0.976	94.03	87.72	90.91	23.06	313.3	-136.000	0.979	94.49	87.25	91.26	23.06	289.5	-116.900	0.970	95.22	88.61	92.24	23.06	233.8	-100.033	0.980	93.26	88.01	90.65	23.06	23.06	21.00	0.10	23.06	21.00	0.10
8/6/2021/3:00:23 PM	7260	11	F420/W60/M180	348.7	-223.856	0.981	92.46	81.47	87.40	23.10	268.6	-121.060	0.964	94.96	88.73	91.99	23.10	301.4	-160.160	0.986	95.11	87.73	91.64	23.10	333.2	-158.189	0.989	94.06	85.72	90.16	23.10	276.0	-117.788	0.974	94.65	87.66	90.94	23.11	495.9	-214.929	0.985	93.68	82.59	88.55	23.11	349.7	-141.274	0.980	94.94	87.50	91.18	23.11	208.4	-89.631	0.970	93.17	88.18	90.90	23.11	23.09	21.00	0.10	23.11	21.00	0.10
8/6/2021/3:11:23 PM	7920	12	F420/W60/M180	269.6	-181.222	0.986	93.62	84.54	89.54	22.51	215.4	-106.299	0.954	94.62	88.98	92.08	22.51	228.5	-130.387	0.981	94.76	88.15	91.71	22.51	360.0	-178.821	0.959	94.06	85.49	90.18	22.51	248.4	-114.931	0.968	94.16	87.91	91.11	22.50	248.3	-117.250	0.958	94.35	88.24	91.64	22.50	259.9	-114.210	0.964	94.62	88.26	90.99	22.50	183.0	-88.132	0.951	94.36	89.42	91.91	22.50	22.83	21.00	0.10	22.84	21.00	0.10
8/6/2021/3:22:23 PM	8580	13	F420/W60/M180	264.7	-174.410	0.989	94.31	85.78	90.08	21.99	229.1	-109.181	0.940	94.93	88.04	91.78	21.99	170.7	-97.272	0.970	95.38	90.12	92.94	21.99	231.3	-115.753	0.980	94.13	88.37	91.52	21.99	247.3	-113.725	0.965	94.43	88.66	91.50	21.99	206.8	-99.024	0.922	94.78	89.32	92.62	21.99	309.8	-132.920	0.931	94.54	88.09	91.63	21.99	141.5	-70.458	0.864	93.92	90.08	92.30	21.99	22.17	21.00	0.10	22.20	21.00	0.10
8/6/2021/3:33:23 PM	9240	14	F420/W60/M180	246.0	-154.364	0.987	94.68	86.54	90.93	22.02	278.4	-122.227	0.965	95.59	89.16	92.49	22.02	237.3	-123.092	0.987	95.93	89.74	92.99	22.02	317.1	-146.893	0.985	94.68	87.35	91.26	22.02	261.8	-108.786	0.975	94.86	88.49	91.72	22.02	340.8	-144.420	0.966	95.59	88.01	92.20	22.02	272.3	-107.363	0.956	94.24	88.43	91.52	22.02	176.6	-73.944	0.937	94.45	90.28	92.52	22.02	21.98	21.00	0.10	21.99	21.00	0.10
8/6/2021/3:44:23 PM	9900	15	F420/W60/M180	290.6	-182.697	0.989	94.05	85.51	89.64	22.08	277.7	-122.308	0.952	94.41	87.60	91.46	22.08	224.0	-116.567	0.976	95.56	89.83	92.93	22.08	298.5	-138.704	0.977	94.95	87.52	91.60	22.08	260.8	-108.810	0.974	94.60	88.60	91.63	22.07	395.5	-167.941	0.984	93.87	84.33	89.05	22.07	270.3	-107.026	0.967	95.50	89.52	92.40	22.07	157.3	-66.346	0.949	94.16	90.36	92.34	22.07	22.07	21.00	0.10	22.08	21.00	0.10
8/6/2021/3:55:23 PM	10560	16	F420/W60/M180	325.9	-207.160	0.988	94.15	83.88	89.23	22.11	318.4	-142.483	0.973	95.07	86.88	91.34	22.11	220.8	-117.245	0.976	95.59	89.68	92.91	22.11	285.6	-135.034	0.981	94.42	87.61	91.29	22.11	248.8	-106.455	0.971	94.59	88.70	91.65	22.10	463.4	-199.114	0.990	93.88	83.80	89.10	22.10	231.5	-94.468	0.958	95.14	89.96	92.58	22.10	210.6	-91.004	0.897	94.09	89.69	92.11	22.10	22.11	21.00	0.10	22.12	21.00	0.10
8/6/2021/4:06:23 PM	11220	17	F420/W60/M180	297.5	-191.415	0.980	94.14	84.83	90.00	21.91	258.5	-118.628	0.965	95.07	88.36	92.04	21.91	211.9	-115.118	0.969	95.38	89.44	92.77	21.91	259.3	-125.224	0.968	94.67	88.03	91.75	21.91	255.8	-111.299	0.969	94.86	88.96	91.79	21.90	472.5	-204.368	0.988	93.09	82.06	87.86	21.90	220.8	-92.315	0.947	94.87	89.61	92.07	21.90	184.3	-82.222	0.934	94.16	89.78	92.23	21.90	22.00	21.00	0.10	22.00	21.00	0.10
8/6/2021/4:17:23 PM	11880	18	F420/W60/M180	194.1	-125.904	0.984	94.18	87.52	91.08	21.42	252.4	-115.112	0.951	95.17	88.58	92.16	21.42	210.8	-113.700	0.963	95.25	89.50	92.69	21.42	253.8	-121.730	0.984	94.45	87.52	91.04	21.42	223.4	-97.265	0.972	94.46	89.09	91.94	21.41	373.4	-161.528	0.988	94.00	85.83	89.91	21.41	231.0	-95.575	0.946	94.82	89.49	91.90	21.41	143.4	-64.922	0.908	94.10	90.35	92.25	21.41	21.61	21.00	0.10	21.61	21.00	0.10
8/6/2021/4:28:23 PM	12540	19	F420/W60/M180	270.7	-170.983	0.980	94.35	85.86	90.60	21.00	234.2	-105.465	0.951	95.08	89.27	92.56	21.00	249.7	-131.528	0.985	95.40	88.62	92.29	21.00	253.6	-119.775	0.988	94.16	87.95	91.08	21.00	239.4	-102.115	0.968	94.60	88.95	91.85	20.99	453.4	-192.385	0.985	93.71	84.13	89.08	20.99	236.1	-95.945	0.952	94.43	89.19	91.89	20.99	148.8	-65.785	0.910	93.98	90.19	92.36	20.99	21.16	21.00	0.10	21.16	21.00	0.10
8/6/2021/4:39:23 PM	13200	20	F420/W60/M180	259.4	-159.438	0.935	94.44	85.16	90.48	21.05	298.2	-128.243	0.954	95.25	88.13	91.77	21.05	224.5	-114.063	0.972	95.53	89.54	92.92	21.05	228.3	-103.626	0.981	95.34	89.78	92.59	21.05	235.4	-96.035	0.964	95.07	89.80	92.31	21.05	492.3	-204.161	0.992	93.38	83.22	88.44	21.05	250.4	-96.906	0.958	95.25	89.29	92.33	21.05	138.6	-57.107	0.928	94.37	91.06	93.00	21.05	21.02	21.00	0.10	21.03	21.00	0.10
