Date & time of file creation	8/11/2021 11:08 AM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.9.2021\MMR_23_LF_8.11.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.9.2021\MMR_23_LF_8.11.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	4.03	74.00000000000001	13.6																																																														
Chamber 2	3.24	74.760																																																															
Chamber 3	3.61	74.49514563106797																																																															
Chamber 4	3.71	74.50000000000001																																																															
Chamber 5	3.38	74.75000000000001	10																																																														
Chamber 6	3.42	74.74285714285715																																																															
Chamber 7	3.06	75.00000000000001																																																															
Chamber 8	3.01	74.99000000000001																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
8/11/2021/11:18:53 AM	600	1	F420/W60/M120	504.4	-321.732	0.984	92.00	80.89	86.96	23.05	367.3	-186.877	0.983	92.76	86.42	89.75	23.05	250.8	-142.922	0.985	93.73	88.70	91.51	23.05	318.8	-186.367	0.923	91.60	84.95	88.96	23.05	405.1	-215.146	0.991	91.51	84.23	87.67	23.00	365.3	-196.501	0.987	93.31	86.55	89.87	23.00	254.3	-122.591	0.956	93.50	88.77	90.97	23.00	510.6	-240.574	0.989	91.54	83.90	88.08	23.00	23.06	21.00	0.10	23.00	21.00	0.10
8/11/2021/11:28:53 AM	1200	2	F420/W60/M120	485.9	-310.049	0.997	91.21	81.07	86.09	23.06	596.1	-302.773	0.993	91.99	81.97	87.48	23.06	249.4	-142.244	0.983	93.94	89.10	91.84	23.06	267.4	-156.629	0.989	93.98	88.95	91.51	23.06	578.7	-306.189	0.983	91.40	81.54	86.85	23.00	313.1	-168.058	0.979	93.49	88.01	90.67	23.00	217.9	-104.669	0.953	92.60	89.12	90.82	23.00	381.9	-179.782	0.986	93.43	86.97	90.10	23.00	23.06	21.00	0.10	23.00	21.00	0.10
8/11/2021/11:38:53 AM	1800	3	F420/W60/M120	417.1	-266.355	0.994	92.62	83.58	88.23	23.06	566.8	-287.923	0.988	91.47	81.91	86.90	23.06	437.2	-248.475	0.946	92.90	84.68	89.73	23.06	302.3	-176.878	0.989	93.29	87.49	90.36	23.06	425.5	-225.358	0.991	91.41	83.37	87.10	23.01	291.1	-156.284	0.978	93.42	87.73	90.53	23.01	286.2	-137.165	0.964	93.40	88.46	90.96	23.01	399.5	-187.985	0.985	93.22	86.81	90.07	23.01	23.06	21.00	0.10	23.01	21.00	0.10
8/11/2021/11:48:53 AM	2400	4	F420/W60/M120	423.5	-270.269	0.994	92.93	83.99	88.39	23.08	472.7	-240.116	0.987	92.14	84.30	88.14	23.08	449.5	-255.268	0.990	92.03	83.55	88.19	23.08	618.8	-360.798	0.967	92.99	81.46	88.28	23.08	398.7	-210.902	0.987	91.57	84.33	87.81	23.02	285.2	-152.854	0.982	93.40	87.94	90.64	23.02	292.7	-139.905	0.963	93.38	88.25	90.73	23.02	318.8	-149.903	0.974	93.47	87.75	90.93	23.02	23.09	21.00	0.10	23.01	21.00	0.10
8/11/2021/11:58:53 AM	3000	5	F420/W60/M120	397.4	-254.170	0.993	92.87	84.22	88.62	23.03	539.3	-274.326	0.987	92.65	83.43	88.34	23.03	365.2	-208.155	0.990	92.63	85.86	89.45	23.03	394.0	-230.563	0.973	92.67	84.96	89.54	23.03	518.9	-275.145	0.992	91.94	82.69	87.28	22.98	334.0	-179.786	0.980	93.25	87.10	90.27	22.98	236.5	-114.125	0.963	92.28	88.00	90.14	22.98	342.3	-161.814	0.978	92.97	87.32	90.51	22.98	23.07	21.00	0.10	23.01	21.00	0.10
8/11/2021/12:08:53 PM	3600	6	F420/W60/M120	399.1	-255.137	0.992	92.58	84.10	88.65	23.03	459.0	-233.607	0.983	92.12	84.29	88.48	23.03	313.7	-178.927	0.990	92.89	86.45	89.99	23.03	410.0	-239.793	0.952	93.16	85.39	90.15	23.03	421.6	-223.539	0.983	91.04	83.53	87.37	22.94	530.8	-284.409	0.981	92.79	82.77	88.10	22.94	302.2	-145.089	0.963	92.94	87.89	90.04	22.94	337.5	-159.292	0.977	93.14	87.40	90.56	22.94	23.04	21.00	0.10	22.98	21.00	0.10
8/11/2021/12:18:53 PM	4200	7	F420/W60/M120	412.9	-263.791	0.990	92.81	84.51	88.83	23.03	443.5	-225.661	0.982	92.45	84.80	88.73	23.03	302.2	-172.266	0.991	92.58	86.84	89.96	23.03	257.3	-150.889	0.971	93.47	88.21	91.22	23.03	333.8	-177.200	0.979	91.45	84.98	88.02	22.96	542.7	-290.669	0.994	91.80	81.74	86.72	22.96	352.2	-168.759	0.966	92.42	86.54	89.84	22.96	479.3	-225.479	0.988	91.45	84.16	87.84	22.96	23.04	21.00	0.10	22.96	21.00	0.10
8/11/2021/12:28:53 PM	4800	8	F420/W60/M120	398.6	-252.940	0.993	93.10	84.51	88.92	23.03	511.3	-258.202	0.990	91.77	83.38	87.50	23.03	296.3	-167.140	0.983	92.71	87.31	90.17	23.03	350.7	-203.371	0.987	93.35	86.33	90.15	23.03	473.7	-250.126	0.990	91.37	83.09	87.14	22.98	406.9	-217.444	0.988	92.14	84.72	88.53	22.98	416.6	-198.576	0.986	90.67	83.84	86.99	22.98	538.1	-252.199	0.987	92.13	84.23	88.43	22.98	23.04	21.00	0.10	22.98	21.00	0.10
8/11/2021/12:38:53 PM	5400	9	F420/W60/M120	358.1	-228.641	0.990	92.66	85.03	88.85	23.02	427.4	-217.259	0.990	91.92	84.93	88.52	23.02	302.7	-172.308	0.987	92.09	86.23	89.60	23.02	326.1	-190.622	0.979	92.96	86.77	90.22	23.02	416.4	-220.673	0.989	91.67	83.99	87.83	22.94	396.1	-212.458	0.982	92.28	85.25	88.89	22.94	354.3	-169.725	0.972	91.92	85.78	88.92	22.94	471.8	-221.928	0.987	92.52	85.23	89.13	22.94	23.05	21.00	0.10	22.96	21.00	0.10
8/11/2021/12:48:53 PM	6000	10	F420/W60/M120	318.6	-203.711	0.992	93.04	86.35	89.58	23.03	396.4	-201.694	0.982	92.27	85.30	89.04	23.03	285.1	-162.439	0.983	92.57	87.25	90.06	23.03	452.1	-263.921	0.971	93.74	86.11	90.35	23.03	402.8	-213.624	0.986	91.83	84.21	87.86	22.95	384.5	-206.397	0.982	92.61	85.63	89.06	22.95	330.1	-158.348	0.974	91.73	86.01	88.99	22.95	370.5	-174.699	0.986	93.30	87.06	90.37	22.95	23.04	21.00	0.10	22.95	21.00	0.10
8/11/2021/12:58:53 PM	6600	11	F420/W60/M120	327.2	-208.948	0.988	93.16	85.98	89.74	23.05	378.5	-192.417	0.984	92.46	85.92	89.21	23.05	277.5	-157.932	0.985	92.70	87.62	90.48	23.05	326.1	-190.525	0.984	93.64	87.62	90.75	23.05	405.9	-215.131	0.990	91.71	84.20	87.70	22.96	387.7	-208.019	0.987	92.68	85.78	89.43	22.96	355.8	-170.434	0.970	91.88	85.76	89.16	22.96	392.0	-184.657	0.982	93.46	86.96	90.40	22.96	23.05	21.00	0.10	22.96	21.00	0.10
8/11/2021/1:08:53 PM	7200	12	F420/W60/M120	345.2	-220.920	0.991	92.94	85.37	89.17	23.06	378.2	-192.795	0.986	92.72	86.07	89.43	23.06	268.9	-153.544	0.981	92.61	87.44	90.24	23.06	388.3	-227.192	0.964	92.90	85.10	89.76	23.06	390.6	-206.919	0.986	91.79	84.64	88.11	22.98	357.3	-191.604	0.981	92.74	85.83	89.61	22.98	327.5	-156.775	0.967	92.04	86.29	88.96	22.98	383.0	-180.228	0.981	93.36	87.17	90.70	22.98	23.07	21.00	0.10	22.98	21.00	0.10
8/11/2021/1:18:53 PM	7800	13	F420/W60/M120	331.0	-212.087	0.990	93.30	85.98	89.35	23.08	363.6	-185.566	0.964	92.95	86.44	90.00	23.08	269.5	-154.028	0.975	92.86	87.66	90.60	23.08	306.8	-179.987	0.975	93.29	87.13	90.72	23.08	417.7	-221.403	0.988	91.75	84.30	87.91	23.00	372.7	-200.064	0.980	92.54	85.96	89.48	23.00	380.2	-182.070	0.976	92.27	85.62	88.89	23.00	423.8	-199.543	0.990	93.66	86.82	90.11	23.00	23.09	21.00	0.10	23.00	21.00	0.10
8/11/2021/1:28:53 PM	8400	14	F420/W60/M120	305.4	-195.606	0.989	93.09	86.25	89.78	23.02	366.0	-186.633	0.973	92.99	85.92	89.68	23.02	281.5	-160.749	0.976	92.70	87.23	90.43	23.02	361.7	-211.693	0.991	92.60	85.62	88.93	23.02	389.8	-207.145	0.984	91.93	85.18	88.48	22.93	345.2	-185.841	0.975	92.54	86.30	89.60	22.93	312.4	-150.302	0.968	91.92	86.85	89.19	22.93	370.0	-174.848	0.986	93.14	87.08	90.29	22.93	23.08	21.00	0.10	22.98	21.00	0.10
8/11/2021/1:38:53 PM	9000	15	F420/W60/M120	332.8	-213.000	0.988	93.18	85.91	89.64	23.03	350.7	-178.897	0.971	92.76	86.98	89.86	23.03	249.9	-142.852	0.977	92.96	87.93	90.83	23.03	339.6	-198.842	0.979	92.65	85.83	89.39	23.03	374.9	-198.750	0.987	92.44	85.23	89.02	22.94	365.6	-196.132	0.962	93.32	85.95	89.82	22.94	361.9	-173.271	0.976	92.34	86.43	89.11	22.94	347.1	-163.542	0.983	93.12	87.46	90.48	22.94	23.04	21.00	0.10	22.95	21.00	0.10
8/11/2021/1:48:53 PM	9600	16	F420/W60/M120	289.6	-185.346	0.984	93.75	86.95	90.61	23.05	304.9	-155.490	0.978	93.00	87.65	90.31	23.05	241.8	-138.051	0.985	93.12	88.75	91.01	23.05	359.1	-209.992	0.993	92.60	85.66	89.07	23.05	359.1	-190.243	0.983	92.16	85.68	89.14	22.96	338.2	-181.358	0.979	93.57	86.97	90.21	22.96	281.2	-134.723	0.959	92.42	87.68	89.99	22.96	322.5	-151.880	0.983	93.82	88.50	91.20	22.96	23.05	21.00	0.10	22.96	21.00	0.10
8/11/2021/1:58:53 PM	10200	17	F420/W60/M120	292.1	-186.984	0.982	93.46	87.12	90.44	23.07	328.9	-167.696	0.968	93.29	87.40	90.33	23.07	220.5	-126.023	0.967	93.18	88.83	91.27	23.07	357.2	-208.959	0.995	93.12	85.99	89.59	23.07	341.7	-181.496	0.984	92.47	86.45	89.49	22.99	323.1	-173.747	0.976	93.61	87.59	90.55	22.99	292.4	-140.423	0.965	92.54	87.33	89.68	22.99	279.6	-132.207	0.963	93.59	89.22	91.57	22.99	23.08	21.00	0.10	22.99	21.00	0.10
8/11/2021/2:08:53 PM	10800	18	F420/W60/M120	304.1	-194.225	0.986	93.61	87.24	90.39	23.09	334.5	-170.107	0.972	92.93	87.24	90.15	23.09	244.4	-139.113	0.964	93.09	88.57	91.14	23.09	336.1	-196.265	0.987	93.08	86.47	90.03	23.09	303.2	-160.878	0.979	92.52	86.83	89.69	23.01	292.0	-156.812	0.970	93.56	87.96	90.91	23.01	255.2	-122.366	0.951	92.60	87.95	90.31	23.01	271.5	-128.067	0.957	94.53	89.87	92.32	23.01	23.10	21.00	0.10	23.01	21.00	0.10
8/11/2021/2:18:53 PM	11400	19	F420/W60/M120	286.1	-183.114	0.972	93.15	86.30	90.15	23.03	344.3	-175.447	0.975	92.96	86.83	90.15	23.03	252.1	-143.911	0.979	93.02	88.34	91.01	23.03	322.4	-188.676	0.987	93.10	86.82	89.99	23.03	336.8	-178.680	0.982	92.62	86.67	89.51	22.94	280.1	-150.600	0.950	93.60	88.22	91.19	22.94	252.7	-121.400	0.948	92.61	87.88	89.94	22.94	191.3	-90.768	0.930	94.64	91.17	93.13	22.94	23.06	21.00	0.10	22.97	21.00	0.10
8/11/2021/2:28:53 PM	12000	20	F420/W60/M120	280.5	-179.691	0.988	93.48	87.36	90.35	23.05	366.1	-186.578	0.978	93.46	87.24	90.31	23.05	222.9	-127.444	0.980	92.91	88.46	90.87	23.05	336.0	-196.682	0.986	93.44	86.44	90.05	23.05	338.3	-179.597	0.978	92.76	86.56	89.59	22.97	321.1	-172.540	0.960	93.73	87.78	90.79	22.97	287.8	-138.157	0.962	92.66	87.52	89.93	22.97	140.4	-67.031	0.863	94.89	92.25	93.75	22.97	23.06	21.00	0.10	22.97	21.00	0.10
8/11/2021/2:38:53 PM	12600	21	F420/W60/M120	287.4	-183.926	0.985	93.76	87.59	90.59	23.08	338.3	-172.359	0.978	93.34	87.25	90.15	23.08	229.0	-130.754	0.969	93.66	89.11	91.70	23.08	204.3	-119.984	0.968	94.17	89.94	92.32	23.08	283.0	-150.335	0.976	93.24	87.66	90.25	23.00	283.4	-152.332	0.965	93.86	88.32	91.41	23.00	276.3	-132.543	0.971	92.35	87.89	90.15	23.00	138.0	-65.724	0.899	95.01	92.37	93.96	23.00	23.09	21.00	0.10	22.99	21.00	0.10
8/11/2021/2:48:53 PM	13200	22	F420/W60/M120	274.5	-176.608	0.975	93.80	87.81	91.01	23.04	352.2	-180.243	0.980	93.41	86.84	90.15	23.04	209.5	-120.582	0.982	93.23	89.11	91.34	23.04	265.0	-156.115	0.983	94.02	88.95	91.52	23.04	310.8	-165.567	0.975	92.86	86.67	89.87	22.95	294.3	-158.715	0.971	93.74	88.24	91.32	22.95	248.0	-119.687	0.962	92.50	88.29	90.32	22.95	110.9	-53.748	0.806	95.29	93.08	94.37	22.95	23.09	21.00	0.10	22.99	21.00	0.10
8/11/2021/2:58:53 PM	13800	23	F420/W60/M120	309.2	-198.059	0.983	93.64	87.20	90.41	23.05	329.7	-168.324	0.954	93.05	87.07	90.56	23.05	231.9	-132.717	0.975	93.11	88.73	91.24	23.05	323.6	-189.630	0.989	93.48	87.34	90.47	23.05	301.4	-159.624	0.978	92.78	87.29	90.13	22.96	238.4	-127.900	0.957	93.74	89.19	91.42	22.96	261.7	-125.202	0.961	93.21	88.51	90.67	22.96	82.3	-39.291	0.708	95.53	93.57	94.57	22.96	23.06	21.00	0.10	22.96	21.00	0.10
