Unique,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,2.59,78,(2021-Aug-17 13:12:52),M1,21.02558333,-0.005426177,-0.005195322,6.81E-05,0.980128195,1.473076958,4.254471635,1.410405317,544.5580375,mg O2,MMR,21,1
2,CH2,2,4.42,78,(2021-Aug-16 22:01:04),M7,21.01533333,-0.011959773,-0.011838795,8.53E-05,0.993916184,3.168000425,1.011542084,3.135954768,709.4920289,mg O2,SMR,21,1
3,CH3,3,4.63,78,(2021-Aug-17 00:00:03),M19,21.01083333,-0.009627711,-0.009607316,0.000143369,0.974395252,2.542986662,0.211837685,2.537599658,548.0776799,mg O2,SMR,21,1
4,CH4,4,4.39,78,(2021-Aug-17 06:40:03),M59,21.04025,-0.010386716,-0.010272123,0.000134596,0.980143008,2.752438237,1.103268178,2.722071462,620.0618364,mg O2,SMR,21,1
5,CH5,5,4.28,78,(2021-Aug-17 07:10:03),M62,20.93641667,-0.012247359,-0.012299606,8.89E-05,0.993873427,3.25035106,-0.426599188,3.264217032,762.6675308,mg O2,SMR,21,1
6,CH6,6,4.88,78,(2021-Aug-16 22:21:04),M9,20.98108333,-0.012901798,-0.012702365,0.000171607,0.978917196,3.396166085,1.545774201,3.343669026,685.178079,mg O2,SMR,21,1
7,CH7,7,4.24,78,(2021-Aug-16 22:11:04),M8,20.95583333,-0.010318932,-0.009976431,9.38E-05,0.989686513,2.740047878,3.319147318,2.649101652,624.7881255,mg O2,SMR,21,1
8,CH8,8,4.97,78,(2021-Aug-17 06:50:03),M60,20.94183333,-0.008924082,-0.008762608,9.87E-05,0.985244082,2.346212553,1.809418434,2.30375975,463.5331489,mg O2,SMR,21,1
9,CH1,1,2.35,78,(2021-Aug-19 22:08:14),M28,21.02125,-0.006707516,-0.006447038,4.44E-05,0.994440354,1.82672492,3.883377775,1.755786291,747.1431024,mg O2,SMR,21,4
10,CH2,2,4.18,78,(2021-Aug-20 09:31:43),M3,21.00583333,-0.009125974,-0.008994068,6.10E-05,0.994606282,2.425245861,1.445390781,2.390191581,571.8161678,mg O2,MMR,21,4
11,CH3,3,4.28,78,(2021-Aug-20 06:01:14),M71,21.0435,-0.008307023,-0.008152097,8.93E-05,0.986047526,2.204617465,1.865003111,2.163501281,505.4909535,mg O2,SMR,21,4
12,CH4,4,3.98,78,(2021-Aug-19 23:25:14),M35,20.98616667,-0.007976898,-0.007903737,9.77E-05,0.982273862,2.125620084,0.917172198,2.106124487,529.1770069,mg O2,SMR,21,4
13,CH5,5,4.12,78,(2021-Aug-20 06:34:14),M74,20.988,-0.011077952,-0.011112452,0.000127097,0.984798628,2.946380784,-0.311426948,2.955556608,717.3681086,mg O2,SMR,21,4
14,CH6,6,4.53,78,(2021-Aug-19 22:08:14),M28,20.97341667,-0.012401415,-0.012171745,6.18E-05,0.996963244,3.280075131,1.851966048,3.219329253,710.6687093,mg O2,SMR,21,4
15,CH7,7,4.04,78,(2021-Aug-19 22:08:14),M28,20.97341667,-0.007386132,-0.00704463,6.50E-05,0.990068171,1.966602024,4.623559782,1.875675004,464.2759911,mg O2,SMR,21,4
16,CH8,8,4.63,78,(2021-Aug-20 06:12:14),M72,20.942,-0.009056454,-0.008941216,7.03E-05,0.992756894,2.392099189,1.272431714,2.36166136,510.0780475,mg O2,SMR,21,4
17,CH1,1,2.44,78,(2021-Aug-18 06:23:30),M62,23.08066667,-0.007377461,-0.007067286,9.60E-05,0.978674346,2.006787484,4.204357118,1.922414971,787.8749882,mg O2,SMR,23,2
18,CH2,2,4.34,78,(2021-Aug-18 06:56:30),M65,23.10208333,-0.010667012,-0.010366699,5.30E-05,0.996921058,2.828635443,2.815341428,2.748999698,633.4100687,mg O2,SMR,23,2
19,CH3,3,4.38,78,(2021-Aug-18 06:23:30),M62,23.08066667,-0.01179122,-0.01167788,8.85E-05,0.993261548,3.125050556,0.961225116,3.095011785,706.6236953,mg O2,SMR,23,2
20,CH4,4,4.1,78,(2021-Aug-17 22:08:30),M17,23.14308333,-0.011130326,-0.011082793,0.000102923,0.989925758,2.961111967,0.427059866,2.948466246,719.1381089,mg O2,SMR,23,2
21,CH5,5,4.25,78,(2021-Aug-18 06:45:30),M64,23.042,-0.012457368,-0.012500211,6.09E-05,0.997210992,3.307431112,-0.343916541,3.318805915,780.8955093,mg O2,SMR,23,2
22,CH6,6,4.64,78,(2021-Aug-17 22:30:30),M19,23.10141667,-0.013356538,-0.013140783,0.000122505,0.9898489,3.527408265,1.615352734,3.47042818,747.9371077,mg O2,SMR,23,2
23,CH7,7,4.15,78,(2021-Aug-18 06:01:30),M60,23.02741667,-0.011538222,-0.011198287,9.47E-05,0.991636476,3.067551682,2.946162914,2.977176612,717.3919546,mg O2,SMR,23,2
24,CH8,8,4.81,78,(2021-Aug-18 06:45:30),M64,23.042,-0.013504098,-0.013371609,0.000133186,0.988428822,3.558113692,0.981097879,3.523205114,732.4750758,mg O2,SMR,23,2
25,CH1,1,2.42,78,(2021-Aug-19 06:20:57),M73,24.96866667,-0.008527774,-0.008201125,0.000158037,0.958021622,2.320304868,3.83040944,2.231427691,922.0775583,mg O2,SMR,25,3
26,CH2,2,4.21,78,(2021-Aug-18 19:09:57),M12,24.99033333,-0.013840715,-0.013708809,0.000102129,0.993493468,3.676702803,0.953028736,3.641662769,865.003033,mg O2,SMR,25,3
27,CH3,3,4.41,78,(2021-Aug-19 06:20:57),M73,24.96866667,-0.014253468,-0.014086403,0.000280458,0.955314663,3.776085666,1.172095642,3.73182633,846.2191225,mg O2,SMR,25,3
28,CH4,4,4.01,78,(2021-Aug-19 08:32:57),M85,25.0055,-0.012427941,-0.012182334,0.00021567,0.96433616,3.310356033,1.976244311,3.24493531,809.2108005,mg O2,SMR,25,3
29,CH5,5,4.05,78,(2021-Aug-18 22:05:57),M28,24.89733333,-0.012214025,-0.012315152,7.69E-05,0.995423818,3.251617658,-0.827956485,3.278539637,809.5159598,mg O2,SMR,25,3
30,CH6,6,4.53,78,(2021-Aug-18 22:05:57),M28,24.89733333,-0.012657244,-0.012427574,7.78E-05,0.995400257,3.347739668,1.814534098,3.286993791,725.6056933,mg O2,SMR,25,3
31,CH7,7,4.05,78,(2021-Aug-19 06:20:57),M73,24.88783333,-0.011532936,-0.011193589,0.000146466,0.980196982,3.070298136,2.942411432,2.979957332,735.7919339,mg O2,SMR,25,3
32,CH8,8,4.73,78,(2021-Aug-19 06:20:57),M73,24.88783333,-0.012909725,-0.012796679,4.28E-05,0.998682891,3.405223901,0.875660195,3.37540571,713.6164293,mg O2,SMR,25,3
