"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",2.59,78,(2021-Aug-17 13:12:52),"M1",21.0255833333333,-0.00542617748329366,-0.00519532230140304,6.81002502577682e-05,0.980128195052481,1.47307695845463,4.25447163498407,1.41040531709569,544.558037488684,"mg O2","MMR",21,1
"2","CH2","2",4.42,78,(2021-Aug-17 13:45:52),"M4",21.0246666666667,-0.00701500427243826,-0.00687476928053879,6.54756015244027e-05,0.989409877407913,1.85819045171763,1.9990720811169,1.82104388518336,412.00087900076,"mg O2","MMR",21,1
"3","CH3","3",4.63,78,(2021-Aug-17 13:45:52),"M4",21.0246666666667,-0.00816585202620334,-0.00814638663093197,6.04359085807895e-05,0.993547460083302,2.15686282738514,0.238375557246306,2.15172139360132,464.734642246506,"mg O2","MMR",21,1
"4","CH4","4",4.39,78,(2021-Aug-17 14:07:52),"M6",21.0034166666667,-0.00595110906288237,-0.00600715896707738,0.000123314960871289,0.952630398380018,1.57702009722758,-0.941839640355395,1.59187309763964,362.613461876911,"mg O2","MMR",21,1
"5","CH5","5",4.28,78,(2021-Aug-17 13:56:52),"M5",20.973,-0.00997691723548219,-0.0100988421621062,7.82236771137075e-05,0.992970062760058,2.64779401895909,-1.2220701419713,2.68015191908569,626.203719412544,"mg O2","MMR",21,1
"6","CH6","6",4.88,78,(2021-Aug-17 14:29:52),"M8",20.9901666666667,-0.00600941634900983,-0.00577311411097102,6.31551209811971e-05,0.986075202002276,1.58187068438255,3.93219947354353,1.51966837365912,311.407453618673,"mg O2","MMR",21,1
"7","CH7","7",4.24,78,(2021-Aug-17 14:29:52),"M8",20.9901666666667,-0.00662340889416524,-0.00628209883665711,4.73099577800036e-05,0.993352155733027,1.75875350412106,5.15308752580259,1.66812339669058,393.425329408157,"mg O2","MMR",21,1
"8","CH8","8",4.97,78,(2021-Aug-17 14:29:52),"M8",20.9901666666667,-0.00742536022681477,-0.00717693537681094,8.72001068350933e-05,0.982878655192695,1.95218660651142,3.34562691122665,1.88687372604661,379.65266117638,"mg O2","MMR",21,1
"9","CH1","1",2.35,78,(2021-Aug-20 09:20:43),"M2",20.9879166666667,-0.00459739998655352,-0.00436185262187895,5.31197295610222e-05,0.98280044980247,1.25205591233798,5.12349078530244,1.18790694304251,505.492316188304,"mg O2","MMR",21,4
"10","CH2","2",4.18,78,(2021-Aug-20 09:31:43),"M3",21.0058333333333,-0.0091259740708801,-0.00899406808300709,6.09724550270127e-05,0.994606282107009,2.42524586128453,1.44539078073772,2.3901915811953,571.816167750072,"mg O2","MMR",21,4
