Date & time of file creation	8/27/2021 8:59 AM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\MMR_25_LF_8.27.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\MMR_25_LF_8.27.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	58.0500	27.0500	0.00	100.00	22.59	20.76																																							
Chamber 2	1	58.0500	27.1000	0.00	100.00	22.59	20.76																																							
Chamber 3	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 4	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 5	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 6	1	58.0500	27.1200	0.00	100.00	22.59	20.76																																							
Chamber 7	1	58.0500	27.1200	0.00	100.00	22.59	20.76																																							
Chamber 8	1	59.5000	26.8300	0.00	100.00	22.59	20.76																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	5.15	1.03	0	Not used	Not used	Not used																																						
Chamber 2	70	8	4.66	1.03	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	5.110	1.03	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	4.92	0.98	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	5.4	0.98	0	Not used	Not used	Not used																																						
Chamber 6	70	8	5.41	0.98	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	3.27	1	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	5.14	1.03	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
8/27/2021/9:00:40 AM	Flush	1013.0	0.0	26.8000	24.99	94.91	26.9200	24.99	94.26	26.7700	24.99	95.36	26.7700	24.99	95.36	26.8200	24.99	94.91	26.8000	24.99	95.52	26.7300	24.99	96.16	26.6900	24.99	94.44	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:41 AM	Flush	1013.0	0.0	26.8437	25.00	94.50	26.8500	25.00	94.88	26.7613	25.00	95.43	26.7525	25.00	95.51	26.7500	24.99	95.54	26.8000	24.99	95.52	26.7212	24.99	96.24	26.6288	24.99	95.00	NaN	NaN	NaN	NaN	24.9988	25.00	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:42 AM	Flush	1013.0	0.0	26.8412	24.99	94.54	26.9013	24.99	94.42	26.7950	24.99	95.13	26.7588	24.99	95.46	26.7400	24.99	95.64	26.8262	24.99	95.28	26.7200	24.99	96.26	26.6638	24.99	94.68	NaN	NaN	NaN	NaN	24.9912	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:43 AM	F1   	1013.0	0.0	26.8488	24.99	94.47	26.8313	24.99	95.06	26.7737	24.99	95.33	26.7775	24.99	95.29	26.7050	24.99	95.96	26.8388	24.99	95.17	26.7375	24.99	96.09	26.7050	24.99	94.31	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:44 AM	F1   	1013.0	0.0	26.8150	24.99	94.78	26.8725	24.99	94.69	26.7700	24.99	95.36	26.7712	24.99	95.35	26.7875	24.99	95.20	26.8488	24.99	95.08	26.7138	24.99	96.31	26.6750	24.99	94.58	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:45 AM	F1   	1013.0	0.0	26.8275	24.99	94.66	26.8800	24.99	94.62	26.7963	24.99	95.12	26.7875	24.99	95.20	26.7387	24.99	95.65	26.8150	24.99	95.38	26.7187	24.99	96.27	26.7050	24.99	94.31	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:46 AM	F1   	1013.0	0.0	26.8300	24.99	94.64	26.9150	24.99	94.30	26.7825	24.99	95.25	26.8163	24.99	94.94	26.7650	24.99	95.41	26.8362	24.99	95.19	26.7550	24.99	95.93	26.7100	24.99	94.26	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:47 AM	F1   	1013.0	0.0	26.8562	24.99	94.40	26.8500	24.99	94.89	26.7363	24.99	95.67	26.8112	24.99	94.98	26.7700	24.99	95.36	26.8663	24.99	94.92	26.7862	24.99	95.65	26.6837	24.99	94.50	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:48 AM	F1   	1013.0	0.0	26.8163	24.99	94.77	26.8575	24.99	94.82	26.7650	24.99	95.41	26.8012	24.99	95.08	26.7613	24.99	95.44	26.8437	24.99	95.12	26.7287	24.99	96.18	26.6800	24.99	94.53	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/27/2021/9:00:49 AM	F1   	1013.0	0.0	26.8362	24.99	94.59	26.8863	24.99	94.56	26.7437	24.99	95.60	26.7825	24.99	95.25	26.7688	24.99	95.37	26.8312	24.99	95.23	26.7462	24.99	96.01	26.6888	24.99	94.45	NaN	NaN	NaN	NaN	24.9900	24.99	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
