"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",4.99,78,(2021-Aug-24 12:22:30),"M88",25.052,-0.00525999799758128,-0.00501687670525381,6.87381601354708e-05,0.983828639962516,1.38251683369227,4.62207956047249,1.31861580570209,264.251664469357,"mg O2","SMR",25,1
"2","CH2","2",4.35,78,(2021-Aug-24 09:45:00),"M73",24.9865555555556,-0.00526225134983534,-0.00469344604316581,9.43123284331756e-05,0.965655315018836,1.39523332289534,10.8091626350637,1.24442028388498,286.073628479306,"mg O2","SMR",25,1
"3","CH3","3",4.97,78,(2021-Aug-24 02:45:00),"M33",25.0011111111111,-0.00616897999074655,-0.00613348640797766,0.000100868686306726,0.97679725563121,1.62187419140719,0.575355777164676,1.61254264454859,324.455260472553,"mg O2","SMR",25,1
"4","CH4","4",4.82,78,(2021-Aug-24 08:21:00),"M65",25.024,-0.00580183971897333,-0.00528858557391777,8.11483024325346e-05,0.9796609306259,1.52848307028409,8.84640338093275,1.39326729227749,289.059604206948,"mg O2","SMR",25,1
"5","CH5","5",5.18,78,(2021-Aug-24 04:09:00),"M41",24.9495555555556,-0.0062467491586371,-0.0059169512055029,0.00011875808207602,0.965549296335287,1.63759778543503,5.27951330778502,1.551140592425,299.447990815637,"mg O2","SMR",25,1
"6","CH6","6",5.37,78,(2021-Aug-24 12:33:00),"M89",24.9915555555556,-0.00765143521465353,-0.00747806708146564,6.42859469525947e-05,0.993655935666757,2.00060546270503,2.26582501614679,1.95527524365666,364.110846118558,"mg O2","SMR",25,1
"7","CH7","7",3.12,78,(2021-Aug-24 02:24:00),"M31",24.9582222222222,-0.00458291150654511,-0.00435676193502668,5.59463482487826e-05,0.985692647960926,1.23540628899635,4.93462662753704,1.17444360130127,376.424231186305,"mg O2","SMR",25,1
"8","CH8","8",4.98,78,(2021-Aug-24 12:01:30),"M86",24.9878888888889,-0.00776638425814366,-0.00771013713996765,0.000135652706670248,0.974142264998509,2.04156496270674,0.724238156475851,2.02677917025758,406.983769128027,"mg O2","SMR",25,1
"9","CH1","1",4.94,78,(2021-Aug-25 03:43:09),"M50",22.8687777777778,-0.00413520780316436,-0.00384430657035034,5.71954877225758e-05,0.98098772826209,1.08762581555708,7.03474279071084,1.01111413690727,204.678975082443,"mg O2","SMR",23,2
"10","CH2","2",4.4,78,(2021-Aug-25 04:35:39),"M55",22.8947777777778,-0.00480205798900847,-0.00423460219196891,8.7372600834937e-05,0.963828390554183,1.27235328476768,11.8169292902839,1.12200019678408,255.000044723655,"mg O2","SMR",23,2
"11","CH3","3",4.95,78,(2021-Aug-25 09:50:39),"M85",22.9495555555556,-0.00526928767935737,-0.00517956214843786,5.42184818286198e-05,0.9904495542578,1.3857172739174,1.70280190377565,1.36212125379619,275.176010867917,"mg O2","SMR",23,2
"12","CH4","4",4.66,78,(2021-Aug-25 03:32:39),"M49",22.8818888888889,-0.00492588881209774,-0.00445379070759837,7.2128614741777e-05,0.977440545415899,1.30055286772529,9.5840186920159,1.17590763778295,252.340694803209,"mg O2","SMR",23,2
"13","CH5","5",5.01,78,(2021-Aug-24 20:22:09),"M8",22.9065555555556,-0.00534582557835199,-0.00502758027120617,0.000104508325432671,0.963391986757055,1.40469051227008,5.95315545712071,1.32106710238322,263.686048379884,"mg O2","SMR",23,2
"14","CH6","6",5.14,78,(2021-Aug-24 21:04:09),"M12",22.8965555555556,-0.00560146853478067,-0.00538529732806264,9.19393254542811e-05,0.975490984588402,1.46924279079883,3.85918809283276,1.41254194796152,274.813608552824,"mg O2","SMR",23,2
"15","CH7","7",3.01,78,(2021-Aug-25 08:26:39),"M77",22.8681111111111,-0.00307043035934142,-0.00299226943472467,6.61512188533778e-05,0.958853106366558,0.828905661529247,2.54560160854842,0.80780502567601,268.37376268306,"mg O2","SMR",23,2
"16","CH8","8",4.81,78,(2021-Aug-25 10:32:39),"M89",22.953,-0.00447162980886298,-0.00442515195428211,7.41625190701203e-05,0.975917609057785,1.17820290855845,1.03939405915826,1.16595673752207,242.402648133486,"mg O2","SMR",23,2
"17","CH1","1",5.06,78,(2021-Aug-26 02:41:58),"M56",21.0094444444444,-0.00311977657927655,-0.00284303178520129,7.6953332882995e-05,0.939569018650315,0.819203413292754,8.87066067209985,0.746534658285295,147.536493732272,"mg O2","SMR",21,3
"18","CH2","2",4.25,78,(2021-Aug-26 08:07:28),"M87",20.9986666666667,-0.00396933361830818,-0.00340099953286092,9.34085441153828e-05,0.937665206395774,1.05385807566082,14.3181233954705,0.902965375974574,212.462441405782,"mg O2","SMR",21,3
"19","CH3","3",4.99,78,(2021-Aug-26 05:08:58),"M70",20.998,-0.00419394791995251,-0.00413373207913349,8.31705838922664e-05,0.965539790716541,1.10232049548864,1.43577941281875,1.08649360475113,217.734189328884,"mg O2","SMR",21,3
"20","CH4","4",4.58,78,(2021-Aug-25 17:46:28),"M5",20.9396666666667,-0.00378127248683302,-0.00341374108748695,5.89473722151067e-05,0.974478393052978,0.999435693539809,9.71978085752528,0.902292734315851,197.007147230535,"mg O2","SMR",21,3
"21","CH5","5",4.94,78,(2021-Aug-26 08:07:28),"M87",20.9671111111111,-0.00428811517687834,-0.00388959270333628,6.91958803795782e-05,0.972904018067117,1.12784290136183,9.29365133872582,1.0230251144607,207.090104141841,"mg O2","SMR",21,3
"22","CH6","6",4.99,78,(2021-Aug-26 01:59:58),"M52",21.0007777777778,-0.00416692304547622,-0.00402516507438221,7.0480941428447e-05,0.973895208422317,1.09521738558079,3.40198197919455,1.05795828749032,212.015688875816,"mg O2","SMR",21,3
"23","CH7","7",3.01,78,(2021-Aug-26 04:05:58),"M64",20.9651111111111,-0.00298723491772696,-0.00288888862104937,5.69224172198402e-05,0.966836592613609,0.806445887329242,3.29221836869889,0.779895927692972,259.1016371073,"mg O2","SMR",21,3
"24","CH8","8",4.76,78,(2021-Aug-26 07:56:58),"M86",20.9827777777778,-0.00354778837828552,-0.00361889254171823,7.13333248280981e-05,0.966467143376327,0.935424074972274,-2.0041827711006,0.954171683119595,200.456235949495,"mg O2","SMR",21,3
"25","CH1","1",4.83,78,(2021-Aug-27 07:32:00),"M83",24.9368888888889,-0.00432462014651227,-0.00408483963283041,8.78817939501167e-05,0.960921236539587,1.13915684203309,5.5445450827684,1.07599577736313,222.773452870212,"mg O2","SMR",25,4
"26","CH2","2",4.18,78,(2021-Aug-27 05:47:00),"M73",25.0201111111111,-0.00501208892650868,-0.00444111484868435,7.39288522824286e-05,0.976195268364073,1.33197265639754,11.3919382955176,1.18023515326756,282.352907480278,"mg O2","SMR",25,4
"27","CH3","3",4.72,78,(2021-Aug-27 05:57:30),"M74",24.9981111111111,-0.00562378229652041,-0.00555374235735915,7.22586881040955e-05,0.985317315200263,1.48359876008046,1.24542408415398,1.4651216638102,310.407132163179,"mg O2","SMR",25,4
"28","CH4","4",4.66,78,(2021-Aug-27 06:50:00),"M79",25.0218888888889,-0.005088895202906,-0.00452568568340107,0.000103822119777584,0.955737853950027,1.34359046705205,11.0674222409474,1.19488963687429,256.414085166156,"mg O2","SMR",25,4
"29","CH5","5",4.8,78,(2021-Aug-26 21:44:00),"M27",24.9667777777778,-0.00518157026763674,-0.0048329903888858,9.80368991947487e-05,0.96524680847845,1.36544739692763,6.72730197114394,1.27358962727919,265.331172349831,"mg O2","SMR",25,4
"30","CH6","6",4.95,78,(2021-Aug-27 03:20:00),"M59",24.9486666666667,-0.00562342834777547,-0.00549877319712236,0.000110163812724524,0.965901796239663,1.47884918689799,2.2167109269281,1.44606737537924,292.134823308937,"mg O2","SMR",25,4
"31","CH7","7",2.98,78,(2021-Aug-27 06:18:30),"M76",24.9517777777778,-0.0028446796082285,-0.00276439722395232,6.73778458883901e-05,0.950443860027069,0.768268311153488,2.82219424795531,0.746586287067251,250.532311096393,"mg O2","SMR",25,4
"32","CH8","8",4.73,78,(2021-Aug-26 18:56:00),"M11",24.9632222222222,-0.00427285896534854,-0.00417545647786729,8.86485894000007e-05,0.961847362445233,1.12706055500791,2.27956242579384,1.10136850608001,232.847464287529,"mg O2","SMR",25,4
