"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",3.88,78,(2021-Sep-01 10:11:40),"M72",25.0151666666667,-0.00404446108696841,-0.00373121830188328,4.85763326203661e-05,0.980457435691452,1.07919164075795,7.74498204703766,0.995608441928119,256.600113899,"mg O2","SMR",25,1
"2","CH2","2",4.19,78,(2021-Sep-01 12:01:40),"M82",24.99025,-0.00504986183595316,-0.00450799941292504,6.18634874042894e-05,0.978431751330819,1.34182908760213,10.73024254189,1.19784757200479,285.882475418804,"mg O2","SMR",25,1
"3","CH3","3",4.56,78,(2021-Sep-01 04:41:40),"M42",24.9945833333333,-0.00396394570632278,-0.00361725821870492,3.08148293988272e-05,0.991509381137878,1.04800382162044,8.74602008460576,0.956345196894083,209.724823880281,"mg O2","SMR",25,1
"4","CH4","4",4.33,78,(2021-Sep-01 10:44:40),"M75",24.9903333333333,-0.00384273109304312,-0.00376704682002468,6.19285649789616e-05,0.969177362259446,1.01913839864815,1.96954382666679,0.999066021232386,230.731182732653,"mg O2","SMR",25,1
"5","CH5","5",3.99,78,(2021-Sep-01 03:24:40),"M35",24.90575,-0.00475070463322052,-0.00424247322457092,7.00444718515272e-05,0.968325914369515,1.26575873965674,10.6980216175861,1.13034759606178,283.295136857589,"mg O2","SMR",25,1
"6","CH6","6",4.2,78,(2021-Sep-01 01:56:40),"M27",24.9135,-0.0062581468382588,-0.0060384169489541,9.27524158935558e-05,0.972913038121336,1.6626644519886,3.51110152867293,1.60428661499812,381.973003570982,"mg O2","SMR",25,1
"7","CH7","7",4.79,78,(2021-Sep-01 11:17:40),"M78",24.9519166666667,-0.00491195454469189,-0.00493495100806659,6.68958345390219e-05,0.978666030692683,1.29457509198082,-0.468173375088484,1.300635947882,271.531513127766,"mg O2","SMR",25,1
"8","CH8","8",3.99,78,(2021-Aug-31 23:22:40),"M13",24.9688333333333,-0.00529303738987952,-0.00508677793880367,5.39220443054022e-05,0.986924246607359,1.41025571000994,3.89680699158169,1.35530076690309,339.674377669948,"mg O2","SMR",25,1
"9","CH1","1",3.77,78,(2021-Sep-02 04:07:45),"M50",22.9221666666667,-0.00338667760092002,-0.00305067557828315,3.68765662134918e-05,0.983239831136981,0.905015081938655,9.92128753400061,0.81522593343345,216.240300645478,"mg O2","SMR",23,2
"10","CH2","2",4.07,78,(2021-Sep-02 03:12:45),"M45",22.9696666666667,-0.00448246044481978,-0.00403821198250339,6.81228564425925e-05,0.967471616402512,1.19299788246789,9.91081723498064,1.07476204271931,264.069297965433,"mg O2","SMR",23,2
"11","CH3","3",4.46,78,(2021-Sep-02 02:39:45),"M42",23.0158333333333,-0.00339806800027319,-0.00305138051265526,4.40178251898736e-05,0.976033147637526,0.899618114664324,10.2024882253695,0.807834682442405,181.128852565562,"mg O2","SMR",23,2
"12","CH4","4",4.2,78,(2021-Sep-02 10:54:45),"M87",22.9694166666667,-0.00381262044065434,-0.00369971933761702,6.38491216822961e-05,0.966621244361524,1.01293699867305,2.96124685881241,0.982941433618091,234.033674670974,"mg O2","SMR",23,2
"13","CH5","5",3.82,78,(2021-Sep-02 03:23:45),"M46",22.8585833333333,-0.0037314377750514,-0.00320129257303938,5.74286192274616e-05,0.963415132554401,0.996472994951926,14.2075316264578,0.85489877904502,223.795491896602,"mg O2","SMR",23,2
"14","CH6","6",4.08,78,(2021-Sep-02 00:38:45),"M31",22.8455,-0.00516016658791049,-0.0049653375184216,5.77206406668539e-05,0.984274363092329,1.37318225104204,3.77563526622063,1.32133589770221,323.85683767211,"mg O2","SMR",23,2
"15","CH7","7",4.73,78,(2021-Sep-02 02:17:45),"M40",22.9079166666667,-0.00360816918501268,-0.0036262723732134,4.95433286479646e-05,0.978642196803324,0.951734002269165,-0.501727809103596,0.956509116427244,202.221800513159,"mg O2","SMR",23,2
"16","CH8","8",3.85,78,(2021-Sep-02 09:26:45),"M79",22.862,-0.00372952161082154,-0.0035170860481323,4.43983730044221e-05,0.981543068881849,0.995558498792702,5.69605394088184,0.938850949688436,243.857389529464,"mg O2","SMR",23,2
"17","CH1","1",3.69,78,(2021-Sep-03 03:10:56),"M51",20.9800555555556,-0.00256779344282622,-0.00225172146860213,2.55876522148138e-05,0.977540317079776,0.686925830651098,12.309088766743,0.602371520394568,163.244314470073,"mg O2","SMR",21,3
"18","CH2","2",4.14,78,(2021-Sep-03 00:46:56),"M39",20.9954444444444,-0.003473401939435,-0.00303168446826733,3.99853545910068e-05,0.96996618493624,0.92356368208801,12.7171424116704,0.806112773374411,194.713230283674,"mg O2","SMR",21,3
"19","CH3","3",4.29,78,(2021-Sep-02 21:22:56),"M22",21.0368888888889,-0.00287702906963915,-0.00251127628400352,2.23956505195453e-05,0.986367001001649,0.763436925803167,12.7128637487665,0.666382229618039,155.333853057818,"mg O2","SMR",21,3
"20","CH4","4",4.14,78,(2021-Sep-03 03:22:56),"M52",20.9999444444444,-0.00326452585899313,-0.00320675918936994,3.13254928977003e-05,0.983298007209698,0.868024367802838,1.76952709576667,0.852664441416709,205.957594545099,"mg O2","SMR",21,3
"21","CH5","5",3.81,78,(2021-Sep-03 06:10:56),"M66",20.9322777777778,-0.00346796128203446,-0.0029564668291861,2.65752908549357e-05,0.985931618923404,0.926236971050893,14.7491396601837,0.789624986606342,207.250652652583,"mg O2","SMR",21,3
"22","CH6","6",3.96,78,(2021-Sep-03 08:58:56),"M80",20.9217777777778,-0.00295660800824896,-0.00290427365688854,3.97755608476398e-05,0.96769166657009,0.788066124950712,1.7700808228353,0.774116717601698,195.484019596388,"mg O2","SMR",21,3
