Date & time of file creation	9/3/2021 8:59 AM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.30.2021\MMR_21_BC_9.3.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.30.2021\MMR_21_BC_9.3.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	3.88	74.00000000000001	0																																																														
Chamber 2	4.190	73.99808978032475																																																															
Chamber 3	4.560	73.48514851485149																																																															
Chamber 4	4.33	73.48958333333334																																																															
Chamber 5	3.99	74.00000000000001	0																																																														
Chamber 6	4.25	73.79207920792081																																																															
Chamber 7	4.79	73.25742574257427																																																															
Chamber 8	3.99	74.00000000000001																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
9/3/2021/9:12:17 AM	720	1	F480/W60/M180	623.6	-368.783	0.994	95.72	77.27	87.20	20.99	347.5	-222.904	0.991	95.06	83.97	89.41	20.99	167.9	-119.220	0.892	93.90	87.20	91.33	20.99	383.8	-255.800	0.997	93.11	80.48	86.71	20.99	265.7	-163.683	0.985	96.57	88.93	92.57	20.93	194.1	-128.543	0.962	96.98	89.82	94.10	20.93	217.7	-162.715	0.992	96.75	89.08	92.89	20.93	283.6	-174.465	0.953	95.01	85.67	90.15	20.93	21.05	0.00	0.00	20.98	0.00	0.00
9/3/2021/9:24:16 AM	1440	2	F480/W60/M180	401.5	-236.426	0.994	94.96	83.25	89.32	20.97	551.9	-350.631	0.995	92.34	75.83	83.46	20.97	289.9	-202.137	0.928	95.98	87.62	92.36	20.97	272.8	-180.637	0.995	95.92	87.39	91.83	20.97	270.1	-164.671	0.985	96.29	88.71	92.42	20.92	203.5	-132.900	0.978	97.18	90.22	93.99	20.92	208.1	-153.958	0.988	96.62	88.69	93.23	20.92	278.7	-169.869	0.993	95.90	87.34	91.76	20.92	21.01	0.00	0.00	20.96	0.00	0.00
9/3/2021/9:36:17 AM	2160	3	F480/W60/M180	457.0	-271.959	0.992	95.53	82.62	89.11	21.01	463.3	-297.311	0.993	94.24	80.26	86.76	21.01	642.2	-449.845	0.994	93.55	72.16	83.09	21.01	247.7	-166.973	0.985	95.85	88.05	92.30	21.01	239.2	-148.859	0.987	96.39	88.61	92.90	20.97	224.6	-149.321	0.981	97.36	89.45	92.95	20.97	204.0	-153.803	0.984	96.72	89.77	93.43	20.97	184.0	-115.494	0.969	95.65	88.29	92.18	20.97	21.05	0.00	0.00	21.00	0.00	0.00
