Date & time of file creation	9/1/2021 5:03 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.30.2021\tempchange_25_23_BC_9.1.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.30.2021\tempchange_25_23_BC_9.1.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	58.0500	27.1000	0.00	100.00	22.59	20.76																																							
Chamber 2	1	58.0500	27.0500	0.00	100.00	22.59	20.76																																							
Chamber 3	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 4	1	58.0500	27.0500	0.00	100.00	22.59	20.76																																							
Chamber 5	1	58.0500	27.0000	0.00	100.00	22.59	20.76																																							
Chamber 6	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 7	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 8	1	59.5000	26.8000	0.00	100.00	22.59	20.76																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	3.88	0.97	0	Not used	Not used	Not used																																						
Chamber 2	70	8	4.190	1.047	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	4.560	1.01	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	4.33	0.96	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	3.99	0.9975	0	Not used	Not used	Not used																																						
Chamber 6	70	8	4.25	1.01	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	4.79	1.01	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	3.99	0.9975	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
9/1/2021/5:04:53 PM	Flush	1013.0	0.0	27.0100	25.06	93.33	27.2300	25.06	90.99	27.0700	25.06	92.55	26.9100	25.06	93.80	26.8550	24.99	93.99	26.9175	24.99	94.02	26.9775	24.99	93.49	26.7700	24.99	93.46	NaN	NaN	NaN	NaN	25.0600	25.06	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:04:54 PM	Flush	1013.0	0.0	26.9800	25.05	93.62	27.1900	25.05	91.35	27.0400	25.05	92.83	26.9400	25.05	93.55	26.8687	24.99	93.86	26.9175	24.99	94.02	26.9862	24.99	93.41	26.7587	24.99	93.56	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:04:55 PM	Flush	1013.0	0.0	26.9400	25.05	93.98	27.1900	25.05	91.35	27.0800	25.05	92.48	26.9200	25.05	93.73	26.9000	24.99	93.58	26.9300	24.99	93.91	26.9800	24.99	93.46	26.7325	24.99	93.80	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:04:56 PM	Flush	1013.0	0.0	27.0100	25.05	93.35	27.2200	25.05	91.09	27.1000	25.05	92.30	26.9500	25.05	93.46	26.8662	24.99	93.89	26.9375	24.99	93.84	26.9800	24.99	93.46	26.7237	24.99	93.88	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:04:57 PM	Flush	1013.0	0.0	26.9400	25.05	93.98	27.2400	25.05	90.92	27.0600	25.05	92.65	27.0000	25.05	93.02	26.8100	24.99	94.39	26.9425	24.99	93.80	26.9763	24.99	93.50	26.7338	24.99	93.79	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:04:58 PM	Flush	1013.0	0.0	27.0000	25.05	93.44	27.2000	25.05	91.26	27.0500	25.05	92.74	26.9000	25.05	93.91	26.8212	24.99	94.29	26.9337	24.99	93.88	26.9850	24.99	93.42	26.7325	24.99	93.80	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:04:59 PM	Flush	1013.0	0.0	27.0300	25.05	93.17	27.1600	25.05	91.61	27.0400	25.05	92.83	26.9600	25.05	93.37	26.8400	24.99	94.12	26.9475	24.99	93.75	26.9988	24.99	93.30	26.7312	24.99	93.81	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:05:00 PM	Flush	1013.0	0.0	26.9400	25.06	93.96	27.1400	25.06	91.77	27.0800	25.06	92.46	26.9600	25.06	93.36	26.8287	24.99	94.22	26.9488	24.99	93.74	26.9612	24.99	93.63	26.7575	24.99	93.58	NaN	NaN	NaN	NaN	25.0600	25.06	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:05:01 PM	Flush	1013.0	0.0	26.9500	25.06	93.87	27.2200	25.06	91.07	27.0400	25.06	92.82	26.9800	25.06	93.18	26.8137	24.99	94.36	26.9300	24.99	93.91	26.9375	24.99	93.84	26.7550	24.99	93.60	NaN	NaN	NaN	NaN	25.0600	25.06	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:05:02 PM	Flush	1013.0	0.0	26.9900	25.05	93.53	27.0900	25.05	92.22	27.0700	25.05	92.57	26.9700	25.05	93.28	26.8350	24.99	94.17	26.9262	24.99	93.95	26.9537	24.99	93.70	26.7187	24.99	93.92	NaN	NaN	NaN	NaN	25.0500	25.05	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/1/2021/5:05:03 PM	Flush	1013.0	0.0	26.9700	25.06	93.69	27.1900	25.06	91.33	27.0200	25.06	92.99	26.9600	25.06	93.36	26.8412	24.99	94.11	26.9275	24.99	93.93	26.9675	24.99	93.58	26.7000	24.99	94.09	NaN	NaN	NaN	NaN	25.0600	25.06	OFF	24.9900	24.99	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
