Date & time of file creation	9/7/2021 6:53 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9_6_2021\SMR_23_DB_9.7.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9_6_2021\SMR_23_DB_9.7.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	4.37	73.71568627450982	0																																																														
Chamber 2	4.91	73.00000000000001																																																															
Chamber 3	5.24	73.00000000000001																																																															
Chamber 4	4.860	73.00000000000001																																																															
Chamber 5	4.92	73.00000000000001	0																																																														
Chamber 6	4.62	73.23711340206188																																																															
Chamber 7	4.78	73.26732673267328																																																															
Chamber 8	3.76	74.24000000000001																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
9/7/2021/7:04:39 PM	660	1	F480/W60/M120	301.8	-210.243	0.988	92.63	85.85	89.39	23.06	282.5	-223.161	0.977	92.60	84.39	88.07	23.06	266.5	-224.715	0.995	93.10	85.45	89.22	23.06	291.7	-228.122	0.993	92.48	84.67	88.91	23.06	287.6	-228.293	0.979	93.29	85.09	89.37	23.00	310.3	-230.536	0.984	93.37	85.81	89.69	23.00	282.8	-217.445	0.984	92.76	85.73	89.27	23.00	294.5	-176.213	0.983	93.46	87.34	90.38	23.00	23.08	0.00	0.00	23.04	0.00	0.00
9/7/2021/7:15:41 PM	1323	2	F480/W60/M120	NaN	NaN	0.000	92.88	85.31	NaN	NaN	NaN	NaN	0.000	91.93	84.30	NaN	NaN	NaN	NaN	0.000	92.51	84.60	NaN	NaN	NaN	NaN	0.000	92.71	85.46	NaN	NaN	NaN	NaN	0.000	93.20	85.17	NaN	NaN	NaN	NaN	0.000	93.19	85.33	NaN	NaN	NaN	NaN	0.000	93.37	86.04	NaN	NaN	NaN	NaN	0.000	93.45	87.25	NaN	NaN	NaN	0.00	0.00	NaN	0.00	0.00
9/7/2021/7:26:47 PM	1989	3	F480/W60/M120	293.2	-203.773	0.993	92.32	85.64	89.17	23.03	294.3	-231.949	0.971	92.62	83.75	88.76	23.03	319.3	-268.377	0.994	92.46	83.98	88.52	23.03	268.3	-209.393	0.995	92.51	85.31	89.02	23.03	312.0	-247.029	0.987	92.64	84.43	88.68	22.97	342.2	-253.589	0.978	92.98	84.81	89.27	22.97	518.8	-396.459	0.992	92.46	79.90	86.51	22.97	491.7	-292.197	0.986	92.89	82.90	88.38	22.97	23.04	0.00	0.00	23.00	0.00	0.00
9/7/2021/7:37:47 PM	2649	4	F480/W60/M120	289.7	-201.907	0.994	92.38	85.39	88.86	23.05	491.1	-387.014	0.990	90.43	78.58	84.22	23.05	252.2	-212.751	0.995	92.72	85.60	89.35	23.05	276.5	-216.358	0.996	92.64	85.58	89.12	23.05	286.4	-227.335	0.985	93.13	85.11	89.30	22.99	308.7	-229.325	0.973	93.57	85.90	89.62	22.99	355.2	-272.430	0.987	93.04	84.32	88.49	22.99	354.4	-211.547	0.986	93.48	85.91	89.77	22.99	23.06	0.00	0.00	23.03	0.00	0.00
9/7/2021/7:48:47 PM	3309	5	F480/W60/M120	241.3	-169.760	0.979	92.28	86.93	89.51	23.06	429.1	-339.616	0.981	90.85	79.40	85.85	23.06	273.0	-231.562	0.993	92.67	85.25	89.01	23.06	265.8	-209.343	0.993	92.66	85.69	89.40	23.06	289.2	-230.485	0.987	93.01	85.65	89.36	23.00	297.2	-221.786	0.984	93.00	85.58	89.46	23.00	282.3	-217.919	0.985	92.92	85.50	89.46	23.00	594.3	-354.070	0.996	90.84	79.31	85.06	23.00	23.08	0.00	0.00	23.05	0.00	0.00
9/7/2021/7:59:48 PM	3969	6	F480/W60/M120	252.3	-176.209	0.969	92.53	86.50	89.76	23.03	342.0	-270.061	0.976	91.94	83.03	87.88	23.03	282.3	-238.088	0.988	92.59	84.82	89.08	23.03	287.7	-225.130	0.997	92.67	85.17	89.04	23.03	300.4	-238.273	0.989	92.89	84.49	88.60	22.98	279.4	-207.744	0.987	92.88	85.84	89.63	22.98	313.7	-240.833	0.988	93.34	85.28	89.23	22.98	524.0	-311.622	0.985	93.05	83.19	88.44	22.98	23.05	0.00	0.00	23.02	0.00	0.00
9/7/2021/8:10:47 PM	4629	7	F480/W60/M120	261.6	-182.517	0.981	92.81	86.27	89.72	23.05	455.5	-359.110	0.992	91.26	79.20	85.63	23.05	323.2	-272.315	0.983	92.65	83.68	88.61	23.05	255.6	-200.094	0.992	92.36	85.78	89.37	23.05	358.7	-283.397	0.986	92.96	83.22	88.33	22.99	306.0	-226.596	0.987	93.92	86.45	90.21	22.99	465.8	-355.863	0.984	93.13	82.14	88.00	22.99	628.9	-372.847	0.989	91.56	78.58	85.60	22.99	23.07	0.00	0.00	23.03	0.00	0.00
9/7/2021/8:21:49 PM	5290	8	F480/W60/M120	263.2	-183.483	0.963	92.16	86.17	88.80	23.08	395.3	-311.754	0.986	91.83	81.53	87.19	23.08	283.0	-238.534	0.983	92.70	84.05	88.87	23.08	266.9	-208.777	0.988	92.73	85.83	89.30	23.08	315.8	-251.101	0.973	93.35	84.51	89.71	23.02	282.1	-210.401	0.982	93.25	85.69	89.46	23.02	432.9	-332.296	0.971	92.55	81.75	87.86	23.02	577.6	-343.999	0.994	91.69	80.22	86.04	23.02	23.09	0.00	0.00	23.06	0.00	0.00
9/7/2021/8:32:48 PM	5950	9	F480/W60/M120	260.4	-183.488	0.968	92.84	86.14	89.88	23.05	313.5	-249.365	0.988	92.06	84.38	88.40	23.05	299.9	-254.545	0.994	91.67	83.45	87.76	23.05	280.3	-221.078	0.995	92.30	84.86	88.59	23.05	266.9	-213.372	0.982	93.45	85.82	89.85	23.00	301.0	-225.067	0.975	93.00	85.34	89.77	23.00	377.7	-290.926	0.990	92.90	82.93	88.17	23.00	523.9	-312.847	0.996	90.24	79.74	85.02	23.00	23.10	0.00	0.00	23.06	0.00	0.00
9/7/2021/8:43:48 PM	6610	10	F480/W60/M120	206.3	-144.308	0.974	92.91	87.81	90.51	23.04	299.1	-236.375	0.986	92.75	84.42	88.77	23.04	298.8	-251.833	0.987	92.05	83.73	88.14	23.04	272.2	-213.059	0.989	92.52	85.41	89.20	23.04	380.0	-300.748	0.992	93.22	83.24	88.46	22.99	298.0	-221.347	0.989	93.83	86.14	90.14	22.99	352.4	-270.225	0.989	93.66	84.64	89.33	22.99	691.3	-410.283	0.989	90.88	78.02	84.40	22.99	23.08	0.00	0.00	23.05	0.00	0.00
9/7/2021/8:54:48 PM	7270	11	F480/W60/M120	387.3	-269.521	0.979	92.68	84.20	88.47	23.06	376.7	-297.304	0.990	91.93	81.90	87.00	23.06	286.3	-241.389	0.995	92.06	84.28	88.27	23.06	287.7	-225.069	0.997	92.67	85.66	89.14	23.06	295.0	-233.731	0.984	93.38	85.63	89.34	23.00	278.1	-206.418	0.988	92.16	85.16	88.83	23.00	282.6	-216.880	0.965	92.93	85.47	89.35	23.00	621.0	-368.584	0.991	89.68	78.00	84.11	23.00	23.07	0.00	0.00	23.04	0.00	0.00
9/7/2021/9:05:48 PM	7930	12	F480/W60/M120	279.1	-195.623	0.975	92.16	84.52	88.61	23.07	418.0	-330.725	0.982	91.59	80.97	86.92	23.07	292.5	-247.634	0.992	92.43	83.73	88.43	23.07	292.0	-229.493	0.995	92.72	85.06	88.91	23.07	412.7	-327.741	0.987	91.69	80.44	86.06	23.01	339.6	-253.282	0.988	93.78	85.17	89.50	23.01	419.3	-322.356	0.991	92.46	82.37	87.02	23.01	604.4	-360.230	0.987	89.98	77.73	83.93	23.01	23.09	0.00	0.00	23.06	0.00	0.00
9/7/2021/9:16:48 PM	8590	13	F480/W60/M120	519.2	-360.651	0.992	90.07	78.69	84.74	23.04	328.1	-259.052	0.994	92.46	83.78	88.05	23.04	271.8	-229.190	0.993	92.46	84.40	88.49	23.04	307.1	-240.115	0.992	92.84	85.15	88.99	23.04	495.8	-391.631	0.993	91.93	79.50	85.81	22.98	277.5	-206.198	0.991	93.14	86.46	89.82	22.98	316.0	-242.451	0.984	93.76	86.16	90.17	22.98	616.6	-366.101	0.991	90.89	79.25	84.82	22.98	23.06	0.00	0.00	23.02	0.00	0.00
9/7/2021/9:27:49 PM	9250	14	F480/W60/M120	305.9	-213.151	0.991	92.28	85.36	88.96	23.06	421.2	-332.141	0.987	91.90	81.56	87.12	23.06	297.0	-250.267	0.994	91.94	84.22	88.18	23.06	266.5	-208.542	0.996	92.68	85.66	89.18	23.06	462.1	-365.004	0.970	91.55	79.27	86.05	23.00	269.8	-200.358	0.986	93.55	86.53	89.82	23.00	291.4	-223.574	0.979	93.82	85.65	89.65	23.00	541.4	-321.551	0.993	89.51	78.58	84.53	23.00	23.07	0.00	0.00	23.03	0.00	0.00
9/7/2021/9:38:49 PM	9910	15	F480/W60/M120	265.0	-184.919	0.982	92.47	86.78	89.44	23.08	306.7	-242.382	0.991	92.13	84.07	88.30	23.08	406.5	-342.223	0.996	89.02	77.64	83.70	23.08	277.1	-216.946	0.994	92.38	85.51	89.12	23.08	517.9	-409.121	0.990	91.70	78.09	85.24	23.01	282.8	-210.074	0.990	92.65	85.54	89.19	23.01	285.5	-219.264	0.981	93.00	85.38	89.57	23.01	659.4	-391.474	0.995	90.24	77.56	83.92	23.01	23.09	0.00	0.00	23.05	0.00	0.00
9/7/2021/9:49:49 PM	10570	16	F480/W60/M120	243.1	-169.649	0.973	92.61	86.75	89.59	23.10	323.1	-255.205	0.982	91.74	83.60	88.00	23.10	312.1	-263.042	0.996	92.26	83.33	87.86	23.10	272.5	-213.259	0.992	92.90	86.03	89.29	23.10	466.5	-368.643	0.990	90.79	79.28	84.95	23.04	286.5	-212.725	0.985	93.75	86.70	90.37	23.04	315.1	-241.657	0.988	93.57	85.27	89.90	23.04	345.5	-205.943	0.988	92.70	85.68	89.26	23.04	23.11	0.00	0.00	23.08	0.00	0.00
9/7/2021/10:00:49 PM	11230	17	F480/W60/M120	418.7	-291.467	0.962	91.55	82.07	87.72	23.02	536.4	-422.787	0.983	90.24	76.76	83.88	23.02	318.4	-268.521	0.992	91.34	82.47	86.99	23.02	334.1	-261.381	0.991	92.38	83.49	87.75	23.02	461.9	-364.963	0.984	90.67	78.45	84.94	22.96	438.6	-324.639	0.987	91.73	81.46	86.67	22.96	361.0	-276.630	0.987	91.95	81.74	87.09	22.96	628.0	-372.747	0.997	89.69	77.71	83.83	22.96	23.08	0.00	0.00	23.04	0.00	0.00
9/7/2021/10:11:48 PM	11890	18	F480/W60/M120	277.9	-193.490	0.992	91.86	85.18	88.72	23.04	328.9	-259.440	0.992	92.06	83.45	87.90	23.04	299.9	-252.444	0.990	91.43	83.30	87.87	23.04	329.2	-256.977	0.992	91.89	83.92	87.64	23.04	425.2	-335.529	0.987	90.45	80.38	85.95	22.98	261.4	-193.774	0.990	92.91	86.44	89.83	22.98	344.6	-263.592	0.990	93.13	84.32	89.01	22.98	357.0	-212.339	0.990	92.82	85.35	89.45	22.98	23.05	0.00	0.00	23.02	0.00	0.00
9/7/2021/10:22:48 PM	12550	19	F480/W60/M120	285.1	-198.848	0.946	92.16	85.54	89.41	23.07	418.4	-330.062	0.991	91.76	81.15	86.77	23.07	295.6	-249.292	0.996	92.11	83.81	88.21	23.07	311.8	-243.858	0.995	92.27	84.29	88.38	23.07	375.7	-297.445	0.985	92.41	82.14	87.88	23.00	282.0	-209.601	0.993	92.87	85.91	89.49	23.00	271.5	-208.735	0.988	92.98	85.91	89.82	23.00	333.8	-199.362	0.987	92.80	86.39	89.87	23.00	23.08	0.00	0.00	23.04	0.00	0.00
