,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,2.79,78,(2021-Sep-14 22:04:34),M6,25.01725,-0.008416636,-0.008346129,4.95E-05,0.995866137,2.278854669,0.837704068,2.259764611,809.9514734,mg O2,SMR,25,1
2,CH2,2,2.97,78,(2021-Sep-14 22:04:34),M6,25.01725,-0.008219606,-0.008153669,6.35E-05,0.992897954,2.220181276,0.802192838,2.202371141,741.5391047,mg O2,SMR,25,1
3,CH3,3,3.12,78,(2021-Sep-15 13:31:35),M3,25.0425,-0.007993945,-0.007930611,5.86E-05,0.993599293,2.154911747,0.792276617,2.137838885,685.2047708,mg O2,MMR,25,1
4,CH4,4,4.44,78,(2021-Sep-14 22:15:34),M7,25.102,-0.010895555,-0.010833746,3.88E-05,0.998490174,2.885317179,0.567279097,2.868949378,646.1597697,mg O2,SMR,25,1
5,CH5,5,2.59,78,(2021-Sep-15 13:53:35),M5,24.945,-0.00766334,-0.007597441,4.22E-05,0.996380438,2.080412834,0.859926717,2.062522808,796.3408527,mg O2,MMR,25,1
6,CH6,6,2.92,78,(2021-Sep-15 14:04:35),M6,24.97266667,-0.008742729,-0.008673741,5.23E-05,0.995732266,2.363054742,0.789088095,2.344408158,802.8795062,mg O2,MMR,25,1
7,CH7,7,5.23,78,(2021-Sep-15 06:08:34),M50,24.96525,-0.014319775,-0.014227437,0.000137807,0.989050666,3.751380114,0.644832521,3.727189995,712.6558309,mg O2,SMR,25,1
8,CH8,8,5.26,78,(2021-Sep-15 06:19:34),M51,24.94075,-0.013324275,-0.013238908,0.000109116,0.992047808,3.489147865,0.640682572,3.466793503,659.0862173,mg O2,SMR,25,1
9,CH1,1,2.67,78,(2021-Sep-16 11:11:59),M1,23.01461111,-0.007219315,-0.007150003,3.23E-05,0.996374912,1.95779164,0.960095128,1.938994978,726.2153476,mg O2,MMR,23,2
10,CH2,2,2.81,78,(2021-Sep-16 11:23:59),M2,22.98138889,-0.00786359,-0.007795871,4.43E-05,0.994293285,2.128548095,0.861178668,2.110217493,750.9670794,mg O2,MMR,23,2
11,CH3,3,3.04,78,(2021-Sep-16 11:35:59),M3,22.9585,-0.007850501,-0.007786509,4.11E-05,0.995056057,2.118504724,0.815126974,2.101236221,691.1961252,mg O2,MMR,23,2
12,CH4,4,4.19,78,(2021-Sep-16 11:47:59),M4,23.00155556,-0.010235053,-0.010166181,3.02E-05,0.998435875,2.719617443,0.672909474,2.70131688,644.7056992,mg O2,MMR,23,2
13,CH5,5,2.49,78,(2021-Sep-16 11:59:59),M5,22.90383333,-0.006663428,-0.006596044,2.17E-05,0.998069001,1.811359547,1.011241986,1.793042319,720.0973167,mg O2,MMR,23,2
14,CH6,6,2.83,78,(2021-Sep-16 12:11:59),M6,22.88477778,-0.008488163,-0.008417368,2.36E-05,0.998598004,2.296998636,0.834040134,2.277840746,804.8907228,mg O2,MMR,23,2
15,CH7,7,4.89,78,(2021-Sep-16 12:35:59),M8,22.91794444,-0.00956354,-0.009488571,5.61E-05,0.993808709,2.517085413,0.783905466,2.497353843,510.7063074,mg O2,MMR,23,2
