"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",2.75,78,(2021-Sep-15 13:09:35),"M1",25.0755833333333,-0.00731180130481855,-0.00724272703514819,4.58934410628805e-05,0.995284516130261,1.98076697347535,0.944695661038352,1.96205475382164,713.474455935144,"mg O2","MMR",25,1
"2","CH2","2",2.83,78,(2021-Sep-15 13:20:35),"M2",25.0655,-0.00719560312409284,-0.00712843421125255,9.73574809226572e-05,0.978463408958851,1.94721655261701,0.933471617068296,1.92903983877548,681.639519001935,"mg O2","MMR",25,1
"3","CH3","3",3.12,78,(2021-Sep-15 13:31:35),"M3",25.0425,-0.00799394492968329,-0.00793061077323211,5.8596811233837e-05,0.99359929258549,2.15491174680487,0.792276616968069,2.13783888491863,685.204770807254,"mg O2","MMR",25,1
"4","CH4","4",4.26,78,(2021-Sep-15 13:42:35),"M4",25.0183333333333,-0.010423892687222,-0.0103561240025016,5.97048101788359e-05,0.996093334733781,2.7671682483207,0.650128380575588,2.74917810220009,645.346972347439,"mg O2","MMR",25,1
"5","CH5","5",2.59,78,(2021-Sep-15 13:53:35),"M5",24.945,-0.00766333979520887,-0.00759744068889634,4.2154285519229e-05,0.996380437930004,2.08041283424412,0.859926716987355,2.06252280845882,796.340852686804,"mg O2","MMR",25,1
"6","CH6","6",2.92,78,(2021-Sep-15 14:04:35),"M6",24.9726666666667,-0.00874272902149901,-0.00867374118765384,5.22748553870628e-05,0.995732265936977,2.36305474176293,0.789088094524379,2.34440815812858,802.879506208418,"mg O2","MMR",25,1
"7","CH7","7",4.95,78,(2021-Sep-15 14:15:35),"M7",24.9848333333333,-0.0104481842096727,-0.0103793421032628,8.58952141672199e-05,0.991983501107526,2.74766348345972,0.658890626623161,2.72955938631605,551.426138649708,"mg O2","MMR",25,1
"8","CH8","8",4.93,78,(2021-Sep-15 14:37:35),"M9",24.9375833333333,-0.0115492484590792,-0.0114807548054362,0.000105956721778612,0.990049269651671,3.03805290565771,0.593057235592022,3.0200355130796,612.583268373143,"mg O2","MMR",25,1
"9","CH1","1",2.67,78,(2021-Sep-16 11:11:59),"M1",23.0146111111111,-0.00721931516203894,-0.00715000286890292,3.23254133508532e-05,0.996374912213764,1.95779164016301,0.960095127865875,1.93899497801204,726.215347570054,"mg O2","MMR",23,2
"10","CH2","2",2.81,78,(2021-Sep-16 11:23:59),"M2",22.9813888888889,-0.00786359036842119,-0.00779587080559107,4.42680592136301e-05,0.994293284705228,2.12854809528572,0.861178668487977,2.11021749314061,750.967079409471,"mg O2","MMR",23,2
"11","CH3","3",3.04,78,(2021-Sep-16 11:35:59),"M3",22.9585,-0.00785050072665215,-0.00778650917764926,4.11382439868422e-05,0.99505605706223,2.11850472409144,0.815126973820073,2.10123622064372,691.19612521175,"mg O2","MMR",23,2
"12","CH4","4",4.19,78,(2021-Sep-16 11:47:59),"M4",23.0015555555556,-0.0102350533763906,-0.0101661807325448,3.01594489628647e-05,0.99843587545195,2.719617442961,0.672909474069093,2.70131687952888,644.70569917157,"mg O2","MMR",23,2
"13","CH5","5",2.49,78,(2021-Sep-16 11:59:59),"M5",22.9038333333333,-0.00666342775331867,-0.00659604437419477,2.17462450249624e-05,0.998069001277685,1.81135954675113,1.01124198563323,1.79304231850361,720.097316668116,"mg O2","MMR",23,2
"14","CH6","6",2.83,78,(2021-Sep-16 12:11:59),"M6",22.8847777777778,-0.00848816252108761,-0.0084173678390256,2.36398275396358e-05,0.998598004268611,2.29699863615656,0.834040133964597,2.27784074565439,804.890722846076,"mg O2","MMR",23,2
"15","CH7","7",4.89,78,(2021-Sep-16 12:35:59),"M8",22.9179444444444,-0.00956353977071652,-0.00948857065974753,5.61345203747685e-05,0.993808708659251,2.5170854134935,0.783905465615775,2.49735384336291,510.706307436178,"mg O2","MMR",23,2
