,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,17.01,317,(2021-Sep-20 22:05:42),M6,26.78966667,-0.010843234,-0.010821363,2.13E-05,0.999544519,11.71030271,0.201701068,11.6866829,687.0477896,mg O2,SMR,27,1
2,CH2,2,14.51,317,(2021-Sep-20 22:16:42),M7,26.782,-0.010315723,-0.010275392,3.39E-05,0.998720075,11.23345076,0.390966524,11.18953173,771.1600091,mg O2,SMR,27,1
3,CH3,3,15.39,317,(2021-Sep-21 13:18:40),M2,27.02266667,-0.010466815,-0.010403558,4.16E-05,0.999074177,11.36482577,0.604354988,11.29614188,733.9923247,mg O2,MMR,27,1
4,CH4,4,12.52,317,(2021-Sep-20 22:16:42),M7,26.782,-0.010537088,-0.010509586,2.01E-05,0.999569302,11.54999725,0.260999704,11.51985179,920.1159577,mg O2,SMR,27,1
5,CH5,5,11.74,317,(2021-Sep-20 22:05:42),M6,26.78966667,-0.008169603,-0.008060206,1.78E-05,0.99942739,8.977871375,1.339073847,8.857651048,754.484757,mg O2,SMR,27,1
6,CH6,6,13.48,317,(2021-Sep-21 14:08:40),M7,27.11183333,-0.010256383,-0.010197287,8.82E-05,0.995680104,11.20686303,0.576189447,11.14229027,826.5793971,mg O2,MMR,27,1
7,CH7,7,11.7,317,(2021-Sep-20 22:05:42),M6,26.78966667,-0.008495044,-0.008451452,3.49E-05,0.997995933,9.336733461,0.513149371,9.288822072,793.9164164,mg O2,SMR,27,1
8,CH8,8,10.05,317,(2021-Sep-20 22:16:42),M7,26.782,-0.007316016,-0.007125022,1.58E-05,0.999420982,8.0843441,2.610635693,7.873291327,783.4120723,mg O2,SMR,27,1
9,CH1,1,8.74,317,(2021-Sep-22 22:13:26),M4,27.11425,-0.005932537,-0.005338178,1.49E-05,0.99908288,6.583549332,10.01862784,5.923968026,677.7995453,mg O2,SMR,27,1
10,CH2,2,8.75,317,(2021-Sep-23 07:12:26),M53,27.0945,-0.006888487,-0.006708385,1.83E-05,0.999119656,7.644154179,2.614532164,7.444295309,850.7766068,mg O2,SMR,27,1
11,CH3,3,7.95,317,(2021-Sep-23 14:02:49),M3,27.0295,-0.00680499,-0.006325388,3.60E-05,0.998125693,7.571095451,7.047790871,7.037500477,885.2201858,mg O2,MMR,27,1
12,CH4,4,8.33,317,(2021-Sep-23 14:42:49),M7,27.03366667,-0.005672519,-0.005142593,5.47E-05,0.9934739,6.303371395,9.341994733,5.714510771,686.0156988,mg O2,MMR,27,1
13,CH5,5,7.93,317,(2021-Sep-22 22:13:26),M4,27.11425,-0.006306241,-0.005682972,2.46E-05,0.997801141,7.016651723,9.883361813,6.323170646,797.3733475,mg O2,SMR,27,1
14,CH6,6,6.76,317,(2021-Sep-23 14:22:49),M5,27.04966667,-0.006605861,-0.00589461,0.000161569,0.958244817,7.377848781,10.76696786,6.583478174,973.8873039,mg O2,MMR,27,1
15,CH7,7,10.17,317,(2021-Sep-22 22:35:26),M6,27.11833333,-0.007565188,-0.006836944,2.48E-05,0.998453477,8.356416337,9.626250107,7.552006801,742.5768732,mg O2,SMR,27,1
16,CH8,8,7.98,317,(2021-Sep-22 23:08:26),M9,27.09033333,-0.0064096,-0.005778609,2.01E-05,0.998567589,7.130500503,9.844472479,6.428540344,805.5814967,mg O2,SMR,27,1
17,CH1,1,9.54,317,(2021-Sep-29 22:01:04),M5,26.99583333,-0.005510798,-0.005225355,4.22E-05,0.996223348,6.099660229,5.179717753,5.783715045,606.2594387,mg O2,SMR,27,1
18,CH2,2,14.82,317,(2021-Sep-29 21:51:04),M4,27.00133333,-0.009401049,-0.009159593,5.47E-05,0.997934642,10.22691268,2.568395811,9.964245083,672.3512202,mg O2,SMR,27,1
19,CH3,3,11.56,317,(2021-Sep-29 21:41:04),M3,27.0085,-0.007286225,-0.007007317,3.22E-05,0.99877917,8.011816597,3.827888159,7.705133219,666.5340154,mg O2,SMR,27,1
20,CH4,4,12.17,317,(2021-Sep-29 22:11:04),M6,26.99683333,-0.008362509,-0.008064772,5.79E-05,0.997024113,9.176917213,3.560376868,8.850184375,727.2131779,mg O2,SMR,27,1
21,CH5,5,17.98,317,(2021-Sep-29 22:01:04),M5,26.99583333,-0.011290186,-0.010961031,3.68E-05,0.999345367,12.1535687,2.915401773,11.79924334,656.2426773,mg O2,SMR,27,1
22,CH6,6,10.12,317,(2021-Sep-29 22:31:04),M8,26.999,-0.006488254,-0.006098289,6.74E-05,0.992962929,7.168015857,6.010322685,6.737194974,665.7307287,mg O2,SMR,27,1
23,CH7,7,13.12,317,(2021-Sep-29 22:11:04),M6,26.99683333,-0.009944931,-0.009556692,5.41E-05,0.998147079,10.87943626,3.903887993,10.45471526,796.8532971,mg O2,SMR,27,1
24,CH8,8,11.69,317,(2021-Sep-29 22:11:04),M6,26.99683333,-0.007121613,-0.006721909,4.94E-05,0.996874621,7.827479101,5.612547369,7.388158129,632.0066834,mg O2,SMR,27,1
