"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",16.56,317,(2021-Sep-21 13:48:40),"M5",27.0918333333333,-0.00890593373275677,-0.00887107257264249,5.56621776370075e-05,0.997721728142794,9.63251543040999,0.391437452381395,9.59481015740895,579.396748635806,"mg O2","MMR",27,1
"2","CH2","2",14.01,317,(2021-Sep-21 13:28:40),"M3",26.9893333333333,-0.00830912602432483,-0.00826413098241533,6.33077834752174e-05,0.996607872717185,9.06329553879665,0.541513533165567,9.01421656690327,643.413031185102,"mg O2","MMR",27,1
"3","CH3","3",15.39,317,(2021-Sep-21 13:18:40),"M2",27.0226666666667,-0.0104668149155137,-0.010403558197517,4.15846502550582e-05,0.999074176858604,11.3648257680051,0.604354987714029,11.2961418766312,733.992324667394,"mg O2","MMR",27,1
"4","CH4","4",12.05,317,(2021-Sep-21 13:38:40),"M4",27.0718333333333,-0.00867879582456697,-0.00864324690255686,5.34048777553402e-05,0.997790594597641,9.52775563212611,0.409606617423692,9.48872931456497,787.44641614647,"mg O2","MMR",27,1
"5","CH5","5",11.28,317,(2021-Sep-21 13:48:40),"M5",27.0918333333333,-0.00727171002123934,-0.00713210110082744,4.15046437060897e-05,0.998039647431641,8.00318587569585,1.91989119483773,7.84953341476187,695.880621876052,"mg O2","MMR",27,1
"6","CH6","6",13.48,317,(2021-Sep-21 14:08:40),"M7",27.1118333333333,-0.0102563834663303,-0.0101972872671596,8.819569930227e-05,0.99568010360995,11.2068630349221,0.576189446940652,11.1422902727818,826.579397090638,"mg O2","MMR",27,1
"7","CH7","7",11.49,317,(2021-Sep-21 14:28:40),"M9",27.0725,-0.00664256445592472,-0.0065382239804529,3.89484298651425e-05,0.997946023991151,7.30573152094643,1.57078604451867,7.1909741097654,625.846310684543,"mg O2","MMR",27,1
"8","CH8","8",9.4,317,(2021-Sep-21 14:28:40),"M9",27.0725,-0.00658596503778406,-0.00631713622863563,4.28143024165579e-05,0.997342888686183,7.29303424424055,4.08184385441079,6.99534397414194,744.185529164037,"mg O2","MMR",27,1
"9","CH1","1",8.55,317,(2021-Sep-23 13:52:49),"M2",27.0765,-0.00561393465492958,-0.00501626588656079,3.62751003707817e-05,0.996976089829578,6.23382531952691,10.6461653921102,5.57016196575483,651.480931667232,"mg O2","MMR",27,1
"10","CH2","2",8.46,317,(2021-Sep-23 14:02:49),"M3",27.0295,-0.00586594885270424,-0.00547019223788333,5.09098470875501e-05,0.99500138044126,6.51556749244811,6.74667687629876,6.07598320707548,718.201324713413,"mg O2","MMR",27,1
