"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",17.01,317,(2021-Sep-21 10:33:42),"M74",27.04275,-0.00525366490917379,-0.00492143835819846,1.91463132805891e-05,0.998214254281078,5.67376896997096,6.32371033781026,5.31497625507344,312.461860968456,"mg O2","SMR",27,1
"2","CH2","2",14.51,317,(2021-Sep-21 10:00:42),"M71",27.0319166666667,-0.00487951689462021,-0.00459521867022795,2.4756136046711e-05,0.996580774396491,5.3136182356332,5.82636007891908,5.00402770400611,344.867519228539,"mg O2","SMR",27,1
"3","CH3","3",16.17,317,(2021-Sep-21 10:00:42),"M71",27.0319166666667,-0.00555146706213036,-0.00525247799206331,1.87844235071168e-05,0.998491655067339,6.01217221068243,5.3857668021958,5.68837063566866,351.785444382725,"mg O2","SMR",27,1
"4","CH4","4",12.52,317,(2021-Sep-21 11:28:42),"M79",27.0359166666667,-0.00526167181023922,-0.00490657012242422,2.07496425757896e-05,0.997877818075539,5.7674657980139,6.7488376436549,5.37822889515262,429.570998015385,"mg O2","SMR",27,1
"5","CH5","5",11.74,317,(2021-Sep-21 12:12:42),"M83",27.0365833333333,-0.00432454773676472,-0.00378081167519038,1.63513024788084e-05,0.997788040196216,4.75240119164928,12.5732468380873,4.15487005908701,353.907160058519,"mg O2","SMR",27,1
"6","CH6","6",14.24,317,(2021-Sep-21 08:21:42),"M62",27.0159166666667,-0.00424604422338517,-0.00399098137869772,2.98558130080297e-05,0.993475767293161,4.62791645665954,6.00706990479965,4.34991427997228,305.471508425019,"mg O2","SMR",27,1
"7","CH7","7",11.7,317,(2021-Sep-21 08:54:42),"M65",27.0266666666667,-0.00423593528738071,-0.00391862708127424,2.04842124831445e-05,0.996775309391511,4.65563175565439,7.49086528898973,4.30688465248689,368.109799357854,"mg O2","SMR",27,1
"8","CH8","8",10.05,317,(2021-Sep-21 09:05:42),"M66",27.0261666666667,-0.00393914862416593,-0.0035075638744452,1.98851402867646e-05,0.996219989032537,4.35283801267584,10.9562951515217,3.87592823253944,385.664500750193,"mg O2","SMR",27,1
"9","CH1","1",8.74,317,(2021-Sep-23 08:07:26),"M58",27.0763333333333,-0.00304674791595103,-0.00239671858549768,1.4303815008473e-05,0.995813683721405,3.38108584525583,21.335185856702,2.65972489619585,304.316349679159,"mg O2","SMR",27,1
"10","CH2","2",8.75,317,(2021-Sep-23 04:05:26),"M36",27.10925,-0.00347473441104687,-0.00322715880973381,2.49750708748306e-05,0.992981777810102,3.85591277593871,7.12502229022075,3.58117813116161,409.277500704184,"mg O2","SMR",27,1
"11","CH3","3",8.13,317,(2021-Sep-23 09:02:26),"M63",27.0876666666667,-0.00308229334357542,-0.00247859860854781,1.70956929348657e-05,0.994409144430344,3.4273006021085,19.5858949079563,2.75603310799978,338.995462238595,"mg O2","SMR",27,1
"12","CH4","4",8.08,317,(2021-Sep-23 11:25:26),"M76",27.0728333333333,-0.00278521044756538,-0.00223183050236634,1.47588086796184e-05,0.994866115941963,3.09746596126283,19.868514628141,2.48204548364764,307.183846986094,"mg O2","SMR",27,1
"13","CH5","5",7.93,317,(2021-Sep-23 05:00:26),"M41",27.0845,-0.00319001857879689,-0.00247170561560097,1.38584676097821e-05,0.996288181388468,3.54938055173552,22.5175166053994,2.75014819660966,346.803051274862,"mg O2","SMR",27,1
"14","CH6","6",7.09,317,(2021-Sep-23 02:15:26),"M26",27.10125,-0.00314363448500277,-0.00238561647473039,3.1291325943046e-05,0.980450967595608,3.50727754768995,24.1127909077417,2.6615750460613,375.398455015699,"mg O2","SMR",27,1
"15","CH7","7",10.17,317,(2021-Sep-23 12:31:26),"M82",27.1100833333333,-0.00356553884518155,-0.0025168759740621,1.91056929098403e-05,0.993242319377235,3.9384514219214,29.4110628618339,2.78011099843731,273.363913317336,"mg O2","SMR",27,1
"16","CH8","8",7.98,317,(2021-Sep-23 09:46:26),"M67",27.0835,-0.00342230775565246,-0.00241149510375599,2.08498912200609e-05,0.991254374193231,3.8072215535462,29.5359951257147,2.68272078106564,336.180549005719,"mg O2","SMR",27,1
"17","CH1","1",9.54,317,(2021-Sep-30 08:11:04),"M66",27.046,-0.00270539579246847,-0.00217494399471331,5.51997918042336e-05,0.964173561346167,2.99448356526848,19.6071790764176,2.40734981021239,252.342747401718,"mg O2","SMR",27,1
"18","CH2","2",14.82,317,(2021-Sep-30 08:31:04),"M68",27.0316666666667,-0.00433137433712157,-0.00387807186033706,8.71371422634682e-05,0.971575190014968,4.71187690988902,10.4655576152707,4.21875271712395,284.666175244531,"mg O2","SMR",27,1
"19","CH3","3",11.56,317,(2021-Sep-30 10:41:04),"M81",27.0723333333333,-0.00301164533131433,-0.0024485489003124,5.29972434736031e-05,0.973863117776038,3.31155701998793,18.6973022735113,2.69238519400111,232.905293598712,"mg O2","SMR",27,1
"20","CH4","4",12.17,317,(2021-Sep-30 02:11:04),"M30",26.9868333333333,-0.0040334831617459,-0.00367400756362162,8.23431352679882e-05,0.97160663575419,4.42629601990201,8.91228706576972,4.0318118122276,331.291028120592,"mg O2","SMR",27,1
"21","CH5","5",17.98,317,(2021-Sep-30 03:11:04),"M36",26.9688333333333,-0.00520194557632967,-0.00476581221725981,5.87317228318946e-05,0.991309156923632,5.59974875844275,8.38404309830521,5.1302634091381,285.331669028815,"mg O2","SMR",27,1
"22","CH6","6",10.12,317,(2021-Sep-30 07:41:04),"M63",27.0308333333333,-0.00334162311052878,-0.00278261354671543,6.62826793638371e-05,0.967900118601279,3.69171828057266,16.7286837959678,3.07414240277772,303.769012132185,"mg O2","SMR",27,1
"23","CH7","7",13.12,317,(2021-Sep-30 10:51:04),"M82",27.0743333333333,-0.00437715202406507,-0.00372684817429951,6.07689004367503e-05,0.984845508227586,4.78846424546242,14.8567800750411,4.07705264354209,310.75096368461,"mg O2","SMR",27,1
"24","CH8","8",11.69,317,(2021-Sep-30 07:21:04),"M61",27.0111666666667,-0.00351373336282518,-0.00291058287172407,5.75207125627428e-05,0.977903870453601,3.86200055881496,17.1655168113312,3.19906820363787,273.658528968167,"mg O2","SMR",27,1
