"FishIDs","Stock","Pond","Trial","Chamber.No","Ind","Mass","Volume","SMR.Start.Date","SMR.Date.Time","SMR.Phase","SMR.Temp.true","Temp.factor","Slope.with.BR.SMR","Slope.SMR","SE.SMR","R2.SMR","MR.abs.with.BR","BR.SMR","SMR.abs","SMR","SMR.units","DO.unit","MMR.Date","MMR.Date.Time","MMR.Phase","MMR.Temp.true","Slope.with.BR.MMR","Slope.MMR","SE.MMR","R2.MMR","MR.abs.with.BR.MMR","BR.MMR","MMR.abs","MMR","MMR.units","MMR.Best.Temp","MMR.Best","MMR.Best.units","DO.unit.1","Trial.Best.MMR","Experiment","test.Num","Replicate","AS.absolute","AS.absolute.units","AS.factorial","AS.Best.absolute","AS.Best.absolute.units","AS.Best.factorial","K","relative.weight","SMR.nm","SMR.nm.units","MMR.nm","MMR.nm.units","SMR.ms","SMR.ms.units","MMR.ms","MMR.ms.units","MMR.Best.ms","MMR.Best.ms.units","AS.ms","AS.ms.units","AS.Best.ms","AS.Best.ms.units"
1,"LP","BC","Acute","CH1",1,4.05,78,"8/4/21","(2021-Aug-04 03:31:16)","M40",20.99366667,"21",-0.003168182,-0.003110546,3.69e-05,0.975536427,0.843433511,1.819236645,0.828089459,204.4665331,3.407775552,"mg O2","8/4/21","(2021-Aug-04 13:34:52)","M3",21.01305556,-0.007824405,-0.007785529,6.31e-05,0.988454672,2.083013156,0.496858208,2.072663534,511.7687738,8.529479564,21.01305556,511.7687738,8.529479563,"mg O2","MMR",1,1,1,307.3022407,5.121704012,2.502946404,307.3022407,5.121704012,2.502946404,0.655066582,83.8446885,0.828089459055,0.0138014909856,2.07266353389,0.0345443922342,233.532399320937,3.89220665572966,527.445649095778,8.79076081895006,527.445649095778,8.79076081791942,293.913249774841,4.89855416322039,293.913249774841,4.89855416218976
2,"LP","BC","Acute","CH2",2,2.89,78,"8/4/21","(2021-Aug-04 08:21:16)","M69",20.99111111,"21",-0.002898012,-0.002597787,4.25e-05,0.954522707,0.78361094,10.35969185,0.702431261,243.0557998,4.050929997,"mg O2","8/3/21","(2021-Aug-04 13:34:52)","M3",21.01305556,-0.005696563,-0.005603812,3.52e-05,0.993014327,1.540327866,1.628187125,1.515248446,524.3074207,8.738457011,20.95061111,529.1025821,8.818376368,"mg O2","SMR",1,1,1,281.2516209,4.687527015,2.157148363,286.0467823,4.767446372,2.176877007,0.649481482,84.73361697,0.702431261422,0.01170718769133,1.515248445823,0.02525414076179,294.921975042322,4.91536625110983,547.841354657088,9.13068924358822,552.851750492547,9.21419584119416,252.919379614766,4.21532299247838,257.929775450225,4.29882959008432
3,"LP","BC","Acute","CH3",3,3.38,78,"8/4/21","(2021-Aug-04 02:31:16)","M34",21.00338889,"21",-0.00296898,-0.002929142,2.62e-05,0.985934597,0.797562909,1.341807561,0.786861149,232.7991566,3.879985943,"mg O2","8/3/21","(2021-Aug-04 13:44:52)","M4",20.99327778,-0.007084158,-0.007060595,4.51e-05,0.992790377,1.90303153,0.332610428,1.896701848,561.154393,9.352573217,21.01166667,644.2664688,10.73777448,"mg O2","SMR",1,1,1,328.3552364,5.472587273,2.410465747,411.4673122,6.857788537,2.767477676,0.672439519,87.23280868,0.786861149308,0.01311435248734,1.89670184834,0.03161169747346,274.654960143525,4.57758266866548,582.616537306853,9.71027562212697,668.907352125407,11.1484558687568,307.961577163328,5.13269295346149,394.252391981882,6.5708732000913
4,"LP","BC","Acute","CH4",4,3.03,78,"8/4/21","(2021-Aug-04 05:31:16)","M52",20.96055556,"21",-0.002849061,-0.002699081,2.34e-05,0.986848176,0.768938807,5.264183591,0.728460457,240.4159924,4.006933207,"mg O2","8/4/21","(2021-Aug-04 13:54:52)","M5",20.98355556,-0.006045895,-0.005956231,2.91e-05,0.995765799,1.631738802,1.48306352,1.60753908,530.5409503,8.842349172,20.98355556,530.5409503,8.842349172,"mg O2","MMR",1,1,1,290.1249579,4.835415965,2.206762308,290.1249579,4.835415965,2.206762308,0.666548148,86.96019376,0.728460456972,0.01214100761721,1.607539079409,0.02679231799116,289.255099204378,4.82091832047401,553.288376011189,9.22147293386745,553.288376011189,9.22147293386745,264.033276806811,4.40055461339344,264.033276806811,4.40055461339344
5,"LP","BC","Acute","CH5",5,2.71,78,"8/4/21","(2021-Aug-04 05:01:16)","M49",20.99083333,"21",-0.002872361,-0.002603139,2.88e-05,0.978737157,0.778536222,9.372860904,0.705565105,260.3561273,4.339268788,"mg O2","8/3/21","(2021-Aug-04 14:16:52)","M7",21.05305556,-0.004842662,-0.004526592,2.42e-05,0.994956194,1.312574583,6.526785451,1.226905656,452.7327145,7.545545242,21.01883333,475.2510443,7.920850738,"mg O2","SMR",1,1,1,192.3765872,3.206276453,1.738897867,214.894917,3.58158195,1.82538836,0.664973423,87.39456771,0.705565104983,0.01175941841548,1.226905656295,0.02044842760582,319.57754633208,5.32629243845885,474.293723942036,7.90489539938315,497.88446999535,8.2980744995733,154.716177609956,2.5786029609243,178.30692366327,2.97178206111445
6,"LP","BC","Acute","CH6",6,2.77,78,"8/4/21","(2021-Aug-03 21:19:22)","M3",20.96022222,"21",-0.002657993,-0.002365611,2.46e-05,0.981073282,0.719858819,11.00009472,0.640673667,231.2901324,3.85483554,"mg O2","8/4/21","(2021-Aug-04 14:27:52)","M8",20.9805,-0.005143856,-0.005375147,3.49e-05,0.992558281,1.39310022,-4.496451731,1.455740299,525.5380139,8.758966899,20.9805,525.5380139,8.758966898,"mg O2","MMR",1,1,1,294.2478815,4.904131358,2.272202486,294.2478815,4.904131358,2.272202486,0.569555495,73.98965908,0.640673666748,0.0106778944458,1.455740298503,0.02426233831023,282.787641695411,4.71312736159018,550.075825438441,9.16793042467181,550.075825438441,9.16793042362512,267.28818374303,4.45480306308162,267.28818374303,4.45480306203493
7,"LP","BC","Acute","CH7",7,2.58,78,"8/4/21","(2021-Aug-04 05:01:16)","M49",20.99083333,"21",-0.0023172,-0.001915027,2.98e-05,0.958678968,0.629147654,17.35597971,0.519952915,201.5321376,3.35886896,"mg O2","8/4/21","(2021-Aug-04 14:49:52)","M10",21.04927778,-0.003011316,-0.003409635,3.76e-05,0.978764799,0.817608464,-13.22738525,0.925756685,358.8204207,5.980340344,20.99761111,556.9264528,9.282107547,"mg O2","SMR",1,1,1,157.2882831,2.621471385,1.780462536,355.3943152,5.923238587,2.763462242,0.679637808,89.59247703,0.519952915008,0.0086658819168,0.925756685406,0.01542927808752,249.563192980048,4.15938654966746,376.66180156751,6.27769669174211,584.6181235812,9.74363539336991,127.098608587462,2.11831014207465,335.054930601152,5.58424884370245
8,"LP","BC","Acute","CH8",8,2.72,78,"8/4/21","(2021-Aug-04 11:31:16)","M88",20.97627778,"21",-0.001450846,-0.001824368,2.49e-05,0.967820178,0.39319096,-25.74512027,0.494418445,181.7714872,3.029524787,"mg O2","8/3/21","(2021-Aug-04 17:01:52)","M22",21.001,-0.002148435,-0.002530067,2.82e-05,0.978345207,0.582242965,-17.76326221,0.68566831,252.0839373,4.201398956,20.9755,493.0904407,8.218174012,"mg O2","SMR",1,1,1,70.3124501,1.171874168,1.386817818,311.3189535,5.188649225,2.712694099,0.689997568,90.72879862,0.494418445184,0.00824030742064,0.685668309456,0.01142780516032,222.970506751244,3.71617511292961,264.04963369629,4.40082722931897,516.496019700884,8.60826699536389,41.0791269450463,0.684652116389355,293.52551294964,4.89209188243428
9,"LP","BC","Acute","CH1",1,3.55,78,"8/7/21","(2021-Aug-07 02:34:12)","M18",20.95216667,"21",-0.00322521,-0.003181279,2.17e-05,0.991749566,0.864420901,1.362112966,0.852646511,240.1821159,4.003035265,"mg O2","8/7/21","(2021-Aug-07 15:28:06)","M1",21.0225,-0.007775955,-0.0077422,5.19e-05,0.992051219,2.084111343,0.434091424,2.075064395,584.5251817,9.742086361,21.0225,584.5251817,9.742086362,"mg O2","MMR",1,4,2,344.3430658,5.739051097,2.433674878,344.3430658,5.739051097,2.433674878,0.655066582,83.8446885,0.852646511445,0.01421077519075,2.075064395035,0.03458440658155,280.883187051181,4.68138645085302,605.670305590795,10.0945050924891,605.670305590795,10.0945050935253,324.787118539614,5.41311864163611,324.787118539614,5.41311864267229
10,"LP","BC","Acute","CH2",2,2.61,78,"8/7/21","(2021-Aug-07 12:50:12)","M74",21.01272222,"21",-0.002504233,-0.00210843,2.97e-05,0.96589337,0.67965896,15.80537587,0.572236307,219.247627,3.654127117,"mg O2","8/7/21","(2021-Aug-07 15:39:06)","M2",20.99161111,-0.005726141,-0.005641252,5.05e-05,0.98593387,1.554097581,1.482475934,1.531058458,586.6124361,9.776873935,20.99161111,586.6124361,9.776873935,"mg O2","MMR",1,4,2,367.3648091,6.122746818,2.675570286,367.3648091,6.122746818,2.675570286,0.649481482,84.73361697,0.57223630647,0.00953727177537,1.531058458221,0.02551764097035,270.938638543516,4.51564397613719,615.490490504261,10.2581748417377,615.490490504261,10.2581748417377,344.551851960745,5.74253086560049,344.551851960745,5.74253086560049
