Date & time of file creation	9/27/2021 2:14 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.27.2021\tempchange_21_27_DB_9.27.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.27.2021\tempchange_21_27_DB_9.27.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.7500	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.7500	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.6500	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.5000	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7600	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.7500	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.7700	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.7200	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	9.950	0.995	0	Not used	Not used	Not used																																						
Chamber 2	270	47	13	1	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	9.36	0.985	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	10.31	0.98	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	13.94	0.995	0	Not used	Not used	Not used																																						
Chamber 6	270	47	9.790	0.979	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	8.57	0.952	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	8.550	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
9/27/2021/2:15:33 PM	Flush	1013.0	0.0	28.9350	21.08	97.35	28.9600	21.08	97.13	28.9150	21.08	96.64	28.8200	21.08	96.15	27.9100	21.08	96.80	27.9500	21.08	96.35	27.9500	21.08	96.53	27.8400	21.08	97.07	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:34 PM	Flush	1013.0	0.0	28.9350	21.08	97.35	28.9550	21.08	97.17	28.9250	21.08	96.55	28.8050	21.08	96.28	27.9300	21.08	96.62	27.9400	21.08	96.44	27.9900	21.08	96.17	27.8500	21.08	96.98	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:35 PM	Flush	1013.0	0.0	28.9350	21.08	97.35	28.9550	21.08	97.17	28.9200	21.08	96.59	28.8200	21.08	96.15	27.9200	21.08	96.71	27.9300	21.08	96.53	27.9700	21.08	96.35	27.8600	21.08	96.89	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:36 PM	F1   	1013.0	0.0	28.9400	21.08	97.31	28.9550	21.08	97.17	28.9150	21.08	96.64	28.8150	21.08	96.19	27.9500	21.08	96.44	27.9100	21.08	96.71	27.9500	21.08	96.53	27.8200	21.08	97.26	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:37 PM	F1   	1013.0	0.0	28.9450	21.08	97.26	28.9550	21.08	97.17	28.9200	21.08	96.59	28.8050	21.08	96.28	27.9300	21.08	96.62	27.9500	21.08	96.35	27.9600	21.08	96.44	27.8200	21.08	97.26	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:38 PM	F1   	1013.0	0.0	28.9350	21.08	97.35	28.9500	21.08	97.22	28.9150	21.08	96.64	28.8100	21.08	96.24	27.9300	21.08	96.62	27.9300	21.08	96.53	27.9500	21.08	96.53	27.8400	21.08	97.07	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:39 PM	F1   	1013.0	0.0	28.9300	21.09	97.39	28.9550	21.09	97.16	28.9050	21.09	96.71	28.8350	21.09	96.00	27.9400	21.09	96.52	27.9800	21.09	96.08	27.9700	21.09	96.34	27.8500	21.09	96.98	NaN	NaN	NaN	NaN	21.0850	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:40 PM	F1   	1013.0	0.0	28.9350	21.09	97.33	28.9700	21.09	97.01	28.9050	21.09	96.70	28.8400	21.09	95.95	27.9300	21.09	96.60	27.9500	21.09	96.34	27.9800	21.09	96.25	27.8400	21.09	97.06	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:41 PM	F1   	1013.0	0.0	28.9400	21.09	97.28	28.9700	21.09	97.01	28.9200	21.09	96.57	28.8200	21.09	96.13	27.9200	21.09	96.69	27.9700	21.09	96.16	27.9500	21.09	96.51	27.8400	21.09	97.06	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:42 PM	F1   	1013.0	0.0	28.9350	21.09	97.33	28.9600	21.09	97.10	28.9200	21.09	96.57	28.7950	21.09	96.35	27.9200	21.09	96.69	27.9400	21.09	96.43	27.9500	21.09	96.51	27.8500	21.09	96.97	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:43 PM	F1   	1013.0	0.0	28.9400	21.09	97.28	28.9500	21.09	97.19	28.9200	21.09	96.57	28.7950	21.09	96.35	27.9200	21.09	96.69	27.9300	21.09	96.52	27.9600	21.09	96.42	27.8400	21.09	97.06	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:44 PM	F1   	1013.0	0.0	28.9450	21.09	97.25	28.9550	21.09	97.16	28.9350	21.09	96.45	28.8150	21.09	96.18	27.9300	21.09	96.61	27.9500	21.09	96.34	27.9700	21.09	96.34	27.8300	21.09	97.16	NaN	NaN	NaN	NaN	21.0850	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:45 PM	F1   	1013.0	0.0	28.9350	21.08	97.35	28.9600	21.08	97.13	28.9350	21.08	96.46	28.8100	21.08	96.24	27.9300	21.08	96.62	27.9400	21.08	96.44	27.9600	21.08	96.44	27.8400	21.08	97.07	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:46 PM	F1   	1013.0	0.0	28.9300	21.08	97.40	28.9400	21.08	97.31	28.9250	21.08	96.55	28.8150	21.08	96.19	27.9300	21.08	96.62	27.9500	21.08	96.35	27.9700	21.08	96.35	27.8300	21.08	97.16	NaN	NaN	NaN	NaN	21.0800	21.08	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:47 PM	F1   	1013.0	0.0	28.9250	21.09	97.43	28.9500	21.09	97.21	28.9200	21.09	96.58	28.8100	21.09	96.23	27.9300	21.09	96.61	27.9700	21.09	96.17	27.9500	21.09	96.52	27.8200	21.09	97.25	NaN	NaN	NaN	NaN	21.0850	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
9/27/2021/2:15:48 PM	F1   	1013.0	0.0	28.9300	21.09	97.37	28.9550	21.09	97.15	28.9150	21.09	96.61	28.7900	21.09	96.39	27.9100	21.09	96.78	27.9400	21.09	96.43	27.9500	21.09	96.51	27.8400	21.09	97.06	NaN	NaN	NaN	NaN	21.0900	21.09	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
