Date & time of file creation	10/2/2021 11:11 AM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.27.2021\MMR_31_LF_DB_10.2.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.27.2021\MMR_31_LF_DB_10.2.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.7500	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.7800	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.6500	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.5500	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7600	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.7500	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.7700	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.7200	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	19.420	0.971	0	Not used	Not used	Not used																																						
Chamber 2	270	47	15.68	1.04	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	12.86	0.988	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	18.170	0.956	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	12.64	0.97	0	Not used	Not used	Not used																																						
Chamber 6	270	47	13.05	1	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	12.51	0.96	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	15.2	1.01	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
10/2/2021/11:11:45 AM	Flush	1013.0	0.0	28.0300	30.95	85.77	28.0000	30.95	86.22	27.6500	30.95	88.21	27.5300	30.95	88.51	27.1100	30.95	88.57	27.2700	30.95	87.17	26.9900	30.95	89.66	26.9500	30.95	89.62	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:46 AM	Flush	1013.0	0.0	28.0225	30.95	85.83	28.0000	30.95	86.22	27.6425	30.95	88.27	27.5300	30.95	88.51	27.1050	30.95	88.61	27.2600	30.95	87.25	26.9850	30.95	89.70	26.9650	30.95	89.50	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:47 AM	Flush	1013.0	0.0	28.0125	30.95	85.92	28.0000	30.95	86.22	27.6325	30.95	88.35	27.5450	30.95	88.38	27.1100	30.95	88.57	27.2450	30.95	87.37	26.9700	30.95	89.83	26.9750	30.95	89.41	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:48 AM	Flush	1013.0	0.0	28.0175	30.95	85.88	28.0150	30.95	86.10	27.6375	30.95	88.31	27.4900	30.95	88.84	27.1150	30.95	88.53	27.2500	30.95	87.33	26.9650	30.95	89.87	26.9650	30.95	89.50	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:49 AM	Flush	1013.0	0.0	28.0275	30.95	85.79	28.0050	30.95	86.18	27.6475	30.95	88.23	27.4775	30.95	88.95	27.1150	30.95	88.53	27.2800	30.95	87.08	26.9750	30.95	89.79	26.9650	30.95	89.50	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:50 AM	Flush	1013.0	0.0	28.0225	30.95	85.83	27.9850	30.95	86.35	27.6425	30.95	88.27	27.4800	30.95	88.93	27.1250	30.95	88.44	27.2800	30.95	87.08	26.9950	30.95	89.62	26.9700	30.95	89.45	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:51 AM	Flush	1013.0	0.0	28.0125	30.95	85.92	27.9800	30.95	86.39	27.6400	30.95	88.29	27.5025	30.95	88.74	27.1175	30.95	88.51	27.2600	30.95	87.25	26.9975	30.95	89.60	26.9700	30.95	89.45	NaN	NaN	NaN	NaN	30.9500	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:52 AM	F1   	1013.0	0.0	28.0250	30.96	85.80	28.0025	30.96	86.19	27.6475	30.96	88.21	27.5475	30.96	88.35	27.1200	30.96	88.48	27.2600	30.96	87.24	26.9900	30.96	89.65	26.9750	30.96	89.40	NaN	NaN	NaN	NaN	30.9575	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:53 AM	F1   	1013.0	0.0	28.0300	30.96	85.76	28.0175	30.96	86.06	27.6425	30.96	88.25	27.5150	30.96	88.61	27.1100	30.96	88.56	27.2750	30.96	87.11	26.9950	30.96	89.60	26.9750	30.96	89.40	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:54 AM	F1   	1013.0	0.0	28.0150	30.95	85.89	28.0125	30.95	86.12	27.6400	30.95	88.29	27.5150	30.95	88.63	27.1025	30.95	88.63	27.2775	30.95	87.10	26.9937	30.95	89.62	26.9763	30.95	89.40	NaN	NaN	NaN	NaN	30.9525	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:55 AM	F1   	1013.0	0.0	28.0100	30.96	85.92	27.9950	30.96	86.25	27.6175	30.96	88.47	27.5050	30.96	88.70	27.1150	30.96	88.52	27.2700	30.96	87.15	26.9950	30.96	89.61	26.9750	30.96	89.40	NaN	NaN	NaN	NaN	30.9575	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:56 AM	F1   	1013.0	0.0	28.0100	30.96	85.92	27.9825	30.96	86.35	27.6175	30.96	88.46	27.5150	30.96	88.61	27.1100	30.96	88.56	27.2550	30.96	87.27	26.9900	30.96	89.65	26.9600	30.96	89.52	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:57 AM	F1   	1013.0	0.0	28.0100	30.96	85.92	28.0025	30.96	86.19	27.6200	30.96	88.44	27.5350	30.96	88.45	27.1125	30.96	88.53	27.2275	30.96	87.50	26.9800	30.96	89.73	26.9687	30.96	89.45	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:58 AM	F1   	1013.0	0.0	28.0175	30.95	85.87	27.9875	30.95	86.32	27.6350	30.95	88.33	27.5325	30.95	88.48	27.1100	30.95	88.57	27.2350	30.95	87.45	26.9700	30.95	89.83	26.9700	30.95	89.45	NaN	NaN	NaN	NaN	30.9525	30.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:11:59 AM	F1   	1013.0	0.0	28.0125	30.96	85.90	28.0250	30.96	86.01	27.6550	30.96	88.15	27.5075	30.96	88.68	27.0950	30.96	88.69	27.2400	30.96	87.40	26.9800	30.96	89.73	26.9600	30.96	89.53	NaN	NaN	NaN	NaN	30.9575	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:00 AM	F1   	1013.0	0.0	28.0250	30.96	85.80	28.0325	30.96	85.94	27.6525	30.96	88.17	27.5150	30.96	88.61	27.1000	30.96	88.64	27.2250	30.96	87.52	26.9850	30.96	89.69	26.9400	30.96	89.69	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:01 AM	F1   	1013.0	0.0	28.0075	30.96	85.94	28.0150	30.96	86.08	27.6425	30.96	88.25	27.4975	30.96	88.76	27.1100	30.96	88.56	27.2325	30.96	87.46	26.9887	30.96	89.66	26.9325	30.96	89.76	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:02 AM	F1   	1013.0	0.0	28.0225	30.96	85.82	28.0100	30.96	86.12	27.6475	30.96	88.21	27.4825	30.96	88.89	27.0950	30.96	88.68	27.2400	30.96	87.40	26.9900	30.96	89.65	26.9500	30.96	89.61	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:03 AM	F1   	1013.0	0.0	28.0225	30.96	85.82	28.0175	30.96	86.06	27.6425	30.96	88.25	27.5100	30.96	88.66	27.1000	30.96	88.64	27.2300	30.96	87.48	26.9850	30.96	89.69	26.9550	30.96	89.57	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:04 AM	F1   	1013.0	0.0	28.0200	30.96	85.84	28.0200	30.96	86.04	27.6400	30.96	88.27	27.5275	30.96	88.51	27.1075	30.96	88.58	27.2263	30.96	87.51	26.9900	30.96	89.65	26.9563	30.96	89.56	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:05 AM	F1   	1013.0	0.0	27.9975	30.96	86.02	28.0125	30.96	86.10	27.6400	30.96	88.27	27.5000	30.96	88.74	27.1050	30.96	88.60	27.2350	30.96	87.44	26.9850	30.96	89.69	26.9500	30.96	89.61	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:06 AM	F1   	1013.0	0.0	27.9975	30.96	86.02	27.9725	30.96	86.43	27.6400	30.96	88.27	27.5200	30.96	88.57	27.1000	30.96	88.64	27.2350	30.96	87.44	26.9850	30.96	89.69	26.9400	30.96	89.69	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:07 AM	F1   	1013.0	0.0	28.0000	30.96	86.00	27.9825	30.96	86.35	27.6325	30.96	88.34	27.4925	30.96	88.81	27.0900	30.96	88.72	27.2175	30.96	87.58	26.9775	30.96	89.75	26.9400	30.96	89.69	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:08 AM	F1   	1013.0	0.0	28.0075	30.96	85.94	28.0050	30.96	86.17	27.6300	30.96	88.36	27.5025	30.96	88.72	27.0900	30.96	88.72	27.2200	30.96	87.56	26.9800	30.96	89.73	26.9400	30.96	89.69	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:09 AM	F1   	1013.0	0.0	28.0025	30.96	85.98	28.0100	30.96	86.12	27.6225	30.96	88.42	27.5025	30.96	88.72	27.0900	30.96	88.72	27.2350	30.96	87.44	26.9850	30.96	89.69	26.9350	30.96	89.74	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:10 AM	F1   	1013.0	0.0	28.0075	30.96	85.94	27.9950	30.96	86.25	27.6350	30.96	88.31	27.5225	30.96	88.55	27.1025	30.96	88.62	27.2338	30.96	87.45	26.9675	30.96	89.84	26.9425	30.96	89.67	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:11 AM	F1   	1013.0	0.0	28.0250	30.96	85.80	28.0050	30.96	86.17	27.6250	30.96	88.40	27.5150	30.96	88.61	27.1000	30.96	88.64	27.2150	30.96	87.61	26.9650	30.96	89.86	26.9350	30.96	89.74	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:12 AM	F1   	1013.0	0.0	28.0150	30.96	85.88	28.0325	30.96	85.94	27.6350	30.96	88.31	27.5175	30.96	88.59	27.1050	30.96	88.60	27.1950	30.96	87.77	26.9550	30.96	89.94	26.9200	30.96	89.87	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:13 AM	F1   	1013.0	0.0	28.0175	30.96	85.86	27.9950	30.96	86.25	27.6325	30.96	88.34	27.5200	30.96	88.57	27.1075	30.96	88.58	27.2087	30.96	87.66	26.9775	30.96	89.75	26.9262	30.96	89.81	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/2/2021/11:12:14 AM	F1   	1013.0	0.0	28.0125	30.96	85.90	28.0025	30.96	86.19	27.6300	30.96	88.36	27.5200	30.96	88.57	27.0950	30.96	88.68	27.2100	30.96	87.65	26.9850	30.96	89.69	26.9500	30.96	89.61	NaN	NaN	NaN	NaN	30.9600	30.96	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
