"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",14.25,317,(2021-Nov-07 21:10:50),"M1",21.0614444444444,-0.00667700029473162,-0.00653088574760175,1.29112348850585e-05,0.999304800633527,7.27726262122799,2.18832620458553,7.11801237631115,499.509640442888,"mg O2","SMR",21,1
"2","CH2","2",14.74,317,(2021-Nov-08 13:47:38),"M3",20.9931666666667,-0.00528785530925563,-0.00510359333697495,1.30378270171197e-05,0.998839689829105,5.75390572479218,3.48462583607667,5.55340363932258,376.757370374666,"mg O2","MMR",21,1
"3","CH3","3",13.67,317,(2021-Nov-08 13:47:38),"M3",20.9931666666667,-0.00610552358155109,-0.00592106683218605,8.46487528307735e-06,0.999636333550298,6.66715848477081,3.02114547427846,6.46573392794518,472.987119820423,"mg O2","MMR",21,1
"4","CH4","4",18.49,317,(2021-Nov-08 14:11:38),"M5",20.9815555555556,-0.0072740670358631,-0.00706552253485483,1.56620290520657e-05,0.999126128054113,7.81697430315178,2.86695874508848,7.59286487476625,410.647099771025,"mg O2","MMR",21,1
"5","CH5","5",17.05,317,(2021-Nov-07 21:34:50),"M3",21.0183333333333,-0.00706119565813791,-0.00688103369861149,1.63132863038648e-05,0.999000549530084,7.62482029557047,2.55143701221164,7.43027780843466,435.79341984954,"mg O2","SMR",21,1
"6","CH6","6",19.8,317,(2021-Nov-07 21:34:50),"M3",21.0183333333333,-0.00865906223753016,-0.00848661533914665,1.30867720734607e-05,0.999576910488514,9.26450386917827,1.99151933145929,9.07999948365979,458.58583250807,"mg O2","SMR",21,1
"7","CH7","7",16.68,317,(2021-Nov-07 21:34:50),"M3",21.0183333333333,-0.0072037863060989,-0.0070224428414307,9.82505905530217e-06,0.999651692664519,7.78838797241143,2.51733542560346,7.59232812289848,455.17554693636,"mg O2","SMR",21,1
"8","CH8","8",15.63,317,(2021-Nov-08 05:10:50),"M41",21.0401666666667,-0.00508663497814825,-0.0048112346924178,1.99661650759299e-05,0.996943904265139,5.51865306011234,5.4141939988527,5.21986247731423,333.964329962523,"mg O2","SMR",21,1
"9","CH1","1",14.68,317,(2021-Nov-10 06:11:06),"M50",22.92525,-0.00827626817719869,-0.00780059387038991,1.6958765574405e-05,0.999442592253991,9.00749302319054,5.7474491718293,8.4897919400266,578.323701636689,"mg O2","SMR",23,2
"10","CH2","2",10.62,317,(2021-Nov-10 13:11:40),"M1",23.02275,-0.0055217003843384,-0.00512208634690911,2.30366461684366e-05,0.997618824773058,6.09025882951296,7.23715539804997,5.64949733387765,531.967733886784,"mg O2","MMR",23,2
