"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",14.04,317,(2021-Nov-08 13:35:38),"M2",21.0059444444444,-0.00646215861385234,-0.00630275357173691,9.10563671554376e-06,0.999628619866103,7.04799206514974,2.46674604634013,6.87413599953629,489.610826177799,"mg O2","MMR",21,1
"2","CH2","2",14.74,317,(2021-Nov-08 13:47:38),"M3",20.9931666666667,-0.00528785530925563,-0.00510359333697495,1.30378270171197e-05,0.998839689829105,5.75390572479218,3.48462583607667,5.55340363932258,376.757370374666,"mg O2","MMR",21,1
"3","CH3","3",13.67,317,(2021-Nov-08 13:47:38),"M3",20.9931666666667,-0.00610552358155109,-0.00592106683218605,8.46487528307735e-06,0.999636333550298,6.66715848477081,3.02114547427846,6.46573392794518,472.987119820423,"mg O2","MMR",21,1
"4","CH4","4",18.49,317,(2021-Nov-08 14:11:38),"M5",20.9815555555556,-0.0072740670358631,-0.00706552253485483,1.56620290520657e-05,0.999126128054113,7.81697430315178,2.86695874508848,7.59286487476625,410.647099771025,"mg O2","MMR",21,1
"5","CH5","5",16.68,317,(2021-Nov-08 14:23:38),"M6",20.9752222222222,-0.00591826643108485,-0.00568400278325977,7.7438447964479e-06,0.999669720775118,6.39854558850025,3.95831533698188,6.14527097712686,368.421521410483,"mg O2","MMR",21,1
"6","CH6","6",19.94,317,(2021-Nov-08 14:23:38),"M6",20.9752222222222,-0.00684748050857355,-0.00662556587593934,1.20765428980385e-05,0.999408979488426,7.32280521555669,3.24082167676649,7.08548615678354,355.340328825654,"mg O2","MMR",21,1
"7","CH7","7",16.05,317,(2021-Nov-08 14:47:38),"M8",20.9775,-0.00564227376959742,-0.00538863134035057,9.53698665919415e-06,0.999442758653494,6.11295224745724,4.49539387141343,5.83815096676261,363.747723785833,"mg O2","MMR",21,1
"8","CH8","8",15.36,317,(2021-Nov-08 14:59:38),"M9",20.9702777777778,-0.00480426842334154,-0.00454206540679687,8.10322901005924e-06,0.999433782242346,5.21697429798027,5.45770954992344,4.93224699350235,321.109830306143,"mg O2","MMR",21,1
"9","CH1","1",14.19,317,(2021-Nov-10 13:11:40),"M1",23.02275,-0.00721643589854422,-0.00682049155977235,2.05151659425273e-05,0.998933557788073,7.86675223597743,5.48670208311197,7.4351269771728,523.969483944524,"mg O2","MMR",23,2
"10","CH2","2",10.62,317,(2021-Nov-10 13:11:40),"M1",23.02275,-0.0055217003843384,-0.00512208634690911,2.30366461684366e-05,0.997618824773058,6.09025882951296,7.23715539804997,5.64949733387765,531.967733886784,"mg O2","MMR",23,2
"11","CH3","3",10.47,317,(2021-Nov-10 13:33:40),"M3",23.0041666666667,-0.00550847033890269,-0.00506898817445076,2.13957326364358e-05,0.997902114801967,6.07864108674183,7.97829773808823,5.59366900241181,534.256829265693,"mg O2","MMR",23,2
"12","CH4","4",11.25,317,(2021-Nov-10 13:55:40),"M5",22.994,-0.00527195404728871,-0.00485008736160034,3.44009675121715e-05,0.994098618795243,5.80283981985068,8.00209337760308,5.3384911589135,474.532547458977,"mg O2","MMR",23,2
"13","CH5","5",14.11,317,(2021-Nov-10 14:17:40),"M7",22.97475,-0.0050768212192647,-0.00459363802694999,1.53461457430415e-05,0.998684788679114,5.5357861647711,9.517435644202,5.00892127913838,354.990877330856,"mg O2","MMR",23,2
"14","CH6","6",7.97,317,(2021-Nov-10 14:06:40),"M6",22.9916666666667,-0.005042109049742,-0.00459530904934897,2.31514401723761e-05,0.997013862649323,5.60938665471037,8.86137122353377,5.11231807987312,641.445179406916,"mg O2","MMR",23,2
"15","CH7","7",11.56,317,(2021-Nov-10 14:17:40),"M7",22.97475,-0.00504892018513398,-0.00458981151323764,1.89789850782259e-05,0.997986447684876,5.55171185285036,9.09320518173647,5.04688330297189,436.581600603105,"mg O2","MMR",23,2
"16","CH8","8",11.2,317,(2021-Nov-10 14:39:40),"M9",22.9978333333333,-0.00490396503056558,-0.00446276454751672,1.93106541696176e-05,0.99779550269017,5.39867702284904,8.99681136180491,4.9129682350702,438.657878131268,"mg O2","MMR",23,2
"17","CH1","1",17.6,317,(2021-Nov-12 13:21:28),"M2",24.8693333333333,-0.0075113911431041,-0.00693093296144617,1.55117207933207e-05,0.999409306817833,8.09607782968333,7.72770543564127,7.47043678316514,424.45663540711,"mg O2","MMR",25,3
"18","CH2","2",16.72,317,(2021-Nov-12 13:32:28),"M3",24.9018333333333,-0.00748401919077698,-0.00693046185215747,3.05183596444187e-05,0.997717097096802,8.09028461738344,7.39652484191498,7.49188470587705,448.079228820397,"mg O2","MMR",25,3
"19","CH3","3",10.43,317,(2021-Nov-12 13:21:28),"M2",24.8693333333333,-0.00521888526191891,-0.00459829618477015,1.61368440489617e-05,0.998548908930104,5.75983315708733,11.8912190248186,5.07491878091395,486.569394143236,"mg O2","MMR",25,3
"20","CH4","4",16.99,317,(2021-Nov-12 14:05:28),"M6",24.944,-0.00726168829319677,-0.00664651801320054,3.59692811888076e-05,0.996556033835739,7.84288477743107,8.47144982211043,7.17847872890506,422.511991106831,"mg O2","MMR",25,3
"21","CH5","5",10.82,317,(2021-Nov-12 13:54:28),"M5",24.921,-0.0055199738851345,-0.00497313413850931,2.23739378898073e-05,0.997617293849994,6.08438017494173,9.9065640165047,5.48162715790361,506.619885203661,"mg O2","MMR",25,3
"22","CH6","6",8.52,317,(2021-Nov-12 14:16:28),"M7",24.96875,-0.00490562101973468,-0.00436276648651352,2.40303410948186e-05,0.996432812301637,5.44782949980392,11.0659696506788,4.84497434073489,568.658960180151,"mg O2","MMR",25,3
"23","CH7","7",13.25,317,(2021-Nov-12 14:27:28),"M8",24.95575,-0.00697134836307694,-0.00636483286938814,2.48303202283384e-05,0.998207358661775,7.62316943502464,8.70011742493242,6.95994474267594,525.278848503844,"mg O2","MMR",25,3
"24","CH8","8",11.62,317,(2021-Nov-12 13:10:28),"M1",24.8675833333333,-0.00579705132260608,-0.00531910265838466,2.18748898335019e-05,0.998008266855635,6.3730927184308,8.24468574838417,5.84765125134303,503.240210958952,"mg O2","MMR",25,3
