"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",14.25,317,(2021-Nov-08 09:58:50),"M65",20.9996111111111,-0.0022033166896123,-0.00188280008921909,1.14827206663161e-05,0.993424663641803,2.40139486000844,14.547005516924,2.05206381723989,144.004478402799,"mg O2","SMR",21,1
"2","CH2","2",15.02,317,(2021-Nov-07 23:58:50),"M15",21.0320555555556,-0.00211337626792209,-0.00192202364579512,2.04954345789667e-05,0.980185161815223,2.29751051539361,9.05435653042117,2.08948572200595,139.113563382553,"mg O2","SMR",21,1
"3","CH3","3",13.89,317,(2021-Nov-08 00:58:50),"M20",21.0257777777778,-0.00213547065750983,-0.00193237125561042,1.071666543267e-05,0.994558052867408,2.3302170395921,9.51075591627424,2.10859578463706,151.806751953712,"mg O2","SMR",21,1
"4","CH4","4",18.65,317,(2021-Nov-08 00:58:50),"M20",21.0257777777778,-0.00243656127340146,-0.00222803434153187,2.2494680281466e-05,0.982187852246976,2.61701300130957,8.55824699119875,2.39304256486572,128.313274255534,"mg O2","SMR",21,1
"5","CH5","5",17.05,317,(2021-Nov-08 11:46:50),"M74",21.0139444444444,-0.00243363639903113,-0.00200112555044515,9.50867527391026e-06,0.995997920480122,2.6278892564018,17.7722049505081,2.16085539188168,126.736386620627,"mg O2","SMR",21,1
"6","CH6","6",19.8,317,(2021-Nov-08 04:10:50),"M36",21.0381666666667,-0.00230201017229633,-0.00204672227303998,1.34516015194252e-05,0.992372965801944,2.46296672354329,11.0897815452175,2.18982909437093,110.597429008633,"mg O2","SMR",21,1
"7","CH7","7",16.68,317,(2021-Nov-08 07:10:50),"M51",21.0158888888889,-0.00250479135816469,-0.00219047107150764,1.38597314568789e-05,0.992928730047118,2.70806018646247,12.5487612224659,2.36823217990263,141.980346516944,"mg O2","SMR",21,1
"8","CH8","8",15.63,317,(2021-Nov-08 10:46:50),"M69",20.9949444444444,-0.00218411075597323,-0.00181134750978218,1.08037843800517e-05,0.993708795402378,2.36961165069955,17.0670486911709,1.965188876483,125.731853901663,"mg O2","SMR",21,1
"9","CH1","1",14.68,317,(2021-Nov-10 10:02:06),"M71",22.9708333333333,-0.0031347780228896,-0.00261993698191468,1.75563724512195e-05,0.994719648844261,3.41174193076794,16.4235246392453,2.8514136541408,194.237987339292,"mg O2","SMR",23,2
"10","CH2","2",10.81,317,(2021-Nov-10 08:56:06),"M65",22.9349166666667,-0.00206268958502245,-0.00158476709996505,2.85452476900392e-05,0.963120535259794,2.27366972653688,23.1698695008535,1.74686341801787,161.596985940599,"mg O2","SMR",23,2
"11","CH3","3",10.42,317,(2021-Nov-10 12:14:06),"M83",23.0346666666667,-0.00245149770388988,-0.00187500664568863,1.75857803104013e-05,0.989712258647538,2.70568859781082,23.515871839754,2.06942233476679,198.600991820229,"mg O2","SMR",23,2
"12","CH4","4",11.25,317,(2021-Nov-10 00:52:06),"M21",22.96,-0.00218262488439917,-0.0017601656709585,3.34497518977298e-05,0.959112938098089,2.40241521025817,19.3555574510445,1.93741435402402,172.214609246579,"mg O2","SMR",23,2
"13","CH5","5",14.36,317,(2021-Nov-10 09:07:06),"M66",22.96275,-0.00231177692650736,-0.00181329910981244,1.63841887015633e-05,0.990444253093446,2.51869020853748,21.5625396628568,1.9755966333371,137.576367224032,"mg O2","SMR",23,2
"14","CH6","6",8.2,317,(2021-Nov-10 01:58:06),"M27",22.9704166666667,-0.00188622093339394,-0.00143856216047955,2.40649718147698e-05,0.968002577929492,2.09687408723537,23.7331038474319,1.59922078256191,195.026924702672,"mg O2","SMR",23,2
