Date & time of file creation	11/10/2021 1:00 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\MMR_23_BC_11.10.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\MMR_23_BC_11.10.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.68	302.46534653465346	0																																																											
Chamber 2	10.81	305.969387755102																																																												
Chamber 3	10.42	306.0315789473684																																																												
Chamber 4	11.25	305.03191489361706																																																												
Chamber 5	14.36	302.4949494949495	0																																																											
Chamber 6	8.2	309.03883495145635																																																												
Chamber 7	11.76	305.4705882352941																																																												
Chamber 8	11.68	304.958762886598																																																												
																																																														
																																																														
