Date & time of file creation	11/8/2021 5:06 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_post_pre_11.8.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_post_pre_11.8.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.25	303.02941176470586	0																																																											
Chamber 2	15.02	302.5576923076923																																																												
Chamber 3	13.892	302.9676767676768																																																												
Chamber 4	18.650	298.53465346534654																																																												
Chamber 5	17.05	299.4226804123711	0																																																											
Chamber 6	19.8	297.5882352941177																																																												
Chamber 7	16.68	300.48514851485146																																																												
Chamber 8	15.63	301.97115384615387																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/8/2021/5:32:36 PM	1539	1	F480/W60/M1000	30.2	-10.839	0.992	95.08	91.79	93.45	21.60	28.9	-11.058	0.984	95.15	91.48	93.30	21.60	33.3	-12.051	0.992	95.44	91.80	93.55	21.60	23.5	-11.434	0.972	95.20	91.34	93.14	21.60	30.1	-14.193	0.993	95.31	91.11	93.00	21.60	23.7	-12.691	0.994	94.69	91.01	92.79	21.60	28.9	-12.998	0.993	94.79	91.01	92.71	21.60	29.8	-12.263	0.993	94.99	91.34	93.04	21.60	21.43	0.00	0.00
11/8/2021/5:58:16 PM	3080	2	F480/W60/M1000	25.8	-11.871	0.988	94.86	91.38	93.03	22.53	24.7	-12.013	0.979	95.02	91.05	93.01	22.53	29.0	-13.242	0.990	95.05	91.23	93.08	22.53	20.0	-12.307	0.965	94.90	90.66	92.90	22.53	25.1	-14.400	0.992	95.34	91.14	93.10	22.53	20.7	-13.759	0.992	95.10	90.94	92.93	22.53	24.4	-13.515	0.992	95.05	90.87	92.91	22.53	23.4	-11.838	0.989	95.10	91.61	93.29	22.53	22.42	0.00	0.00
11/8/2021/6:23:56 PM	4620	3	F480/W60/M1000	22.0	-11.540	0.991	94.36	90.90	92.71	22.82	20.9	-11.597	0.980	94.52	90.88	92.76	22.82	25.2	-12.979	0.993	94.65	90.83	92.72	22.82	17.8	-12.486	0.962	94.78	90.44	92.68	22.82	23.2	-14.864	0.995	95.20	90.73	92.91	22.82	19.3	-14.442	0.995	94.96	90.59	92.70	22.82	23.0	-14.341	0.994	94.96	90.69	92.73	22.82	21.2	-12.314	0.992	95.08	91.35	93.21	22.82	22.79	0.00	0.00
