Date & time of file creation	11/6/2021 7:19 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_pre_11.7.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_pre_11.7.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	17.61	299.56435643564356	0																																																											
Chamber 2	18.05	298.95																																																												
Chamber 3	13.32	303.5045592705167																																																												
Chamber 4	21.4	295.4924623115578																																																												
Chamber 5	12.42	304.4545454545455	0																																																											
Chamber 6	15.72	301.0081383519837																																																												
Chamber 7	12.03	304.970																																																												
Chamber 8	12.36	304.50252780586453																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/6/2021/8:02:07 PM	2540	1	F480/W60/M2000	8.8	-5.944	0.989	96.98	93.67	95.28	20.97	9.6	-6.621	0.985	97.11	93.15	95.16	20.97	13.1	-6.559	0.990	96.82	93.19	94.94	20.97	8.3	-6.870	0.979	97.05	92.75	94.89	20.97	15.3	-7.127	0.993	96.76	92.82	94.79	20.97	11.5	-6.837	0.989	96.79	92.99	94.99	20.97	16.0	-7.192	0.989	96.62	92.41	94.45	20.97	15.7	-7.259	0.992	96.80	92.61	94.78	20.97	20.98	0.00	0.00
11/6/2021/8:44:27 PM	5080	2	F480/W60/M2000	8.8	-5.886	0.990	97.00	93.67	95.31	20.96	9.6	-6.562	0.986	97.19	93.26	95.21	20.96	13.0	-6.480	0.993	96.80	93.25	94.97	20.96	8.4	-6.882	0.980	96.90	92.77	94.89	20.96	15.0	-6.962	0.993	96.75	92.90	94.90	20.96	11.3	-6.696	0.991	96.78	93.05	95.02	20.96	15.7	-7.048	0.992	96.55	92.55	94.51	20.96	15.4	-7.086	0.992	96.82	92.82	94.89	20.96	20.96	0.00	0.00
11/6/2021/9:26:47 PM	7620	3	F480/W60/M2000	8.9	-5.702	0.989	96.96	93.83	95.38	20.96	9.6	-6.363	0.985	97.24	93.47	95.32	20.96	13.0	-6.274	0.992	96.87	93.29	95.06	20.96	8.5	-6.745	0.980	96.93	92.81	95.00	20.96	15.2	-6.815	0.993	96.79	92.96	94.95	20.96	11.5	-6.577	0.991	96.81	93.07	95.07	20.96	16.2	-7.012	0.992	96.68	92.70	94.58	20.96	15.4	-6.882	0.992	96.84	92.89	94.92	20.96	20.96	0.00	0.00
11/6/2021/10:09:07 PM	10160	4	F480/W60/M2000	8.5	-5.694	0.986	96.90	93.79	95.34	20.97	9.2	-6.378	0.984	97.15	93.41	95.28	20.97	12.7	-6.361	0.990	96.81	93.33	95.04	20.97	8.1	-6.680	0.976	96.97	92.98	95.02	20.97	15.1	-7.009	0.991	96.85	92.97	94.94	20.97	11.2	-6.709	0.989	96.85	93.14	95.10	20.97	15.7	-7.077	0.989	96.75	92.72	94.64	20.97	15.6	-7.205	0.990	96.83	92.85	94.98	20.97	20.98	0.00	0.00
11/6/2021/10:51:27 PM	12700	5	F480/W60/M2000	8.5	-5.542	0.988	97.06	93.97	95.43	20.96	9.3	-6.235	0.986	97.19	93.54	95.34	20.96	12.7	-6.188	0.992	96.83	93.46	95.10	20.96	8.2	-6.577	0.979	97.01	93.02	95.07	20.96	14.9	-6.787	0.993	96.79	93.05	94.95	20.96	11.1	-6.471	0.990	96.81	93.18	95.12	20.96	15.7	-6.898	0.991	96.58	92.70	94.58	20.96	15.4	-6.967	0.991	96.83	92.87	94.97	20.96	20.96	0.00	0.00
11/6/2021/11:33:47 PM	15240	6	F480/W60/M2000	8.2	-5.467	0.987	96.99	93.92	95.44	20.96	9.1	-6.180	0.982	97.31	93.63	95.37	20.96	12.4	-6.154	0.992	96.82	93.36	95.12	20.96	8.1	-6.617	0.975	97.11	92.99	95.10	20.96	14.7	-6.780	0.992	96.76	93.04	94.97	20.96	11.0	-6.469	0.989	96.89	93.29	95.14	20.96	15.7	-7.011	0.992	96.78	92.78	94.68	20.96	15.2	-6.943	0.990	96.85	92.90	95.01	20.96	20.97	0.00	0.00
11/7/2021/12:16:07 AM	17780	7	F480/W60/M2000	8.1	-5.351	0.985	97.02	93.98	95.52	20.97	9.2	-6.237	0.982	97.21	93.60	95.37	20.97	12.3	-6.083	0.989	96.90	93.51	95.14	20.97	7.8	-6.392	0.974	97.21	93.10	95.11	20.97	14.4	-6.605	0.993	96.73	93.10	95.03	20.97	10.7	-6.317	0.990	96.86	93.31	95.18	20.97	15.3	-6.771	0.989	96.71	92.82	94.70	20.97	14.7	-6.706	0.991	96.82	93.04	95.03	20.97	20.97	0.00	0.00
11/7/2021/12:58:27 AM	20320	8	F480/W60/M2000	8.1	-5.319	0.985	97.03	94.03	95.53	20.96	9.0	-6.102	0.982	97.17	93.54	95.39	20.96	12.3	-6.053	0.989	96.88	93.51	95.16	20.96	7.9	-6.397	0.972	97.01	93.12	95.09	20.96	14.5	-6.627	0.991	96.82	93.06	95.03	20.96	10.8	-6.320	0.988	96.90	93.36	95.19	20.96	15.6	-6.927	0.988	96.77	92.87	94.73	20.96	14.5	-6.585	0.989	96.83	93.09	95.07	20.96	20.97	0.00	0.00
11/7/2021/1:40:47 AM	22860	9	F480/W60/M2000	7.9	-5.274	0.985	97.06	94.00	95.54	20.96	8.7	-5.916	0.980	97.48	93.75	95.44	20.96	12.0	-5.970	0.989	96.87	93.54	95.15	20.96	7.7	-6.301	0.972	96.92	93.17	95.09	20.96	14.3	-6.584	0.992	96.75	93.07	95.01	20.96	10.7	-6.286	0.989	96.90	93.27	95.21	20.96	15.1	-6.708	0.991	96.73	92.83	94.74	20.96	14.5	-6.643	0.991	96.86	93.08	95.05	20.96	20.96	0.00	0.00
11/7/2021/1:23:07 AM	25400	10	F480/W60/M2000	7.9	-5.229	0.983	97.10	94.07	95.55	20.96	8.9	-6.103	0.977	97.30	93.64	95.41	20.96	12.0	-5.932	0.987	96.94	93.52	95.15	20.96	7.7	-6.325	0.970	97.01	93.01	95.13	20.96	14.1	-6.507	0.992	96.82	93.12	95.02	20.96	10.4	-6.130	0.987	96.88	93.38	95.24	20.96	15.2	-6.780	0.989	96.82	92.82	94.71	20.96	14.3	-6.535	0.990	96.82	93.08	95.04	20.96	20.96	0.00	0.00
11/7/2021/2:05:27 AM	27940	11	F480/W60/M2000	7.8	-5.111	0.982	97.01	94.09	95.53	20.95	8.7	-5.867	0.976	97.37	93.61	95.38	20.95	12.1	-5.923	0.988	96.85	93.48	95.13	20.95	7.8	-6.311	0.966	97.03	93.13	95.07	20.95	14.5	-6.592	0.990	96.72	93.03	94.98	20.95	10.7	-6.244	0.986	96.89	93.41	95.22	20.95	15.3	-6.738	0.989	96.71	92.81	94.67	20.95	14.6	-6.602	0.988	96.81	93.03	95.01	20.95	20.96	0.00	0.00
11/7/2021/2:47:47 AM	30480	12	F480/W60/M2000	7.7	-5.130	0.981	97.03	94.04	95.52	20.96	8.4	-5.722	0.975	97.16	93.62	95.41	20.96	12.0	-5.953	0.988	96.83	93.50	95.10	20.96	7.3	-5.981	0.953	97.00	93.00	95.18	20.96	14.0	-6.422	0.989	96.71	93.15	95.01	20.96	10.5	-6.193	0.986	96.89	93.43	95.23	20.96	15.2	-6.771	0.989	96.73	92.83	94.71	20.96	14.1	-6.438	0.988	96.78	93.00	95.01	20.96	20.96	0.00	0.00
11/7/2021/3:30:07 AM	33020	13	F480/W60/M2000	7.8	-5.183	0.982	97.07	94.09	95.54	20.96	8.7	-5.947	0.977	97.24	93.64	95.40	20.96	11.8	-5.857	0.989	96.85	93.48	95.15	20.96	7.6	-6.259	0.961	97.17	92.89	95.22	20.96	14.0	-6.444	0.990	96.79	93.11	95.02	20.96	10.4	-6.142	0.987	96.93	93.42	95.25	20.96	15.0	-6.712	0.989	96.80	92.87	94.74	20.96	13.9	-6.394	0.987	96.81	93.11	95.06	20.96	20.97	0.00	0.00
11/7/2021/4:12:27 AM	35560	14	F480/W60/M2000	7.7	-5.133	0.977	97.08	93.94	95.51	20.97	8.6	-5.850	0.970	97.24	93.58	95.38	20.97	11.7	-5.808	0.984	96.83	93.48	95.15	20.97	7.5	-6.102	0.953	97.37	93.13	95.24	20.97	13.9	-6.409	0.989	96.70	93.14	95.03	20.97	10.3	-6.092	0.984	96.92	93.39	95.28	20.97	14.7	-6.536	0.986	96.83	92.94	94.74	20.97	14.1	-6.464	0.987	96.77	93.07	95.04	20.97	20.97	0.00	0.00
11/7/2021/4:54:47 AM	38100	15	F480/W60/M2000	7.6	-5.125	0.978	97.06	94.11	95.53	20.97	8.2	-5.681	0.968	97.26	93.70	95.46	20.97	11.6	-5.825	0.986	96.90	93.52	95.17	20.97	7.5	-6.198	0.952	97.44	93.17	95.29	20.97	13.6	-6.348	0.989	96.76	93.16	95.04	20.97	10.0	-5.994	0.984	96.98	93.44	95.28	20.97	14.5	-6.533	0.987	96.77	92.81	94.74	20.97	14.9	-6.900	0.988	96.77	92.73	94.91	20.97	20.97	0.00	0.00
